Gene = Iqck
index = 592
Annotated 5SS: [  187 17111 20597 21923 43908 44112 59821 85922]
Annotated 3SS: [ 17045  20466  21824  43854  44033  59735  85809 115659]
SMsplice 5SS: [   187  19612  20597  21923  44112  44985  56976  59821  60489  81345
  85922 104661]
SMsplice 3SS: [ 19493  20466  21824  43854  44895  56835  59735  60243  81253  85809
 104574 115659]
top_k =  1000
Partition function (log Z): -64.73531303991022

Sorted 5' Splice Sites (High to Low Probability):
Position 4057: 0.9999518810750051
Position 20597: 0.9998235818518151
Position 21923: 0.9756675653647053
Position 187: 0.471188892787508
Position 23093: 0.42609267196790146
Position 17120: 0.4176565797566125
Position 24622: 0.41521004283373575
Position 24918: 0.27695492493268264
Position 387: 0.17881620089604267
Position 1133: 0.07171483625694686
Position 349: 0.06621524968453199
Position 23164: 0.06553217224095335
Position 141: 0.048355471841863666
Position 1057: 0.022953376531034526
Position 273: 0.020229371144760467
Position 326: 0.020132748920528905
Position 90: 0.019891937526140085
Position 488: 0.01801584220493329
Position 1246: 0.013318330833533171
Position 418: 0.012711761763404664
Position 332: 0.010875098454056662
Position 205: 0.010333608091937174
Position 675: 0.007352837808909892
Position 110: 0.00427968388591428
Position 26331: 0.0036207235908937473
Position 502: 0.003003389861238669
Position 101: 5.8486350111988875e-05
Position 651: 5.2009533106238614e-05
Position 144: 5.163802981239292e-05
Position 848: 4.430064505292661e-05
Position 1158: 4.1974716305431706e-05
Position 120: 4.109498740498976e-05
Position 10293: 3.942689300284551e-05
Position 510: 3.8848598241485984e-05
Position 2237: 3.672666700222808e-05
Position 1162: 3.5974811568619137e-05
Position 260: 3.0267557671490326e-05
Position 395: 2.659574095070781e-05
Position 40: 2.6564657876173763e-05
Position 1615: 2.6179589117680804e-05
Position 18: 1.960947148483409e-05
Position 1300: 1.4582262665624193e-05
Position 1642: 1.2911904660248733e-05
Position 2563: 1.1400509389129431e-05
Position 1464: 1.0242435319327377e-05
Position 1204: 9.993275195970479e-06
Position 400: 9.992585559288036e-06
Position 8883: 9.870192765342309e-06
Position 10411: 9.619895781626126e-06
Position 592: 7.64568425038527e-06
Position 1694: 7.489585387736473e-06
Position 956: 6.409759991219056e-06
Position 9071: 5.569405864970954e-06
Position 6348: 2.000924696933412e-06
Position 6754: 1.7711414936015197e-06
Position 3021: 1.1322097892736795e-06
Position 4937: 9.91739744960259e-07
Position 7023: 9.330285594559885e-07
Position 4166: 6.005758684316602e-07
Position 2367: 4.108346369433296e-07
Position 3335: 3.3249786998798796e-07
Position 8448: 3.091269939561938e-07
Position 4668: 3.032256287899552e-07
Position 2876: 2.2879187394095976e-07
Position 1796: 6.824714819548347e-09
Position 716: 1.5416991883356378e-09
Position 965: 1.286237865643855e-09
Position 930: 1.0835586156905375e-09
Position 2241: 9.6111924996038e-10
Position 405: 8.593790064397909e-10
Position 2547: 7.274857779315243e-10
Position 2580: 4.801751022400028e-10
Position 3182: 4.672006894004251e-10
Position 3176: 3.659977462474743e-10
Position 99: 2.691017542048733e-10
Position 622: 2.21165613831758e-10
Position 609: 1.622818572404007e-10
Position 702: 1.2721639389556788e-10
Position 126: 1.210804664830455e-10
Position 474: 9.389113452595507e-11
Position 631: 5.1601755763492345e-11
Position 128: 4.9888827868308217e-11
Position 685: 4.9144519510706056e-11
Position 617: 1.1395182431169166e-11
Position 33: 1.0892625875590454e-11
Position 947: 7.497043253912614e-12
Position 942: 6.649532978126055e-12
Position 907: 5.169976007704517e-12
Position 1227: 7.607586785779758e-13
Position 247: 2.963161898198664e-13
Position 336: 2.313893640664716e-13
Position 512: 2.1820103981852623e-13
Position 403: 2.068741762891592e-13
Position 1116: 6.417303822129693e-14
Position 659: 3.3456155603616294e-15
Position 628: 3.233757435200472e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 20466: 0.9998235818518151
Position 21824: 0.8900539914997206
Position 3890: 0.7013696687250957
Position 23018: 0.5484437301948687
Position 29287: 0.44845209862947094
Position 17045: 0.41766774676944113
Position 24755: 0.2901160433887055
Position 24518: 0.2434866709040476
Position 27334: 0.19386599240302388
Position 3866: 0.1634512977219152
Position 3949: 0.09328873973899471
Position 21804: 0.08705635572068351
Position 24457: 0.07921540656004292
Position 25533: 0.07442593702139771
Position 24365: 0.061554169323319675
Position 26205: 0.05080079540151723
Position 24538: 0.049134068909059865
Position 27245: 0.04872166929029502
Position 23273: 0.0413632769818836
Position 3522: 0.015546550093178018
Position 23089: 0.014837301361616064
Position 3729: 0.014525312341877008
Position 24208: 0.007746692469858865
Position 23035: 0.006156678195750328
Position 23385: 0.005664131398981959
Position 25962: 0.005561766634744135
Position 3763: 0.004706692399733541
Position 3780: 0.003557058441222218
Position 23355: 0.003531794950285697
Position 27214: 0.003378314337167545
Position 22495: 0.0029341212710635657
Position 22572: 0.0022272620447168607
Position 22548: 0.0016227668505078322
Position 3613: 0.0011962842020221804
Position 3734: 0.0008118558290465743
Position 3661: 0.000794838304635837
Position 3578: 0.0007088518599068541
Position 21976: 0.0006662460075221304
Position 22158: 0.0006053275989029651
Position 22034: 0.00047098100915435206
Position 23163: 0.0003771321059225371
Position 23229: 0.0003458888046371845
Position 20737: 8.507151383030675e-05
Position 10248: 6.68209471856442e-05
Position 12139: 2.7625534493759837e-05
Position 10665: 2.445453269449182e-05
Position 12162: 1.416521786811584e-05
Position 12016: 1.0290122515071216e-05
Position 8825: 8.601362976393616e-06
Position 16487: 8.545262082059385e-06
Position 11872: 6.827760305391946e-06
Position 13602: 5.780659637910357e-06
Position 9816: 3.981175611650083e-06
Position 8828: 3.967693055359803e-06
Position 8723: 3.6627437057599395e-06
Position 13084: 3.6229692234580684e-06
Position 7302: 3.431652884216738e-06
Position 9565: 3.1488518231790436e-06
Position 8612: 3.055044370825921e-06
Position 2443: 2.503573824157284e-06
Position 6631: 2.472007589830222e-06
Position 9370: 2.1970017860559747e-06
Position 13846: 1.790781929430752e-06
Position 8996: 1.780234116049436e-06
Position 6275: 1.7135739307840271e-06
Position 4592: 1.7092543892572413e-06
Position 7395: 1.7089049241181625e-06
Position 1033: 1.3901636157570443e-06
Position 10428: 1.3554043631900403e-06
Position 11576: 1.3532530110526216e-06
Position 13008: 1.329938348493908e-06
Position 3076: 1.1475268093964203e-06
Position 7239: 1.1307665897547293e-06
Position 2162: 1.092599379663352e-06
Position 2790: 1.0261116129783332e-06
Position 11423: 1.0191921538139645e-06
Position 831: 9.357961671776306e-07
Position 4084: 9.090663778734122e-07
Position 8968: 7.668937765564909e-07
Position 6928: 7.43358352180151e-07
Position 10670: 7.269156685276903e-07
Position 12122: 7.19322243681388e-07
Position 12183: 6.593478512137862e-07
Position 5960: 6.44714073952016e-07
Position 10530: 6.26771991575998e-07
Position 2197: 6.054535696778891e-07
Position 5661: 5.984509065471258e-07
Position 8275: 5.862057301693643e-07
Position 1050: 5.556915109065547e-07
Position 2176: 4.78126866861279e-07
Position 1056: 4.477552520171959e-07
Position 2022: 3.8680981203795863e-07
Position 4776: 3.4914426596649257e-07
Position 2029: 3.3481725074999104e-07
Position 2873: 3.0406246409731564e-07
Position 2899: 2.945554196774302e-07
Position 4876: 2.820615124405586e-07
Position 8382: 2.6611471221324275e-07
Position 2236: 2.547416195425978e-07
Position 3369: 2.394801100609195e-07
Position 1085: 2.3900855910323244e-07
Position 1675: 2.3539513037953103e-07
Position 5690: 2.1646777059213018e-07
Position 6301: 2.044996942547879e-07
Position 3017: 2.03287139898115e-07
Position 8584: 2.0109150634336367e-07
Position 7638: 1.9306538747522047e-07
Position 1451: 1.8265126226145346e-07
Position 6972: 1.8096538481309059e-07
Position 6139: 1.6287464419887064e-07
Position 9663: 1.600435207667107e-07
Position 864: 1.4801321117237614e-07
Position 982: 1.3005348758865894e-07
Position 2049: 1.2786828752198892e-07
Position 6409: 1.2370606746037883e-07
Position 4815: 1.2203325069613045e-07
Position 2769: 1.1777681004574703e-07
Position 4734: 1.1410231818419122e-07
Position 595: 1.1252316250441827e-07
Position 1569: 1.1158566272784806e-07
Position 6468: 1.0379718517748862e-07
Position 1262: 1.0088856421936566e-07
Position 1097: 9.725658598831586e-08
Position 1477: 9.616847977950814e-08
Position 8467: 9.347631087566214e-08
Position 7245: 8.801131127807722e-08
Position 4894: 8.525293275697881e-08
Position 8436: 7.652074626412326e-08
Position 4308: 7.394521126442887e-08
Position 4533: 6.445446040029161e-08
Position 1944: 5.7569801184301675e-08
Position 4838: 5.565703964841614e-08
