Gene = Fadd
index = 392
Annotated 5SS: [360]
Annotated 3SS: [1602]
SMsplice 5SS: [ 360 1066 1737]
SMsplice 3SS: [1009 1602 1923]
top_k =  1000
Partition function (log Z): -3.6702652546760883

Sorted 5' Splice Sites (High to Low Probability):
Position 360: 0.9802523383132719
Position 1737: 0.916416404119491
Position 1066: 0.6444777383520128
Position 164: 0.13629689252901803
Position 4028: 0.11166286274955514
Position 1280: 0.10144567022543216
Position 25: 0.07670840378932228
Position 2383: 0.043674669145143404
Position 4145: 0.03964984074303835
Position 2430: 0.03485358476384336
Position 1272: 0.017000850663683818
Position 1098: 0.014324574474793128
Position 1729: 0.012807895939272146
Position 627: 0.011522242629886178
Position 633: 0.009204953244081266
Position 1149: 0.008331412705939584
Position 522: 0.007885270613522954
Position 1866: 0.007649540296316568
Position 2404: 0.006669404939727639
Position 1125: 0.005223115165038527
Position 3608: 0.0042328981697795365
Position 1876: 0.003604631300269812
Position 4571: 0.0029416136743018895
Position 598: 0.002761702617435246
Position 3391: 0.0025812379333774475
Position 2119: 0.0020907936164283464
Position 145: 0.0015600632705174823
Position 604: 0.001537702642299943
Position 2170: 0.0014336509620620998
Position 1287: 0.0013067244478151762
Position 1547: 0.0012929956048673523
Position 1445: 0.0012363112986041973
Position 2426: 0.001024456226147056
Position 2043: 0.0009782254037240831
Position 1677: 0.0009482310796238806
Position 656: 0.0009391380311244032
Position 1712: 0.0009233839678658371
Position 1047: 0.0008739007651795765
Position 4959: 0.0008339161828835058
Position 886: 0.0008331942463527944
Position 215: 0.0008040125765972835
Position 89: 0.0006621591561228472
Position 1257: 0.0005780292456286979
Position 482: 0.0005320056091699665
Position 1504: 0.0004539859078694816
Position 4618: 0.00044794727310312456
Position 509: 0.00043504126964932457
Position 1156: 0.0004256814178564599
Position 118: 0.00041588476743762136
Position 4345: 0.00041368362176624665
Position 63: 0.00040563595708925995
Position 760: 0.00038490879703646194
Position 1455: 0.0003758284796541318
Position 1068: 0.000354688729523553
Position 2074: 0.0003397648804320915
Position 1070: 0.00032872463862539277
Position 2656: 0.0003131860490892391
Position 1996: 0.0002588613945199649
Position 1096: 0.00025882453294690395
Position 4337: 0.0002499918335759681
Position 1225: 0.0002353805630610477
Position 106: 0.0002321374598552436
Position 979: 0.00023125561108659626
Position 779: 0.0002098846488702699
Position 661: 0.00018558284050602743
Position 1833: 0.0001371794888694754
Position 1476: 0.00013132587721262687
Position 805: 0.00012236816811133828
Position 1129: 0.00012129697426092434
Position 688: 0.00012011085450166269
Position 1800: 0.00011689177605244217
Position 2370: 0.00011581832271883178
Position 646: 0.00010241382329070943
Position 151: 9.737531090123992e-05
Position 789: 8.137823834640056e-05
Position 1247: 7.57493642815762e-05
Position 1326: 7.222275919474799e-05
Position 1521: 6.744938694819158e-05
Position 1250: 6.155280441769281e-05
Position 546: 5.639443762171869e-05
Position 1205: 5.4839635743277095e-05
Position 37: 4.732951406897735e-05
Position 1418: 4.440902890409043e-05
Position 1986: 3.573118198483216e-05
Position 1135: 3.469494865721975e-05
Position 188: 3.422079891441335e-05
Position 2066: 3.405272231375554e-05
Position 1540: 3.2765251981761177e-05
Position 841: 2.901274969518976e-05
Position 2126: 2.8099948325501697e-05
Position 2212: 2.6723517631672143e-05
Position 767: 2.556814058237823e-05
Position 963: 2.4555612848979553e-05
Position 2131: 2.1116234179584106e-05
Position 2193: 1.8351044504492672e-05
Position 1788: 1.8309535665344943e-05
Position 703: 1.728998712165404e-05
Position 798: 1.6351361457976763e-05
Position 268: 1.5611399601535167e-05
Position 750: 1.5101565016892418e-05
Position 570: 1.4846420463599745e-05
Position 705: 1.4047637181958935e-05
Position 1328: 1.3042281748112835e-05
Position 1893: 1.2532702306738631e-05
Position 774: 1.2294077380009531e-05
Position 1278: 1.0350917387434953e-05
Position 638: 9.901604743102204e-06
Position 1203: 9.864402009923586e-06
Position 195: 9.27002960421274e-06
Position 772: 8.853068759256679e-06
Position 1723: 8.450579160284847e-06
Position 2177: 6.583192025860884e-06
Position 208: 5.593805407739419e-06
Position 1845: 5.045464578805643e-06
Position 697: 4.981612523486603e-06
Position 2005: 4.211454017665504e-06
Position 526: 2.0600907074502093e-06
Position 577: 1.8927355696560383e-06
Position 663: 1.600595899785527e-06
Position 691: 1.533068239381545e-06
Position 2012: 1.421250691354214e-06
Position 487: 1.4045088276040753e-06
Position 1042: 1.2866837732695416e-06
Position 1611: 8.512176802800597e-08
Position 1755: 1.7818057424312803e-08
Position 401: 1.4242769685529418e-08
Position 1747: 3.952825566639018e-09
Position 501: 1.4026709063702617e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1602: 0.9478695460620427
Position 1009: 0.7002924811912788
Position 2294: 0.19606271619299112
Position 4176: 0.18722528870135335
Position 229: 0.14897792330885395
Position 5098: 0.12446810157545195
Position 1923: 0.11184106083479767
Position 1141: 0.09959305992494318
Position 3757: 0.08171208511452717
Position 3943: 0.06338422325747946
Position 3915: 0.046234515224945795
Position 4365: 0.043056801575862065
Position 4071: 0.042363320263492335
Position 114: 0.03914506405822937
Position 3982: 0.03714558297810841
Position 3433: 0.03296564350331051
Position 3203: 0.02416568134237901
Position 3065: 0.021322937935013806
Position 501: 0.018496544955035044
Position 4026: 0.017950125920418173
Position 4336: 0.017648132927111003
Position 4410: 0.013564019387149996
Position 1610: 0.011981995930936545
Position 3661: 0.011568931605707876
Position 2012: 0.00847808730029811
Position 3665: 0.007914030403588922
Position 3709: 0.007905439493149471
Position 1822: 0.0077946400790939625
Position 3361: 0.007393699569618414
Position 546: 0.007387517248553972
Position 3876: 0.007091602611167582
Position 2037: 0.0070758666128236
Position 3812: 0.007036711100332772
Position 438: 0.006325507521862029
Position 4246: 0.00585279055680492
Position 2167: 0.005341852592070082
Position 304: 0.00494044045115723
Position 4186: 0.004860279629088868
Position 2057: 0.004854201460884334
Position 2667: 0.00434507534453052
Position 4118: 0.0041928417753810555
Position 226: 0.004162386881043424
Position 3464: 0.004048112134463997
Position 4856: 0.003787936209781495
Position 3227: 0.003684891371758045
Position 4091: 0.003647663378496751
Position 4958: 0.0035789516262133498
Position 1364: 0.0032232097876472086
Position 3469: 0.002796757715839053
Position 3110: 0.002609495305089721
Position 3545: 0.002541302970497723
Position 2715: 0.0025239246798668957
Position 1186: 0.0024598187619748503
Position 2810: 0.002270819321664726
Position 2965: 0.0019235133757665804
Position 2818: 0.0018623544683199597
Position 691: 0.001750667134414451
Position 2483: 0.0015048313580737064
Position 1955: 0.0014279588075922702
Position 808: 0.001387177983858191
Position 4216: 0.001285530292306548
Position 1214: 0.0012604077054852991
Position 467: 0.0012496090750029182
Position 3440: 0.0011652152625289541
Position 1805: 0.0010465478947778411
Position 2169: 0.0010304599289726816
Position 2224: 0.0009906910334027614
Position 268: 0.0009797949920585059
Position 3680: 0.0009622192538313717
Position 3984: 0.0009417762513351875
Position 2513: 0.0009034885765510205
Position 1945: 0.0008938328423494947
Position 2257: 0.0008712660622451737
Position 2718: 0.0008574233832629055
Position 160: 0.0008235687759876772
Position 1893: 0.0007661417310459223
Position 3042: 0.0007404715418071107
Position 789: 0.000671019866893661
Position 2189: 0.0006027436888202913
Position 1989: 0.0006012024238987699
Position 730: 0.0005828554334310716
Position 1017: 0.000579563246272335
Position 3232: 0.0005400760954424876
Position 1521: 0.0005283775607525568
Position 3338: 0.0005149021008010375
Position 4272: 0.0004966339543863606
Position 2629: 0.0004901226788768152
Position 2462: 0.00048386108852512124
Position 4230: 0.0004826735193109989
Position 4820: 0.0004441293230875569
Position 2645: 0.00041985317168757234
Position 2329: 0.0004171312402832564
Position 2186: 0.00041048414964747683
Position 765: 0.00038969255282718065
Position 3962: 0.0003890382679597645
Position 193: 0.0003794128058303809
Position 2680: 0.00037611375445839086
Position 4249: 0.00035330525679185356
Position 1900: 0.0003240482053330054
Position 3921: 0.0002933437854568396
Position 841: 0.00026589132327852096
Position 474: 0.00025400653820176547
Position 1408: 0.0002528654319911563
Position 4650: 0.0002370764440944438
Position 4872: 0.00023429200140720984
Position 627: 0.0002173495828395013
Position 2118: 0.00021600218060990263
Position 241: 0.0001896407930530582
Position 3714: 0.0001890907854224472
Position 520: 0.00014620950610197658
Position 2516: 0.00014302301581849822
Position 3480: 0.00013869733381025097
Position 145: 0.00013722921931106174
Position 1174: 0.0001369803426844782
Position 1149: 0.0001344909062772788
Position 954: 0.0001227113635119821
Position 562: 0.00012163729884761976
Position 962: 0.00010740043761049928
Position 2763: 9.897516308275357e-05
Position 3126: 9.649288161112148e-05
Position 1550: 9.599846249017255e-05
Position 184: 9.215670050446e-05
Position 1474: 8.841688522983529e-05
Position 2952: 8.686419052989166e-05
Position 3114: 8.442682146269293e-05
Position 2860: 7.954455244002649e-05
Position 508: 7.417213265364685e-05
Position 972: 7.411968428286472e-05
Position 1211: 6.941675333432285e-05
Position 2402: 6.659041900717294e-05
Position 178: 6.494641548859192e-05
Position 570: 6.451087037770486e-05
Position 1676: 6.267437893167249e-05
Position 2337: 5.519805630397041e-05
Position 1458: 5.368015336302098e-05
Position 1030: 5.3354681059254e-05
Position 1114: 5.037864067057243e-05
Position 1958: 4.697461831756472e-05
Position 1455: 4.025116261117234e-05
Position 590: 3.608083211655757e-05
Position 810: 3.59538263393126e-05
Position 711: 3.4608798352160474e-05
Position 1429: 2.9944537269530562e-05
Position 139: 2.8778248724941144e-05
Position 944: 2.3550732575318045e-05
Position 815: 2.274890195074873e-05
Position 735: 2.1098818201799387e-05
Position 1573: 1.7979155406637695e-05
Position 767: 1.7609267437574016e-05
Position 895: 1.7503538929045852e-05
Position 889: 1.729532086822138e-05
Position 871: 1.5282658225560022e-05
Position 481: 1.487895008366454e-05
Position 1163: 1.283669416316336e-05
Position 1266: 1.1954767910450728e-05
Position 1188: 1.000459536917465e-05
Position 1371: 9.07243632830337e-06
Position 1485: 7.31328090099321e-06
Position 1528: 5.834546355641836e-06
Position 1378: 4.710195929787438e-06
Position 168: 4.642917119787669e-06
Position 1393: 4.549457086345605e-06
Position 1480: 4.172238169848301e-06
Position 322: 4.16689694127231e-06
Position 1691: 3.765681522425102e-06
Position 631: 3.0253376202916594e-06
Position 195: 2.9944956937735336e-06
Position 772: 2.8830180175506987e-06
Position 355: 1.8607719387082598e-06
Position 1434: 1.6701663214388666e-06
Position 2274: 1.2440442566341224e-06
Position 1036: 1.1923872187487443e-06
Position 1712: 1.0223313296839365e-06
Position 1504: 9.614059335517016e-07
Position 812: 8.159412706923002e-07
Position 653: 6.731266025845464e-07
Position 401: 5.740319255214405e-07
Position 851: 5.081251164964363e-07
Position 1027: 5.047349562922778e-07
Position 1387: 4.4079862429459495e-07
Position 697: 4.3600238978404093e-07
Position 2269: 3.656274140125832e-07
Position 1332: 3.0409666732035766e-07
Position 1052: 2.7868690880352316e-07
Position 911: 2.5467043984309244e-07
Position 1723: 2.4991846714012456e-07
Position 1733: 2.43798359392868e-07
Position 941: 2.2661534987043296e-07
Position 1321: 2.2469282081353774e-07
Position 857: 1.0728582788925084e-07
Position 1223: 6.231173277706214e-08
Position 359: 2.5785459248276353e-09
Position 612: 2.1827184289950255e-09
Position 1775: 6.794358161178083e-10
Position 636: 3.306263254335891e-10
Position 389: 9.002504633289914e-11
Position 595: 4.552763703983137e-11
Position 367: 7.848646968857613e-12
