Gene = Uso1
index = 1171
Annotated 5SS: [  226 14590 14979 20543 28694 29191 29396 32856 36167 39638 42693 43557
 44172 49408 49879 50187 51407 54914 56238 57497 60497 61987 63413]
Annotated 3SS: [14502 14913 20465 28592 29087 29339 32734 35987 39496 42603 43401 43959
 49296 49759 50004 51284 54774 56073 57409 60397 61878 63196 63918]
SMsplice 5SS: [  226 14590 14979 28694 29260 29396 32856 36167 39638 42693 44172 51407
 54914 55695 56238 57497 60497 61987 63413]
SMsplice 3SS: [14502 14913 28592 29087 29339 32752 35987 39496 42603 44066 51284 54774
 55514 56073 57375 60397 61878 63196 63918]
top_k =  1000
Partition function (log Z): 33.59601828662877

Sorted 5' Splice Sites (High to Low Probability):
Position 14979: 0.9988245255120342
Position 57497: 0.9966162047066119
Position 44172: 0.995854895058482
Position 60497: 0.9904437115511875
Position 54914: 0.9896500098582802
Position 51407: 0.9823181292964628
Position 32856: 0.9720924527497825
Position 56238: 0.9647475032905304
Position 61987: 0.9571858787259411
Position 14590: 0.9333480416515292
Position 226: 0.8852698768184907
Position 36167: 0.8459177424851939
Position 39638: 0.8447866546197068
Position 28694: 0.840589216750327
Position 63413: 0.779346536486566
Position 55695: 0.7329980913180371
Position 29396: 0.7070722485659005
Position 42693: 0.6991468566910638
Position 63658: 0.5737753324557805
Position 35578: 0.5288121404426245
Position 48082: 0.49012496882160045
Position 20543: 0.43235918284513003
Position 2714: 0.4259615107379309
Position 3274: 0.4051054847221227
Position 29260: 0.40178996164287756
Position 43561: 0.3819717150763585
Position 4620: 0.34801986226098836
Position 49879: 0.3388601041434268
Position 3240: 0.31533744712814604
Position 29191: 0.2959726130029986
Position 29225: 0.2811090415105506
Position 59958: 0.2701518306190501
Position 57203: 0.26613385387135174
Position 42742: 0.256071342074822
Position 62223: 0.21002326155029713
Position 52150: 0.2001202086552582
Position 29487: 0.1818483748772322
Position 51794: 0.17941773643437103
Position 43966: 0.1613168926225847
Position 57167: 0.1604181944417307
Position 45565: 0.15394931663446476
Position 1893: 0.14966954640366062
Position 47124: 0.13900903442199986
Position 45367: 0.13425409511382103
Position 29701: 0.12708515672069493
Position 42920: 0.1242559387609257
Position 30046: 0.12372613892171792
Position 58805: 0.11251135094274402
Position 35821: 0.10357677347902114
Position 31096: 0.10339977408156503
Position 40177: 0.10107937239685444
Position 50187: 0.08224877202689583
Position 8142: 0.08203610413596281
Position 35121: 0.07717366267457855
Position 44002: 0.07703100989615286
Position 42440: 0.07494002512119353
Position 14563: 0.06206131840395126
Position 51874: 0.057368751492767434
Position 41303: 0.05659077405051106
Position 60870: 0.05543281086263242
Position 45315: 0.054938670946122835
Position 52401: 0.05396354301707187
Position 8051: 0.05291668713584488
Position 36123: 0.05245834649897236
Position 30539: 0.048879077215062045
Position 31284: 0.047599027236692015
Position 63308: 0.046162127830234816
Position 270: 0.04500362860671019
Position 61071: 0.04329107603513913
Position 55705: 0.041739589145402115
Position 55990: 0.041238868560580684
Position 34780: 0.04050386611923988
Position 585: 0.038613481790773806
Position 58532: 0.03581552836356156
Position 60024: 0.035020170061599236
Position 32340: 0.034047460663767265
Position 44596: 0.033733420695012964
Position 38503: 0.03232497302450437
Position 35988: 0.030405868631931874
Position 29517: 0.029982130192192747
Position 42282: 0.02961290583014826
Position 41094: 0.02960003510081743
Position 63344: 0.02921386896363045
Position 38452: 0.028753453849349565
Position 2632: 0.027081248096454073
Position 42151: 0.02680003129792389
Position 61465: 0.026356194253140713
