Gene = 1700016H13Rik
index = 10
Annotated 5SS: [ 241 1089 6589]
Annotated 3SS: [ 953 6433 7055]
SMsplice 5SS: [ 667  819 1089]
SMsplice 3SS: [ 767  953 6291]
top_k =  1000
Partition function (log Z): -9.567242389870861

Sorted 5' Splice Sites (High to Low Probability):
Position 1089: 0.9508392256408583
Position 819: 0.4806174042280378
Position 667: 0.47933001637874845
Position 352: 0.16138078682045318
Position 1868: 0.1202415417042466
Position 4599: 0.08753911470895681
Position 7394: 0.08588453929598867
Position 6589: 0.08017674528110807
Position 836: 0.06586286928900982
Position 566: 0.04219465092423162
Position 407: 0.03669583894657629
Position 675: 0.0361191740957467
Position 252: 0.03370477572398266
Position 2527: 0.031161487706917602
Position 684: 0.022644393111653085
Position 164: 0.02052536739301017
Position 241: 0.015427769859592481
Position 535: 0.012590612031654066
Position 2998: 0.011367111362388365
Position 80: 0.01048447227798561
Position 841: 0.009049654964602635
Position 7543: 0.00762857830066987
Position 425: 0.006665736029099779
Position 59: 0.006107104914066873
Position 691: 0.0050316468671324005
Position 389: 0.004533283010857894
Position 364: 0.0041857958747762635
Position 639: 0.0038463810343090142
Position 2625: 0.0037234861184434302
Position 830: 0.0032083558606199503
Position 7634: 0.002832847712078614
Position 4583: 0.0028053417694109306
Position 493: 0.0025370611309812542
Position 1454: 0.002442526309887507
Position 330: 0.0022717669107762545
Position 1555: 0.002223536912898113
Position 6473: 0.002057149960021974
Position 231: 0.0018480306211014277
Position 126: 0.00182124888555241
Position 659: 0.0017616988605975597
Position 4866: 0.0016411062746017318
Position 1349: 0.0012804750854325888
Position 997: 0.001129081353964189
Position 1334: 0.0009762078516668033
Position 7803: 0.0009461698861011458
Position 7346: 0.0008968090882736418
Position 2065: 0.0005177942534948312
Position 701: 0.00039201943187871434
Position 146: 0.00026939766006194054
Position 847: 0.0002574677989064089
Position 1391: 0.0001866901809028836
Position 1054: 0.0001830061481475648
Position 5: 0.00017771214456177852
Position 1462: 0.00017370025004827792
Position 132: 0.00016369455260722865
Position 1093: 0.00014370920465271128
Position 2522: 0.00013463979622856055
Position 108: 0.0001330286191786686
Position 420: 9.469934294314373e-05
Position 433: 8.968927059086357e-05
Position 3343: 7.559768940175362e-05
Position 706: 7.153576047827153e-05
Position 525: 6.683380578120107e-05
Position 5885: 6.041054481818152e-05
Position 2157: 5.78816209749912e-05
Position 13: 5.276590341737446e-05
Position 823: 4.45442083509709e-05
Position 1029: 4.333425125681846e-05
Position 498: 3.269512637124566e-05
Position 11: 3.177345190612241e-05
Position 1426: 2.9624520435208976e-05
Position 1956: 2.8910037767958973e-05
Position 555: 1.8328413979687412e-05
Position 579: 1.1074625126327453e-05
Position 51: 8.4984870669071e-06
Position 1951: 7.065470639283917e-06
Position 2509: 3.4395011341285702e-06
Position 2612: 2.059772048199501e-06
Position 2362: 1.734997068924473e-06
Position 2638: 1.4968242734620921e-06
Position 712: 1.32692627543781e-06
Position 576: 1.2972926062503816e-06
Position 1079: 9.329877145767293e-07
Position 1087: 6.160497651475951e-07
Position 1011: 5.016037631969741e-07
Position 582: 3.1367058189457936e-07
Position 1188: 3.124769422906843e-07
Position 971: 3.026021861494573e-07
Position 1367: 1.3531091044823923e-07
Position 1342: 1.2741088917013194e-07
Position 1021: 2.5489317110732393e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 953: 0.9640343083232261
Position 767: 0.4250178948258744
Position 6291: 0.1777072028426269
Position 7259: 0.15142770922686194
Position 7055: 0.09883440184335815
Position 7702: 0.08592537916910027
Position 2400: 0.06978081391859808
Position 2742: 0.06955481689816503
Position 4691: 0.06715021815762048
Position 4389: 0.06709371802921185
Position 4449: 0.06578814497511266
Position 5796: 0.054721505780204925
Position 1733: 0.050589818675205823
Position 1744: 0.047484089033510056
Position 6433: 0.04142718740961289
Position 601: 0.03241881971155503
Position 1764: 0.030747026702694497
Position 1295: 0.028234749069265794
Position 2821: 0.023630904937399645
Position 6686: 0.022468458984115952
Position 6713: 0.01958653653023044
Position 725: 0.01842997806214878
Position 4407: 0.017440411245707645
Position 6338: 0.016813180290018073
Position 7716: 0.01603176982931045
Position 7596: 0.01326402068235318
Position 7457: 0.010717146535226327
Position 6230: 0.009580095483966778
Position 4093: 0.008606862142867143
Position 1910: 0.007926994089966045
Position 4483: 0.007648867210670996
Position 7382: 0.007571206542463389
Position 7494: 0.007269714327221316
Position 6437: 0.0063595278637393025
Position 2344: 0.006158239102682275
Position 4640: 0.005582494060389259
Position 2428: 0.0049071107488302115
Position 6885: 0.004755829415867707
Position 2256: 0.00443343985251107
Position 7207: 0.004287002050542721
Position 6385: 0.004220740843594174
Position 3898: 0.004055128181180147
Position 2764: 0.0033590820848064694
Position 2477: 0.0032978290733915116
Position 3199: 0.0032011320305749447
Position 933: 0.003067080511053308
Position 1442: 0.0029708006521183316
Position 7478: 0.0027790403674275857
Position 3545: 0.0026932599545539428
Position 884: 0.002664310942969782
Position 5767: 0.0024008335118438856
Position 1590: 0.002380286122343814
Position 1769: 0.0022739848248648467
Position 3071: 0.002204270058851038
Position 1700: 0.002026788823115653
Position 7876: 0.0020229708983691844
Position 1554: 0.0019400768978648437
Position 5704: 0.0018968564604884108
Position 1969: 0.001878731050359333
Position 7135: 0.0017648898175309318
Position 6841: 0.0015883305855671922
Position 534: 0.0015139694453694902
Position 4741: 0.0015125137963036275
Position 7802: 0.0014890850221420545
Position 430: 0.0014771450906089576
Position 1370: 0.0014405745717181997
Position 7075: 0.0013890812342260204
Position 1772: 0.0013696832700593959
Position 6837: 0.0012842422308570055
Position 489: 0.0012808609684291502
Position 4317: 0.0012546377632152274
Position 6856: 0.0012426851977250042
Position 4471: 0.001204142339063327
Position 3634: 0.001061550088046452
Position 6018: 0.0010401647978207145
Position 570: 0.0009615662141848439
Position 4168: 0.0009510805617371824
Position 1867: 0.0009368651253587605
Position 2579: 0.0009073439120576317
Position 5175: 0.0008018851191915158
Position 4186: 0.0007833416879919104
Position 7620: 0.0007717199135435259
Position 5675: 0.0007607788396132202
Position 959: 0.0007129637300826928
Position 3696: 0.0007036978976625512
Position 1231: 0.0007006699167095396
Position 1479: 0.0006996397931548875
Position 2303: 0.0006984401616433069
Position 5792: 0.000672929983930638
Position 2262: 0.0006685172103112379
Position 1390: 0.0006560425775838596
Position 2929: 0.000597959161443289
Position 2156: 0.000591568642254965
Position 5400: 0.0005841203230529291
Position 988: 0.000584064678007442
Position 4649: 0.0005609928247733891
Position 976: 0.0005429652245650306
Position 3360: 0.0005361817409817956
Position 3974: 0.000536055774051844
Position 3587: 0.0005176931412159933
Position 2369: 0.0005161040840304052
Position 5516: 0.0005067083372050995
Position 5491: 0.000495427969667452
Position 1466: 0.0004579325774063966
Position 3841: 0.0004561810333896508
Position 4458: 0.0004239838372040157
Position 445: 0.00042213713374784743
Position 2997: 0.0004007048862459962
Position 1236: 0.00038268122680156316
Position 239: 0.0003579262059014966
Position 1348: 0.00035774659261383137
Position 515: 0.00033522280467712103
Position 835: 0.00030625605359513964
Position 3916: 0.0002917818329865034
Position 4263: 0.0002867735772281055
Position 1292: 0.0002836287968937955
Position 287: 0.0002702092759523108
Position 5885: 0.0002694006994070612
Position 3792: 0.0002286166992430792
Position 3487: 0.00021886800504685353
Position 864: 0.00020895875085449463
Position 1001: 0.00018924858135552417
Position 1990: 0.00017614267499484117
Position 2328: 0.00016804592787318255
Position 1154: 0.0001511394451999458
Position 2790: 0.00014589069679073294
Position 1215: 0.00013440904129457826
Position 510: 0.00012610784851146249
Position 610: 0.00011378659415745036
Position 1710: 9.899898187985602e-05
Position 1307: 8.600677042048465e-05
Position 1507: 6.975561768245972e-05
Position 1855: 6.758277492133808e-05
Position 3309: 6.647836817635164e-05
Position 3076: 6.568681717720718e-05
Position 809: 6.272970605369534e-05
Position 538: 6.140394736187065e-05
Position 1188: 5.977664223435535e-05
Position 1717: 5.885830080271887e-05
Position 788: 5.6727648420669894e-05
Position 2133: 3.7329081156556045e-05
Position 405: 2.616808998493023e-05
Position 464: 2.2070094869285178e-05
Position 1777: 2.181552324937896e-05
Position 373: 2.1791508998474468e-05
Position 244: 2.0225099890687397e-05
Position 512: 1.3289920658475298e-05
Position 280: 1.2027543304155812e-05
Position 1813: 1.147857020645658e-05
Position 542: 1.1466425946643333e-05
Position 968: 1.08608071823258e-05
Position 1790: 8.431380715647394e-06
Position 303: 8.163511230291839e-06
Position 211: 6.412500615027283e-06
Position 296: 5.651671100879012e-06
Position 458: 3.818312174707442e-06
Position 300: 3.421849983843874e-06
Position 181: 3.167872566860453e-06
Position 177: 2.8344624964268725e-06
Position 1780: 2.5567582670780356e-06
Position 520: 2.518198090490027e-06
Position 442: 2.270816076532127e-06
Position 622: 2.1514276989673753e-06
Position 330: 1.9131352969086598e-06
