Gene = 1810062G17Rik
index = 25
Annotated 5SS: [ 303 3631]
Annotated 3SS: [3546 5838]
SMsplice 5SS: [303]
SMsplice 3SS: [5714]
top_k =  1000
Partition function (log Z): -11.666581724529458

Sorted 5' Splice Sites (High to Low Probability):
Position 303: 0.5406570151264153
Position 3644: 0.2800780590970507
Position 4744: 0.15926146969682276
Position 296: 0.1262906253047132
Position 54: 0.0944289793188997
Position 429: 0.0869588463057093
Position 127: 0.07087249671603987
Position 1426: 0.06457328214956451
Position 5317: 0.06065427914170627
Position 400: 0.05349100762588277
Position 3878: 0.04870084501120703
Position 3635: 0.04283301954112469
Position 5321: 0.042539383817049366
Position 3631: 0.033577085078453285
Position 476: 0.017511551983229127
Position 4215: 0.01670443457833743
Position 5027: 0.01646082239143715
Position 158: 0.016180072433262926
Position 3138: 0.015974577586863558
Position 3579: 0.01484805372976752
Position 156: 0.011785832805951694
Position 185: 0.011005226479662391
Position 4722: 0.008003942018385076
Position 4994: 0.00671258207733116
Position 998: 0.004707574911354451
Position 435: 0.004691165985804221
Position 48: 0.004580493715652397
Position 2417: 0.0044262152681365996
Position 277: 0.004264144078232104
Position 4010: 0.0032340169159643687
Position 67: 0.002885443870612997
Position 5851: 0.0022737162379003685
Position 729: 0.0018310310410701858
Position 5052: 0.0016616301792597428
Position 5568: 0.0014942570055516088
Position 2353: 0.0014685128879542398
Position 2975: 0.0012481273292183116
Position 163: 0.0011871493231520563
Position 3176: 0.0011526623877606127
Position 191: 0.0009246787896039285
Position 255: 0.000846116508585845
Position 2745: 0.0008440031271369823
Position 220: 0.0006838122318113204
Position 171: 0.0006172536987267786
Position 5325: 0.0003253398149610387
Position 1432: 0.0002704860779450083
Position 58: 0.00026637035754933187
Position 4829: 0.0002482116438290334
Position 56: 7.752397472875575e-05
Position 648: 4.989824907863958e-05
Position 805: 4.6893499148483105e-05
Position 968: 3.9456271571636215e-05
Position 3648: 3.70131602934843e-05
Position 378: 2.9374252677778674e-05
Position 169: 2.4687560744295756e-05
Position 98: 2.3566960499190682e-05
Position 230: 1.5906762593501604e-05
Position 975: 1.2899394081930201e-05
Position 232: 1.1377364982293133e-05
Position 862: 9.153947549984426e-06
Position 734: 5.0430439431667135e-06
Position 548: 4.625847621309527e-06
Position 77: 2.5957820189470027e-06
Position 189: 1.5022896464258457e-06
Position 573: 1.3213735920643836e-07
Position 487: 1.2764136512665986e-08
Position 461: 1.05779856557045e-08
Position 556: 1.586201208075198e-10
Position 546: 1.073914295197578e-10
Position 668: 2.1866269687919806e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 5714: 0.5418353597133716
Position 4898: 0.2978773343388957
Position 3546: 0.20619341330423765
Position 3484: 0.19354105672957703
Position 4544: 0.13572252823609138
Position 347: 0.08690278156158467
Position 3767: 0.06417890032901521
Position 5208: 0.051809012896866666
Position 1373: 0.04107549765943869
Position 4659: 0.03172319463563708
Position 2964: 0.02817554971426769
Position 5838: 0.025334481829879803
Position 3868: 0.022960750595382363
Position 1285: 0.018369762345505147
Position 4361: 0.010172994849115047
Position 4413: 0.010024250427856119
Position 5092: 0.009812222333238071
Position 3600: 0.0069672134959936054
Position 5947: 0.0057663440839879065
Position 2334: 0.005587551210176107
Position 1038: 0.005565893914291878
Position 2820: 0.0050997332707402015
Position 2108: 0.0037917083662238824
Position 729: 0.0035958564318844632
Position 5467: 0.0034308626105693284
Position 5721: 0.0033714609017602786
