Gene = A830018L16Rik
index = 80
Annotated 5SS: [   533  97961 104605 131178 148887 174442 182213 333987 384462 415787
 519487 536952 557998]
Annotated 3SS: [ 97812 104472 131048 148857 174268 182045 333859 384375 415709 519438
 536857 557940 560817]
SMsplice 5SS: [   533   9139  12282  35701  66328  97961 104605 110578 128447 131178
 174442 181949 182213 185348 190033 200273 210531 211422 229090 238479
 286165 312795 333996 338035 367797 374791 384462 389857 391367 399875
 415467 415787 444810 449445 475129 536952 547371 557998]
SMsplice 3SS: [  9050  12165  35599  66253  97812 104472 110431 128337 131048 174268
 181798 182045 185259 189920 200207 210450 211332 228992 238410 286058
 312677 333859 337906 367707 374548 384375 389750 391283 399750 415331
 415709 444693 449348 475047 536857 547260 557940 560817]
top_k =  1000
Partition function (log Z): -320.3654560436322

Sorted 5' Splice Sites (High to Low Probability):
Position 9139: 0.8496150917240256
Position 12282: 0.8105398503121839
Position 533: 0.7582755759273296
Position 8579: 0.5519162647873351
Position 6813: 0.3503976636120388
Position 6104: 0.30287431478517296
Position 1501: 0.2949374764179282
Position 230: 0.17323926195803868
Position 4288: 0.16609753739542113
Position 7071: 0.15416878657016692
Position 732: 0.10240125279416364
Position 1278: 0.05218365653957123
Position 7320: 0.029051765504679163
Position 12729: 0.026281215578287453
Position 8004: 0.02430347814747787
Position 9956: 0.023733126430910176
Position 13103: 0.018987739161511523
Position 3940: 0.01482848373182706
Position 11964: 0.012289769965429903
Position 13501: 0.009941864178975642
Position 5565: 0.009808654635126682
Position 831: 0.008704537247064338
Position 11019: 0.008496556336406991
Position 4874: 0.00821538852458819
Position 207: 0.006626313260082982
Position 2498: 0.006226681747061233
Position 631: 0.006063425114142142
Position 6082: 0.004726872202241854
Position 4520: 0.0037353677884435256
Position 3782: 0.0030411465218105637
Position 1233: 0.002588501608290101
Position 400: 0.002186575288428224
Position 1506: 0.002098764958612923
Position 6805: 0.0017008208049082553
Position 6167: 0.0016347758508148953
Position 2897: 0.0015457142149006317
Position 546: 0.0013808755957099887
Position 4058: 0.0011826193197075096
Position 5262: 0.0010600047253326813
Position 1554: 0.000904978925981751
Position 6298: 0.0008667912763410674
Position 1224: 0.0007893216743767315
Position 1842: 0.0007693863237774924
Position 290: 0.0007677949486243271
Position 3357: 0.0007254586052857933
Position 5248: 0.0006022861426363815
Position 3184: 0.0005994244023845021
Position 2941: 0.0004988340864789706
Position 5979: 0.0004632864384209525
Position 3680: 0.00038263001599145644
Position 6017: 0.00036221564171009103
Position 1863: 0.00032757910656644056
Position 255: 0.00031547711287569955
Position 5748: 0.000273409122127033
Position 3737: 0.00018836212175512716
Position 1286: 0.00016969225738065896
Position 821: 0.0001477572870695632
Position 405: 0.00014652297952902222
Position 12714: 8.613828287282784e-05
Position 286: 7.603485651901481e-05
Position 556: 6.5370515450724e-05
Position 966: 6.199997059504098e-05
Position 519: 5.0366859944116816e-05
Position 1314: 4.093985626446528e-05
Position 840: 3.869778950207778e-05
Position 1152: 3.745217537222407e-05
Position 1242: 2.966000003578859e-05
Position 1216: 2.6064644051280277e-05
Position 577: 2.0697610044882376e-05
Position 56: 7.952245087483899e-06
Position 347: 7.430994501583338e-06
Position 277: 5.674182857162832e-06
Position 89: 5.4492625623601135e-06
Position 1629: 4.4551822595017495e-06
Position 413: 4.426045123271493e-06
Position 1264: 4.2552872151473656e-06
Position 586: 4.233566163343352e-06
Position 68: 3.709022417506433e-06
Position 1577: 2.629390260779196e-06
Position 580: 2.589055621760226e-06
Position 258: 2.534936015948906e-06
Position 306: 2.4807779018381618e-06
Position 583: 2.232821022720156e-06
Position 799: 9.634229149908753e-07
Position 526: 9.291021681920047e-07
Position 2910: 4.613995399520925e-07
Position 2431: 4.43506405343453e-07
Position 39: 3.5499493708481605e-07
Position 2922: 3.1806270007022494e-07
Position 8: 2.914309639203285e-07
Position 678: 2.70499337568147e-07
Position 363: 2.2858552895653042e-07
Position 713: 1.749376414781219e-07
Position 456: 1.658993151919534e-07
Position 474: 1.5708877010944602e-07
Position 280: 1.2282298899155948e-07
Position 433: 7.688404128609543e-08
Position 842: 2.303368101057189e-08
Position 3136: 4.4008622819445695e-09
Position 787: 9.128227977665125e-11
Position 974: 5.287395467217372e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 9050: 0.739057852995015
Position 12165: 0.6534831653751553
Position 8467: 0.5529788827668422
Position 23849: 0.5172290466400653
Position 6558: 0.33749169478287516
Position 5798: 0.16955098622180098
Position 12200: 0.1627867953928631
Position 1340: 0.14295890291024255
Position 6922: 0.10121202077903295
Position 1367: 0.0988999116710889
Position 17204: 0.08097371248161292
Position 4198: 0.06968052270556668
Position 13390: 0.06906070499007047
Position 4233: 0.06840078139897424
Position 9089: 0.06450562231987829
Position 5978: 0.06146556026682914
Position 14308: 0.05614362977578181
Position 7047: 0.05426529806700376
Position 13565: 0.05373777466108217
Position 6052: 0.05114274063437382
Position 1045: 0.04990150919029724
Position 8991: 0.047880677016733084
Position 1400: 0.04177522361832236
Position 12522: 0.03977274642068045
Position 13002: 0.0379564453160286
Position 13628: 0.03128234946165491
Position 12368: 0.0286534882514594
Position 5710: 0.02423254328632414
Position 13408: 0.021207531145489653
Position 7800: 0.02092823950740043
Position 4151: 0.019085150693894926
Position 6522: 0.016882046821730213
Position 13266: 0.016340530790740392
Position 9752: 0.015882621624676903
Position 11663: 0.015402568642006247
Position 493: 0.014941696130279491
Position 7190: 0.014279124811272945
Position 13102: 0.01367713182571653
Position 677: 0.013170500952548413
Position 3707: 0.012696754408135275
Position 12901: 0.011300970606719732
Position 14336: 0.010779571507139207
Position 630: 0.010573770482671389
Position 9781: 0.010310532293823749
Position 4767: 0.007987052851781924
Position 12082: 0.007647591832751965
