Gene = Ccer2
index = 227
Annotated 5SS: [  84  331  569 1394]
Annotated 3SS: [ 289  480  866 2480]
SMsplice 5SS: [ 84 331 569]
SMsplice 3SS: [ 289  480 2480]
top_k =  1000
Partition function (log Z): -6.019629471388694

Sorted 5' Splice Sites (High to Low Probability):
Position 84: 0.8747380931075442
Position 331: 0.7252166495761782
Position 569: 0.6553718168250414
Position 1394: 0.10052237784591503
Position 2321: 0.07121874581183019
Position 187: 0.02291343515755161
Position 218: 0.008740214863437835
Position 924: 0.00462235927939255
Position 1788: 0.0033107905045943378
Position 134: 0.0023173048759438054
Position 514: 0.0022581928268867765
Position 662: 0.0018715354057744563
Position 961: 0.0007286584185017112
Position 161: 0.0006896344145974764
Position 416: 0.00047905155143334216
Position 227: 0.00038607395877306394
Position 502: 0.0003572161812572431
Position 224: 0.0002372555629394131
Position 123: 0.00017526015666855405
Position 193: 0.0001658307563790559
Position 88: 0.00016444105602984055
Position 369: 0.0001637560719420463
Position 2175: 0.00016205381944298954
Position 1819: 0.00015764487976487282
Position 1758: 0.0001476778858069439
Position 146: 0.00014205623600872666
Position 1674: 0.00013794814866454472
Position 2137: 0.00012099446951634285
Position 2663: 9.885709561104335e-05
Position 237: 6.542850102992462e-05
Position 1018: 6.196747049752237e-05
Position 1136: 5.217043465292684e-05
Position 1025: 5.0365173374844256e-05
Position 112: 3.5808467499285384e-05
Position 17: 3.1031397716529315e-05
Position 364: 1.7758996872005247e-05
Position 255: 3.462358709979308e-06
Position 208: 2.2801610654079407e-06
Position 675: 1.8918561951756118e-06
Position 668: 9.861449452872734e-07
Position 780: 8.301634439547603e-07
Position 273: 8.064701927811213e-07
Position 463: 6.71883043353841e-07
Position 583: 5.714065049492324e-07
Position 804: 5.044148692942844e-07
Position 790: 3.1768928506589115e-07
Position 245: 3.096201380834475e-07
Position 666: 1.845392885636244e-07
Position 640: 1.4763651529406832e-07
Position 505: 8.343866550943268e-08
Position 633: 2.5648332837490965e-08
Position 648: 2.1116077200822585e-08
Position 832: 4.513446412090288e-09
Position 491: 1.6225344486775073e-09
Position 15: 1.5611076068449147e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 289: 0.6719846682223741
Position 480: 0.4766937567580123
Position 2480: 0.4115437890486523
Position 419: 0.23206452661243618
Position 866: 0.16335188651837565
Position 1267: 0.06621669744853433
Position 2212: 0.05746777570778016
Position 687: 0.0493852888327819
Position 2258: 0.04545841780184487
Position 1971: 0.03281851587262122
Position 2006: 0.02446008454994352
Position 1750: 0.016163829249102132
Position 186: 0.012843219444409498
Position 2320: 0.012409166571872883
Position 499: 0.011147454066370155
Position 2440: 0.009684750675677329
Position 1216: 0.008151308946010247
Position 780: 0.007879737787700018
Position 913: 0.007376417134242635
Position 2387: 0.007321844340824106
Position 943: 0.007070413998758371
Position 1642: 0.006706442244404394
Position 1333: 0.006671147108880757
Position 832: 0.006418644385454363
Position 808: 0.0059481617892458314
Position 2623: 0.005604344382154576
Position 501: 0.005390634551806429
Position 705: 0.005236728745547947
Position 1478: 0.0052080970013856365
Position 2349: 0.005170284593836407
Position 1950: 0.004918524296422895
Position 314: 0.004610463059831246
Position 1030: 0.004167100961293038
Position 733: 0.0037151001748568493
Position 2041: 0.00349394312875939
Position 723: 0.0034675268496317897
Position 2230: 0.0034319970249154634
Position 2608: 0.0033360915063265794
Position 2666: 0.002881610359513358
Position 2097: 0.002725966998714733
Position 496: 0.0026898823785542155
Position 868: 0.002655396848310488
Position 1059: 0.002561190737442022
Position 1293: 0.002350061101327432
Position 2146: 0.0021136257563487766
Position 666: 0.002093092950379533
Position 1940: 0.0019312708713044061
Position 1072: 0.0018523111152273207
Position 298: 0.0018231288575415257
Position 2602: 0.0017696353669907152
Position 1222: 0.001584368710955598
Position 568: 0.0014804109299131226
Position 1250: 0.001410068747684787
Position 1036: 0.001362942678970558
Position 910: 0.001343994522017049
Position 1079: 0.0011372773230898623
Position 881: 0.00111319823842472
Position 827: 0.0010892013289629482
Position 626: 0.0009941996444938657
Position 1228: 0.0009625017010952293
Position 553: 0.0009185118400110447
Position 907: 0.0009041913324367505
Position 940: 0.0008950872653203372
Position 946: 0.0008756799812967797
Position 2744: 0.0007990784924581679
Position 1317: 0.0007589632758213684
Position 2193: 0.0007385559237464453
Position 1312: 0.0007147248075830455
Position 2451: 0.0006935921623702885
Position 1082: 0.0005893579445351515
Position 1051: 0.0005774398349128347
Position 916: 0.000567812158840659
Position 2081: 0.0005300732500588386
Position 1075: 0.0004595118376290971
Position 633: 0.00045476704651749024
Position 531: 0.00045451906309875416
Position 1591: 0.00043732199500080333
Position 1345: 0.0004203394752753486
Position 267: 0.0004107659475912527
Position 1673: 0.0004105020661687952
Position 762: 0.00040996963266335654
Position 1932: 0.00039861715850394476
Position 1063: 0.00038918112668393054
Position 1390: 0.00036624292975181327
Position 1662: 0.0003658522259009715
Position 217: 0.00035824931630565695
Position 738: 0.0003032314570544037
Position 2513: 0.00030275174149661604
Position 324: 0.00029420883180549445
Position 1093: 0.0002845619210074982
Position 1210: 0.00026662138192748696
Position 2425: 0.00024973677859991747
Position 2171: 0.00024921980715098533
Position 1690: 0.00023362060379665753
Position 812: 0.00022314804399390428
Position 2160: 0.00022167970535014466
Position 1160: 0.00021810151234701839
Position 1498: 0.0002146064252320787
Position 1504: 0.0002124379124276501
Position 1286: 0.00020444371180621706
Position 2152: 0.00019003335514065155
Position 2544: 0.0001888276204584641
Position 1291: 0.00017600193873871842
Position 790: 0.0001753594111123996
Position 1237: 0.00016982607205854079
Position 1522: 0.00016573705072700485
Position 174: 0.00014085047519096157
Position 2294: 0.0001369463820630657
Position 1154: 0.0001345263105692065
Position 2290: 0.0001312761562633861
Position 1219: 0.00013127031809204439
Position 1787: 0.00012501195978253943
Position 1708: 0.00011927986706439246
Position 255: 0.00011899898011006409
Position 1330: 0.00011422669019685541
Position 1186: 0.00011048810014987349
Position 330: 0.00010999848204633933
Position 537: 0.00010828299923883565
Position 167: 0.00010781268496081325
Position 1018: 0.00010737162096942265
Position 891: 0.00010358492194518613
Position 1393: 0.00010340689447895467
Position 1686: 0.00010324009794404645
Position 2391: 0.00010264610845233689
Position 2060: 9.666387710105694e-05
Position 1168: 8.958857037697071e-05
Position 966: 8.704789797928932e-05
Position 2184: 8.50426080616243e-05
Position 1278: 7.981413858845212e-05
Position 1952: 7.628701785117592e-05
Position 2352: 7.392187468298494e-05
Position 593: 7.36197601385782e-05
Position 1123: 7.054292828907745e-05
Position 2625: 6.811312644615895e-05
Position 1920: 6.527781831898688e-05
Position 1611: 6.168651759844694e-05
Position 1108: 6.151090155296035e-05
