Gene = Veph1
index = 1178
Annotated 5SS: [   235  32956  41956  52360  81427  91362 124872 137609 138928 171009
 175251 209137 235782]
Annotated 3SS: [ 32670  41739  52184  81259  91151 124650 137398 138529 170868 175115
 209018 235644 239495]
SMsplice 5SS: [    43  32956  41956  52360  60194  73019  81427  85498  91362 109378
 124872 137609 138661 158071 163134 171009 174784 175251 183162 183380
 186865 197015 202388 209137 215349 222523 231976 235782]
SMsplice 3SS: [ 32670  41739  52184  60088  72926  81259  85392  91151 109228 124650
 137398 138529 157960 163043 170868 174667 175145 183091 183282 186750
 196892 202196 209018 215245 222405 231800 235644 242636]
top_k =  1000
Partition function (log Z): -141.8907693641516

Sorted 5' Splice Sites (High to Low Probability):
Position 43: 0.5715879902287613
Position 5282: 0.5416041106517324
Position 1608: 0.47260474539954633
Position 235: 0.4185639514159168
Position 4378: 0.32885325360093637
Position 3787: 0.28266962954758756
Position 4500: 0.1126805981596137
Position 677: 0.09942732142127528
Position 7192: 0.06674077705024099
Position 6540: 0.04830554468734511
Position 7452: 0.0411275428592717
Position 2112: 0.026103476231826517
Position 6343: 0.01883560963062306
Position 401: 0.013342052344664025
Position 1971: 0.010301661061049957
Position 1435: 0.008981867892796268
Position 2482: 0.008407606569519511
Position 5362: 0.004854601152063534
Position 2610: 0.004070803595524753
Position 3089: 0.003734405449823382
Position 2628: 0.0035125481917787603
Position 2579: 0.003000111601273666
Position 290: 0.0022930306733260045
Position 10570: 0.0022558017846602014
Position 8985: 0.0018265696026422632
Position 4279: 0.0017310956498581198
Position 3240: 0.0013205526699411126
Position 1293: 0.0007847191189572775
Position 405: 0.0007296704062026657
Position 339: 0.0006507642251938431
Position 741: 0.0005107046999411956
Position 907: 0.0004917660155078509
Position 384: 0.00044674093440916213
Position 2794: 0.0004009516458232209
Position 1214: 0.00036920866573545477
Position 1094: 0.0003395060649154133
Position 417: 0.00032951435781167085
Position 698: 0.00028693109023537834
Position 641: 0.0002225870267173167
Position 411: 0.00019575504908452162
Position 700: 0.0001903381215465622
Position 918: 0.0001848038894437388
Position 415: 0.00017295935068179392
Position 862: 0.00016156378778950823
Position 152: 0.00015259876594403692
Position 1718: 0.00014850073612755632
Position 682: 0.0001450946954329229
Position 6154: 0.00014453554178075982
Position 399: 0.00013446574100889138
Position 280: 0.00013319477750111048
Position 421: 0.00013295968075106732
Position 460: 0.0001324159349334778
Position 171: 0.00011333330919203208
Position 159: 0.00010305200464617803
Position 149: 9.596021590608889e-05
Position 1581: 9.432052595689107e-05
Position 218: 7.999128090798332e-05
Position 766: 6.759869753812763e-05
Position 786: 6.046568789483231e-05
Position 1922: 4.605095189487296e-05
Position 781: 3.761094236992315e-05
Position 1112: 3.7366262815954507e-05
Position 225: 2.984144551734356e-05
Position 220: 2.2747719529528875e-05
Position 8000: 2.014723588217186e-05
Position 2041: 1.703804663589162e-05
Position 1585: 1.2192103480275284e-05
Position 2521: 9.796378100487443e-06
Position 97: 8.132921290476257e-06
Position 173: 6.7140529422604105e-06
Position 201: 5.333482576128582e-06
Position 2784: 5.01841548896557e-06
Position 47: 4.097043672224744e-06
Position 1983: 4.034492960589544e-06
Position 1882: 3.2917830152907384e-06
Position 467: 2.884907299640805e-06
Position 2185: 2.7066523628018883e-06
Position 17: 2.5576858452072858e-06
Position 419: 2.290457752325223e-06
Position 2978: 2.10920864512704e-06
Position 263: 1.6753411560744863e-06
Position 523: 1.3530047123355472e-06
Position 243: 1.2458006819721408e-06
Position 551: 9.595300730128072e-07
Position 464: 5.838612070791216e-07
Position 255: 5.544122883977406e-07
Position 521: 3.2961872080711903e-07
Position 431: 2.4091933327329193e-07
Position 505: 7.101703242575574e-08
Position 477: 3.599286154551102e-08
Position 532: 2.8295612382779472e-08
Position 936: 1.1788688447575842e-09
Position 888: 1.0376544487372273e-09
Position 1555: 2.92210980310769e-11
Position 1459: 2.409658488894923e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5175: 0.5262460756229932
Position 3687: 0.2661109989317132
Position 1520: 0.25567558505426297
Position 4241: 0.2389392923444063
Position 1497: 0.19531825035991265
Position 7055: 0.13193883834182796
Position 11009: 0.11169828361760414
Position 10456: 0.11128992494517616
Position 632: 0.09604073812443059
Position 6974: 0.08807541781996968
Position 7703: 0.0785299913577008
Position 6239: 0.0658194713910368
Position 9139: 0.057660617857150785
Position 7307: 0.0569339015537492
Position 10172: 0.05606155122797309
Position 8787: 0.04451471588780014
Position 4325: 0.04192249717790478
Position 4130: 0.04103850542793554
Position 9551: 0.03704709306774375
Position 14509: 0.03602701087194524
Position 4278: 0.031868934152954144
Position 4244: 0.02946757542699174
Position 13619: 0.02865230020259256
Position 4282: 0.027347722447788603
Position 6500: 0.025791747017682633
Position 2473: 0.02210417766450077
Position 1372: 0.019356023957337293
Position 5777: 0.018469130948248206
Position 6742: 0.017501470177396467
Position 4083: 0.016086922969778088
Position 5447: 0.01477946560678604
Position 12149: 0.014526614292271832
Position 7323: 0.013527305475502691
Position 7519: 0.013419910887818236
Position 1857: 0.013249152745777785
Position 8560: 0.011038968152438653
Position 7025: 0.011033069506840718
Position 7685: 0.0107235353881342
Position 8873: 0.010506512606018115
Position 4299: 0.009962325495946492
Position 6856: 0.009952558788080363
Position 271: 0.009862942304044638
Position 5953: 0.009753530743058568
Position 3692: 0.009747406414818536
Position 5103: 0.009337795909875572
Position 6609: 0.008708082426435783
Position 5200: 0.007163639500234446
Position 11173: 0.00636328317785681
Position 8502: 0.006160226332230004
Position 9169: 0.005966434271442266
Position 4434: 0.005862460089966985
Position 5080: 0.0052805898774842975
Position 6206: 0.004984464585613932
Position 3746: 0.004955652025702
Position 6425: 0.004494192253890182
Position 6402: 0.004476915079582165
Position 1978: 0.0044536947636506065
Position 268: 0.004453255284683621
