Gene = Selplg
index = 963
Annotated 5SS: [153]
Annotated 3SS: [10252]
SMsplice 5SS: [153]
SMsplice 3SS: [10252]
top_k =  1000
Partition function (log Z): -7.6167732858576445

Sorted 5' Splice Sites (High to Low Probability):
Position 153: 0.9293039972775183
Position 10586: 0.48464700272604955
Position 10384: 0.4402988224031272
Position 4246: 0.41326564545667227
Position 11747: 0.16300925120799017
Position 7685: 0.13523903720513022
Position 7871: 0.09003430659372864
Position 6245: 0.07991114858038341
Position 11318: 0.07531117940437737
Position 4782: 0.0661095199726512
Position 3425: 0.046652726187160994
Position 5704: 0.0439223262782581
Position 236: 0.04392056107940887
Position 472: 0.0403678542096253
Position 4662: 0.03702148889413829
Position 7543: 0.030484132973640107
Position 5100: 0.029160272099249585
Position 11305: 0.0271299426628489
Position 222: 0.02409821379116228
Position 2715: 0.02124028502123198
Position 6312: 0.014932942232524409
Position 3274: 0.012727141685350368
Position 11437: 0.012319589546963845
Position 7560: 0.011431972073891869
Position 5607: 0.011042761839270223
Position 6820: 0.008446337841126757
Position 5742: 0.007359002183405845
Position 10355: 0.006574856025411559
Position 7279: 0.006440753881812699
Position 11739: 0.005501319193658991
Position 5676: 0.004569053583514774
Position 6192: 0.004519028763181292
Position 5844: 0.004295620235086712
Position 4270: 0.004244263420460914
Position 5657: 0.003974590849658845
Position 10387: 0.003937241582176671
Position 2516: 0.0032438609593428546
Position 1847: 0.003066821266588839
Position 9898: 0.003045823108961353
Position 5757: 0.0026045835571529546
Position 3750: 0.0022716697301719112
Position 11227: 0.0021848637764283357
Position 4205: 0.0020685539323758552
Position 2883: 0.0020189336941285976
Position 1643: 0.0019347045431410599
Position 7067: 0.0017026576690202994
Position 3345: 0.0017005452868447343
Position 11804: 0.00162864775174505
Position 1527: 0.0015398363579534264
Position 3984: 0.0014876364668781395
Position 4432: 0.001447832127967173
Position 4653: 0.0012994000428351571
Position 6118: 0.0012789723955146893
Position 4363: 0.0012133684835953038
