Gene = ATP6V1A
index = 114
Annotated 5SS: [   95 31817 34160 37420 37815 39365 41857 42822 47976 48186 48921 51428
 56659 58507]
Annotated 3SS: [31721 34030 37204 37676 39212 41693 42712 47852 48070 48856 51223 56563
 58334 62315]
SMsplice 5SS: [   95   861 31817 37420 37815 39365 42822 47976 48186 48921 51428 52151
 56659 58507]
SMsplice 3SS: [  724 31721 37258 37676 39212 42712 47852 48070 48856 51223 52032 56563
 58334 62315]
top_k =  1000
Partition function (log Z): -32.756616409997186

Sorted 5' Splice Sites (High to Low Probability):
Position 861: 0.9303858501413708
Position 95: 0.8029819549821818
Position 9633: 0.49568489013559214
Position 5072: 0.1652924422678546
Position 526: 0.12481005486651903
Position 109: 0.09856813798133032
Position 11630: 0.023501395282147907
Position 65: 0.023117100930756217
Position 812: 0.021878465875937007
Position 320: 0.019333264637860937
Position 61: 0.012103024207124028
Position 11695: 0.011920013903492963
Position 2713: 0.01160441798054719
Position 1957: 0.008407385646114384
Position 1645: 0.007881419921070639
Position 946: 0.005711542183864452
Position 650: 0.004330710774090751
Position 4336: 0.002244399304576433
Position 828: 0.0016033229683874968
Position 1366: 0.0014425132130556114
Position 2525: 0.0012569640634998186
Position 493: 0.0008880136284264655
Position 1467: 0.0006445652263886312
Position 123: 0.0006311034631861898
Position 1942: 0.0004972467064664765
Position 368: 0.00047691278665374845
Position 655: 0.00028259420636981934
Position 397: 0.00028220174497918434
Position 7519: 0.00026691600269970896
Position 448: 0.0002657405666416029
Position 264: 0.00019489306343657584
Position 415: 0.00013426666697437302
Position 1071: 0.00013295835923486532
Position 865: 0.00011466288536470239
Position 324: 0.00011248342502230465
Position 313: 0.00011223209975324934
Position 600: 8.976346791862857e-05
Position 611: 8.916575610823637e-05
Position 690: 6.1019072935400564e-05
Position 1204: 4.720702783312215e-05
Position 269: 3.307003180153816e-05
Position 581: 3.254817376978304e-05
Position 40: 3.007643932002985e-05
Position 849: 2.7653184333423977e-05
Position 1220: 2.3907281864782836e-05
Position 120: 1.6598511234312983e-05
Position 519: 1.4779838113414782e-05
Position 3511: 1.4422504208391976e-05
Position 54: 1.39801461312637e-05
Position 173: 7.1213719594679795e-06
Position 171: 6.8063300383961305e-06
Position 138: 5.584487760324177e-06
Position 70: 4.058008497193275e-06
Position 763: 2.919066431735834e-06
Position 661: 2.3263073553165504e-06
Position 338: 2.1959816593480538e-06
Position 404: 2.126078059131971e-06
Position 1242: 1.6578939913052007e-06
Position 297: 1.3125104798896105e-06
Position 902: 1.2757452580126201e-06
Position 266: 9.26788806722435e-07
Position 2067: 7.047398861288698e-07
Position 575: 7.013910749282785e-07
Position 1805: 5.985563314460046e-07
Position 2071: 4.851149791104597e-07
Position 1095: 3.620207055611484e-07
Position 1274: 3.252031039972849e-07
Position 2202: 3.126123829008124e-07
Position 765: 2.9091926698158614e-07
Position 1723: 2.5423444973982797e-07
Position 956: 1.9850509933749359e-07
Position 1299: 1.5810170911865304e-07
Position 870: 1.507095266414838e-07
Position 769: 1.2728582767711732e-07
Position 817: 1.1386944784017527e-07
Position 822: 6.90178906923133e-08
Position 912: 6.480019135665314e-08
Position 820: 6.452504431789907e-08
Position 830: 4.7789739926602606e-08
Position 37: 2.791903317708498e-08
Position 780: 2.5149531146197853e-08
Position 14: 1.5974517439064733e-08
Position 1634: 7.352252033167226e-09
Position 378: 5.1430615978419395e-09
Position 212: 3.4765137879992248e-09
Position 1081: 3.3658742219213464e-09
Position 667: 5.742958683445245e-10
Position 272: 1.510274091451657e-10
Position 549: 3.6252101581036367e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 724: 0.9145854268277087
Position 9512: 0.4545143188736751
Position 22548: 0.26365068393156743
Position 14111: 0.18439575745340592
Position 20097: 0.17310176647758332
Position 4976: 0.16224396624043816
Position 20392: 0.08106217147217472
Position 13274: 0.04989429088541453
Position 16661: 0.0479134335143512
Position 470: 0.045592885961429755
Position 759: 0.04362535171794108
Position 12627: 0.04261553500452194
Position 11467: 0.037447983409174546
Position 9420: 0.027181103214145422
Position 12630: 0.01898192347953533
Position 9315: 0.01574170716546093
Position 311: 0.012301963464567599
Position 16096: 0.0113247945707893
Position 10012: 0.010692852052108176
Position 14107: 0.007912845668450684
Position 350: 0.007321356966880781
Position 7188: 0.006993117792124353
Position 2424: 0.006976632443446248
Position 1882: 0.006366235444408151
Position 447: 0.00630302829374975
Position 2597: 0.0058071678899483115
Position 644: 0.005674739132064241
Position 430: 0.005617115125242191
Position 13237: 0.005469974479929366
Position 1466: 0.005277525960924243
Position 2635: 0.004735970066640603
Position 3814: 0.0040606684079065505
Position 1145: 0.0038262341131601713
Position 2786: 0.0037860886425681007
Position 12488: 0.003781595368462576
Position 7644: 0.0037091191647508153
Position 9346: 0.0036679034551176225
Position 12599: 0.0035271534790897218
Position 1765: 0.0033024955302421175
Position 12119: 0.0031548703905044323
Position 4862: 0.0031365928812285507
Position 197: 0.0029541076188134975
Position 12074: 0.0029379060790621723
Position 10781: 0.0028903611193866383
Position 1453: 0.002708046469468799
Position 1898: 0.002423158079313397
Position 7865: 0.0023667725989277
Position 264: 0.0022817066448641544
Position 12661: 0.0021995892137758495
Position 10036: 0.0021666388640866345
Position 573: 0.0021141854863570325
Position 4217: 0.0018936625104845723
Position 9020: 0.0018499607496592395
Position 1440: 0.0018222091179691156
Position 6432: 0.0017876152431048238
Position 395: 0.0017862538013480357
Position 294: 0.0017735789142167935
Position 6771: 0.001597197313834722
Position 5580: 0.0015126504691514125
Position 4950: 0.0014402750602893447
Position 7854: 0.0013929139931042121
Position 4937: 0.0013687723459163918
Position 1108: 0.001322217989363993
Position 5708: 0.0011529179184105202
Position 10243: 0.001124864854289521
Position 2522: 0.0010915783526713521
Position 1365: 0.000985317926353442
Position 3771: 0.0009250296687024779
Position 10435: 0.0008042747058708355
Position 3817: 0.0007727342342430228
Position 230: 0.0007658412902545947
Position 1203: 0.0007622491726103015
Position 726: 0.0007515402086750592
Position 8074: 0.0007318947722264931
Position 5269: 0.0007069432421809897
Position 3212: 0.000688935434108994
Position 5609: 0.0006881161695497141
Position 2470: 0.000684581235951904
Position 2686: 0.0006565713772104476
Position 4767: 0.0006177696209892033
Position 6967: 0.0006155260301106578
Position 611: 0.0006113185166232828
Position 2927: 0.0005617503936865697
Position 8145: 0.0005483641863147477
Position 1282: 0.0004939746909042219
Position 6701: 0.0004789047615629167
Position 728: 0.00046234708413010316
Position 945: 0.0003833048271863331
Position 374: 0.000382066387993225
Position 7984: 0.0003801149777148999
Position 4180: 0.00037276932191660384
Position 10576: 0.00036451943417011213
Position 407: 0.0003334437393248612
