Gene = RP11-229P13.27
index = 1165
Annotated 5SS: [  31  417 7652 8409]
Annotated 3SS: [ 319 7507 8324 8661]
SMsplice 5SS: [  31  417 1163]
SMsplice 3SS: [ 319 1037 8825]
top_k =  1000
Partition function (log Z): -1.0679928429631942

Sorted 5' Splice Sites (High to Low Probability):
Position 417: 0.999101150891087
Position 31: 0.9279530567716592
Position 1163: 0.9019965512242986
Position 1453: 0.39710359793711436
Position 239: 0.20459726980395154
Position 874: 0.1729370558869359
Position 1403: 0.07376687621229046
Position 8409: 0.07282964409162718
Position 878: 0.05994714533786126
Position 2043: 0.032834947920628285
Position 3485: 0.011036961066655424
Position 538: 0.010777335574390005
Position 1435: 0.008567762335827605
Position 3990: 0.007364855246950445
Position 1585: 0.006008014305107375
Position 3530: 0.004572928456155496
Position 5030: 0.0038906924885445723
Position 988: 0.0029889042432278824
Position 5783: 0.001510219613909485
Position 2860: 0.0014010517541764445
Position 6511: 0.0013323529107572504
Position 821: 0.001317715460869256
Position 3506: 0.001028754916736156
Position 1186: 0.0010228985751238326
Position 949: 0.000832223181322865
Position 3522: 0.0007502477932708821
Position 1907: 0.0007285799593065601
Position 1262: 0.0005051388100289946
Position 816: 0.00044204330562738514
Position 3470: 0.00039827744527383483
Position 4137: 0.00037064935279123353
Position 3195: 0.00032660420880131546
Position 2684: 0.00022603816548087176
Position 570: 0.0002147877841197372
Position 1286: 0.00020744005794193302
Position 857: 0.00017217879551209792
Position 3818: 0.0001399044357102151
Position 3734: 0.000134898816873403
Position 3433: 0.00012562527597518468
Position 2069: 0.00012368882296819234
Position 798: 9.667031810325334e-05
Position 392: 9.265617306824314e-05
Position 712: 8.944341116765657e-05
Position 906: 8.889550181360873e-05
Position 1181: 8.026500937700768e-05
Position 1207: 7.571303144192945e-05
Position 431: 4.9363127643575615e-05
Position 1179: 3.493476836681132e-05
Position 552: 3.387271029029758e-05
Position 714: 2.474936395808192e-05
Position 3061: 2.1109207969204684e-05
Position 475: 1.8620911438535886e-05
Position 212: 1.3623615072657003e-05
Position 701: 1.120484080864041e-05
Position 2591: 1.1140266252394167e-05
Position 1004: 9.399325994286986e-06
Position 248: 7.4580837087627985e-06
Position 1460: 5.387506652224315e-06
Position 390: 4.674537747048814e-06
Position 1632: 2.6922982458260286e-06
Position 2769: 1.6974197933064177e-06
Position 19: 1.5969402206918551e-06
Position 1591: 1.576870500306847e-06
Position 398: 1.4765264030038283e-06
Position 3090: 1.469789148007365e-06
Position 35: 1.3053517637092915e-06
Position 934: 1.116636832612311e-06
Position 936: 9.01057062871947e-07
Position 1018: 8.245363182558723e-07
Position 780: 1.87174636914366e-07
Position 421: 9.054970149775278e-08
Position 1290: 7.318700316781555e-08
Position 460: 2.1125416331206693e-08
Position 1709: 1.2799864339123997e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 319: 0.8629795015269467
Position 1037: 0.4921485766330682
Position 1067: 0.43982078836319416
Position 1306: 0.37215149100855766
Position 125: 0.16608424149326145
Position 8825: 0.14228404768043768
Position 8661: 0.13442017896837608
Position 3408: 0.10727672762783805
Position 786: 0.10077327729726271
Position 231: 0.09115728142800593
Position 761: 0.07726554271752986
Position 6225: 0.0723765627586012
Position 1248: 0.06442983846851325
Position 8267: 0.05606182262931812
Position 8048: 0.05451598136597731
Position 1808: 0.05415563748280581
Position 6428: 0.048574935766326405
Position 3611: 0.04655471839316922
Position 4123: 0.044534762621853394
Position 3432: 0.04339214337149981
Position 8832: 0.029734312291089325
Position 5970: 0.02958185090326467
Position 7507: 0.023245971864993133
Position 6060: 0.02310540254624099
Position 741: 0.02147270118118359
Position 826: 0.020106079194057234
Position 522: 0.018522107712723238
Position 2944: 0.015631718481180425
Position 1375: 0.015355128924888065
Position 4012: 0.013095018538030374
Position 5579: 0.012539444304248238
Position 3975: 0.011651871810023025
Position 7530: 0.0112778684422759
Position 4602: 0.01113600928988018
Position 5136: 0.010695031362922993
