Gene = LEP
index = 781
Annotated 5SS: [   23 10879]
Annotated 3SS: [10706 13119]
SMsplice 5SS: [   23  1178  1639 10879]
SMsplice 3SS: [ 1034  1436 10706 11157]
top_k =  1000
Partition function (log Z): -7.412148559222485

Sorted 5' Splice Sites (High to Low Probability):
Position 10879: 0.9286787373777685
Position 1178: 0.8932345887680311
Position 23: 0.85037798559022
Position 1639: 0.7839223816417692
Position 8088: 0.4920406454011317
Position 3251: 0.2133632318035847
Position 7634: 0.15904718894941544
Position 460: 0.10625545707178875
Position 2570: 0.07521354907086376
Position 8965: 0.07080426244174509
Position 14609: 0.055224639860550595
Position 1547: 0.04655479073322218
Position 8424: 0.03370631851583006
Position 7837: 0.0328037369424331
Position 4969: 0.032378079173237324
Position 10051: 0.03167697826043923
Position 271: 0.03156064116036708
Position 1678: 0.03090456155020798
Position 6574: 0.02010668133678722
Position 400: 0.018203302605731903
Position 4637: 0.017804786827766716
Position 973: 0.01756771028593687
Position 10055: 0.015786649897553958
Position 15293: 0.015555654885555235
Position 10175: 0.011468982552622726
Position 1567: 0.010794901663193619
Position 8705: 0.009297753591229103
Position 1087: 0.008650043361353945
Position 4263: 0.005534508191371545
Position 15532: 0.005450361793211443
Position 15303: 0.0050703023347823915
Position 5703: 0.004636651204642624
Position 559: 0.0046156681103921805
Position 936: 0.004566706317314152
Position 11086: 0.004337348347978805
Position 13540: 0.0035473398236134197
Position 519: 0.0031772814300210805
Position 888: 0.0020617655504396835
Position 798: 0.0017109472516927747
Position 7293: 0.001548666780712599
Position 12996: 0.0015022635761678849
Position 236: 0.0011966655980996822
Position 1740: 0.0011500238211365847
Position 190: 0.0009379370633660222
Position 998: 0.0008767877664867009
Position 1074: 0.0006989445056756142
Position 675: 0.0006755930530388724
Position 285: 0.0006415052724740434
Position 1284: 0.0005584479099845903
Position 393: 0.0004567676321768991
Position 60: 0.000434587975366458
Position 421: 0.0004249109518756263
Position 10888: 0.00020142164828882884
Position 687: 0.00018146779583709372
Position 1060: 0.00017481614771818377
Position 1400: 0.00015374285543985551
Position 1369: 0.00014326925186713022
Position 882: 0.0001309819308630631
Position 303: 0.00012799560184113823
Position 784: 9.397916544349278e-05
Position 1065: 8.38369620787665e-05
Position 977: 7.777898210642758e-05
Position 877: 7.738687431727443e-05
Position 958: 7.47876942828474e-05
Position 2379: 7.400840748604549e-05
Position 1835: 5.474538775879227e-05
Position 165: 5.414964027848485e-05
Position 697: 4.06479420413696e-05
Position 1604: 2.955047944162849e-05
Position 3754: 2.5710724331823094e-05
Position 1182: 2.450435659722932e-05
Position 1716: 1.7618606682199388e-05
Position 2457: 1.4946513921544808e-05
Position 802: 1.370728516627173e-05
Position 4565: 1.0025759822710434e-05
Position 995: 8.8734028784289e-06
Position 1304: 7.997729485788194e-06
Position 2584: 7.040481186789485e-06
Position 1493: 6.999336137345999e-06
Position 115: 4.983172738007082e-06
Position 3627: 4.180991813339018e-06
Position 553: 3.7569114165332003e-06
Position 3724: 2.9067067015016295e-06
Position 847: 2.734658930028662e-06
Position 1961: 2.535173800370514e-06
Position 3799: 2.1405934801388164e-06
Position 230: 2.0656699501156793e-06
Position 172: 1.932801646516636e-06
Position 1519: 1.537886400410334e-06
Position 5083: 1.2087083918025582e-06
Position 5014: 1.1202963129278082e-06
Position 4927: 1.118737522119814e-06
Position 1034: 1.0903380825658492e-06
Position 3257: 6.584277039179412e-07
Position 3454: 4.178612998200573e-07
Position 144: 3.1346087365092946e-07
Position 2738: 1.8570465164833653e-07
Position 3346: 1.4604611487318324e-07
Position 575: 8.796734348125051e-08
Position 614: 7.272668140980334e-08
Position 15: 7.19767366467001e-08
Position 210: 1.406324818613917e-08
Position 366: 8.251881956401514e-09
Position 860: 2.2135952379298657e-09
