Gene = DTWD2
index = 474
Annotated 5SS: [   252  43987  49350  60009 140456]
Annotated 3SS: [ 43895  49254  59815 140326 147457]
SMsplice 5SS: [   252  19058  33220  38127  43987  49350  55435  60009  93688 115123
 129458 140456]
SMsplice 3SS: [ 18946  33131  37995  43895  49254  55265  59815  93602 115019 129288
 140326 147457]
top_k =  1000
Partition function (log Z): -72.8565400397441

Sorted 5' Splice Sites (High to Low Probability):
Position 252: 0.8244130344077866
Position 19058: 0.6095481925189334
Position 6914: 0.39606612864627017
Position 6639: 0.23820455753038863
Position 8518: 0.1977102994805532
Position 539: 0.15303319916668165
Position 14142: 0.10896446274797385
Position 8895: 0.10144261226060579
Position 6732: 0.0953570178107622
Position 8578: 0.0907790654178207
Position 5480: 0.08931976772723157
Position 2443: 0.08140075007148197
Position 8456: 0.08104058952414188
Position 6952: 0.07440443930370594
Position 10251: 0.06755347567633196
Position 5706: 0.05948683737710228
Position 5070: 0.04856521962893251
Position 5440: 0.04660747365972024
Position 14698: 0.029974143967688254
Position 416: 0.0273214297906538
Position 5316: 0.01934510531952361
Position 4710: 0.009265240079293531
Position 3223: 0.008540230339934583
Position 2743: 0.008271972512094989
Position 2937: 0.007361656807852843
Position 8557: 0.005734695756960231
Position 306: 0.005497351800446268
Position 185: 0.00539108765066011
Position 7063: 0.004276829935203988
Position 1818: 0.0027201162895250505
Position 2900: 0.0017535453935428383
Position 8165: 0.0013115779409639662
Position 4656: 0.0011386127734167007
Position 6922: 0.0010472016605540852
Position 1186: 0.0007056326853832101
Position 1326: 0.0006425746887355813
Position 738: 0.0005281812439726852
Position 3928: 0.0005183591990279299
Position 2749: 0.000504337245840094
Position 2674: 0.0004004584339593127
Position 763: 0.00039223981017187735
Position 4641: 0.00038005589532159526
Position 11839: 0.0003754061832375084
Position 436: 0.00032788304867130186
Position 2385: 0.0003121082264157042
Position 8424: 0.00031121789469850124
Position 4721: 0.0003034718564287673
Position 4831: 0.00029431949532046176
Position 2475: 0.0002872619177048449
Position 1720: 0.0002475731911344799
Position 211: 0.0001655046807839989
Position 2525: 0.00014925466994113938
Position 374: 0.00014449133000922013
Position 2774: 0.00014192912317839349
Position 546: 0.00013595615789253383
Position 841: 0.00011688942834070827
Position 5624: 9.052309551760218e-05
Position 4614: 8.494551862062741e-05
Position 694: 8.261997366860564e-05
Position 860: 8.239366865595235e-05
Position 5492: 7.093392897270034e-05
Position 2447: 5.241593731517016e-05
Position 555: 5.013429668688263e-05
Position 5115: 4.0943003416930195e-05
Position 5658: 3.781633019339964e-05
Position 4835: 3.480767283073289e-05
Position 707: 2.654358381215851e-05
Position 3008: 1.9923216606984518e-05
Position 3328: 1.9328283506497777e-05
Position 198: 1.7620176166194937e-05
Position 4334: 1.6006635015509454e-05
Position 4210: 1.5665265978494763e-05
Position 2755: 1.504665263073083e-05
Position 237: 1.4994268248428044e-05
Position 3350: 1.4157391648062756e-05
Position 4892: 1.2184263303392528e-05
Position 3418: 1.027938162153314e-05
Position 4477: 9.798261158749433e-06
Position 952: 7.894706526095484e-06
Position 2257: 7.70910451846703e-06
Position 3640: 7.561869726167377e-06
Position 1957: 5.091676089257957e-06
Position 1264: 4.611310951341553e-06
Position 2998: 4.496887298184334e-06
Position 1143: 4.313104143437177e-06
Position 2989: 3.952071480863215e-06
Position 1936: 3.63764507106579e-06
Position 5876: 2.9875351131956493e-06
Position 1511: 2.94529071615524e-06
Position 477: 3.762775454252528e-07
Position 27: 2.7715836876840705e-07
Position 525: 2.4369105966670674e-07
Position 1112: 2.2096814202911497e-07
Position 564: 1.8505542889062534e-07
Position 501: 1.7145301922414118e-07
Position 2206: 1.6609459686046869e-07
Position 1854: 1.387162343900332e-07
Position 366: 9.97063382708745e-08
Position 328: 9.7614941031919e-08
Position 785: 7.860649478405412e-08
Position 142: 5.7147940234796855e-08
Position 25: 3.0481153091878166e-08
Position 380: 1.1894975570994198e-09
Position 506: 1.1482735045679996e-09
Position 39: 5.158225255839986e-10
Position 1308: 3.270863746515035e-10
Position 1241: 2.952231667378355e-10
Position 610: 2.9462670080272003e-10
Position 1215: 2.0842437426267316e-10
Position 1655: 1.2406720580525394e-10
Position 1330: 1.033522752166863e-10
Position 1366: 9.294821688359492e-11
Position 73: 6.837940253590332e-11
Position 1353: 6.561919778754946e-11
Position 696: 6.155261210379966e-11
Position 977: 4.5064181485999604e-11
Position 625: 3.0904521333790445e-11
Position 572: 2.9542524014553466e-11
Position 994: 5.34171644427048e-12
Position 900: 4.1415301636901704e-12
Position 852: 4.0000846429995635e-12
Position 1021: 3.899084563420229e-12
Position 1003: 3.677302257459236e-12
Position 646: 3.3104138517353527e-12
Position 599: 5.028477054227412e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 18946: 0.8203341027191224
Position 26313: 0.4285387781409501
Position 8375: 0.3395297692728248
Position 6846: 0.30458639187605313
Position 6500: 0.24270044089103296
Position 19532: 0.1861629059131738
Position 6765: 0.15481354816180212
Position 14423: 0.11585139342307238
Position 14013: 0.10323051272883557
Position 5216: 0.0745465898567294
Position 10103: 0.072439586689053
Position 8755: 0.06890504791786582
Position 5378: 0.06625901286898328
Position 2352: 0.06303668373444815
Position 4971: 0.06254868567330153
Position 5562: 0.05036770364139089
Position 6639: 0.044356414636571834
Position 6230: 0.04409259084302079
Position 8351: 0.0392325362722399
Position 8808: 0.03467874761199959
Position 18022: 0.022543230135646835
Position 2302: 0.017956890191516067
Position 13994: 0.0131707063176151
Position 6731: 0.011921955656832534
Position 435: 0.010898091013457076
Position 17556: 0.009645283419584285
Position 2673: 0.008770907253087426
Position 5196: 0.007669292870984215
Position 14702: 0.006545244437841407
Position 4588: 0.0061385998879178805
Position 6482: 0.005388732231924621
Position 5584: 0.0053860046460845684
Position 6264: 0.004748249361948303
Position 2875: 0.00460329183621926
Position 8703: 0.004314950943724493
Position 356: 0.0042489365985789946
Position 4613: 0.004044033427592639
Position 3117: 0.003954677138821195
Position 2826: 0.003216718953691481
Position 18542: 0.003087772194359862
Position 3141: 0.002948057286140724
Position 1719: 0.0027695706373787542
Position 10663: 0.002755330155789557
Position 17790: 0.0022213059014717395
Position 9082: 0.002209313657523567
Position 8053: 0.002090896116978808
Position 2652: 0.0016491275850014286
Position 2383: 0.0014912799081874132
Position 344: 0.0014153257709302153
Position 5315: 0.0011147302697559242
Position 7415: 0.00103757978231995
Position 11680: 0.0009657809687917512
Position 15891: 0.0008782553724646292
Position 8621: 0.0008271878960401122
Position 4283: 0.0007176744546125884
Position 15685: 0.0007036184467976974
Position 1176: 0.0007008697621675462
Position 3172: 0.0006165166361824947
Position 5490: 0.0005966883051278792
Position 328: 0.0005397502735725089
Position 8549: 0.0005378190553174103
Position 402: 0.0005236998828010208
Position 3826: 0.0004675845380753089
Position 10954: 0.0004651727157110845
Position 14499: 0.00046353149123517183
Position 2521: 0.0003861778898877399
Position 1589: 0.00030161297006139437
Position 2631: 0.00029276667827488154
Position 8638: 0.00028850201213926236
