Gene = DDOST
index = 435
Annotated 5SS: [ 348  664 5444 5869 6105 6931 7322 7918 8694 8924]
Annotated 3SS: [ 552 5356 5764 6009 6836 7172 7769 8572 8816 9015]
SMsplice 5SS: [ 348  664 5444 5869 6105 6931 7322 7918 8694 8924]
SMsplice 3SS: [ 446 5356 5764 6009 6836 7220 7769 8572 8816 9015]
top_k =  1000
Partition function (log Z): 23.749794741891066

Sorted 5' Splice Sites (High to Low Probability):
Position 5444: 0.9798031069749347
Position 6931: 0.9778543537217566
Position 8924: 0.976105131276157
Position 5869: 0.957671751381446
Position 8694: 0.9495228412811757
Position 7322: 0.9263299607800554
Position 348: 0.9224522747711593
Position 7918: 0.8077568600854744
Position 6105: 0.774131857759908
Position 664: 0.7442838764400814
Position 4077: 0.21433855062607174
Position 1474: 0.19699743260396002
Position 6109: 0.1927286720327307
Position 3804: 0.1843711353182894
Position 5253: 0.177214081534285
Position 3376: 0.12087986689146854
Position 2825: 0.08437935694427956
Position 2795: 0.08431654076986203
Position 1552: 0.07503754596449252
Position 8123: 0.07276238119379223
Position 8063: 0.0461431374877894
Position 7870: 0.04414141694191105
Position 7677: 0.03651976429251334
Position 7770: 0.03296609730903691
Position 611: 0.03239385012224713
Position 6526: 0.030715759787247287
Position 102: 0.030284813475632798
Position 83: 0.026716434543991103
Position 2784: 0.01982706325224031
Position 148: 0.018749733540902952
Position 8934: 0.01864521192308848
Position 4481: 0.018568349715911977
Position 6203: 0.018494147491262963
Position 5893: 0.017731793673214133
Position 7065: 0.01662909209725208
Position 1811: 0.012873952960006685
Position 308: 0.012387293883271915
Position 6113: 0.011600117415895459
Position 3212: 0.011021852248180529
Position 2014: 0.010691202684240684
Position 369: 0.009041364411248844
Position 157: 0.008489072092258104
Position 9156: 0.008316738337111723
Position 4253: 0.008135978336520544
Position 2033: 0.00808962187571406
Position 3475: 0.0065114706841462025
Position 481: 0.006396891464564534
Position 7644: 0.006024599050906589
Position 657: 0.005868620721530421
Position 359: 0.005655958070440037
Position 5422: 0.005261963214239428
Position 3390: 0.005161410051810696
Position 5462: 0.005014677321048011
Position 7442: 0.004387335291833102
Position 832: 0.00427994493851705
Position 5789: 0.0041106437229128856
Position 3288: 0.003819234398133462
Position 3420: 0.003690161910546766
Position 6098: 0.0035121951875174656
Position 7508: 0.003336281517074106
Position 3760: 0.002764059359104124
Position 7729: 0.002130910353143202
Position 3082: 0.0020976994714076024
Position 1482: 0.0020713765246546272
Position 6657: 0.0019092670452083948
Position 1712: 0.0016213554090136475
Position 3216: 0.001289739369159438
Position 5536: 0.0012296352740030882
Position 935: 0.0012035403476346868
Position 7367: 0.0009622661915169197
Position 2134: 0.0009560854650584122
Position 5468: 0.0008026327265048564
Position 6454: 0.0007948095906094669
Position 975: 0.0007302027051204332
Position 3142: 0.0007184025455995377
Position 9214: 0.0006828159748496867
Position 9311: 0.0006770118780937342
Position 3380: 0.000664490854622101
Position 389: 0.0006480359288281068
Position 5728: 0.0006333035509710154
Position 139: 0.000622397999571955
Position 7934: 0.0005428075442380732
Position 393: 0.0005075563039688578
Position 2169: 0.0005069127141315549
Position 7365: 0.0004324794362578967
Position 8488: 0.00042710900479046117
Position 7015: 0.0004220187274752016
Position 780: 0.00038318295315435485
Position 5558: 0.0003664085171829504
Position 8669: 0.00028917958038244006
Position 7483: 0.0002796504155930378
Position 6436: 0.00026031146880984066
Position 5940: 0.0002436946724532607
Position 7020: 0.00024210131710234914
Position 8700: 0.00023490004906869254
Position 6644: 0.00022557490119706164
Position 7951: 0.0002120109402852956
Position 7357: 0.0002086263044200219
Position 9045: 0.00019682120827010463
Position 260: 0.00018715017017037272
Position 6486: 0.00018533221435354264
Position 7011: 0.00016761554098590598
Position 456: 0.00015891166920479024
Position 172: 0.00015778998183992404
Position 7688: 0.00014652102568084717
Position 970: 0.00013925711117099485
Position 5554: 0.00012730055733484923
Position 6534: 0.00012138202232131073
Position 3135: 0.0001195623122611439
Position 7040: 0.0001167645263517228
Position 9191: 0.00011287197670716473
Position 5765: 0.00011267840722418357
Position 9227: 0.00011088736276815151
Position 475: 0.00010497313448274995
Position 376: 0.00010089742110025318
Position 5942: 0.00010028002697654892
Position 7360: 9.08978910562716e-05
Position 7185: 8.395151534843155e-05
Position 5448: 8.39296261673712e-05
Position 6619: 7.42018444011819e-05
Position 1961: 7.401292780902927e-05
Position 7172: 5.621955020428584e-05
Position 6609: 5.477235623782099e-05
Position 6207: 3.6911484216179996e-05
Position 8854: 3.485419678381085e-05
Position 165: 3.4756564295960244e-05
Position 6189: 2.899453120792685e-05
Position 6865: 2.517003029567156e-05
Position 7371: 2.508400726686298e-05
Position 6100: 2.2636491810437056e-05
