Gene = PEA15
index = 1010
Annotated 5SS: [ 186 6380 7929]
Annotated 3SS: [6205 7772 8084]
SMsplice 5SS: [ 186 2898 7929]
SMsplice 3SS: [2800 7772 8084]
top_k =  1000
Partition function (log Z): -2.400601212369229

Sorted 5' Splice Sites (High to Low Probability):
Position 7929: 0.9732951658465123
Position 186: 0.9692278072982081
Position 2898: 0.8012584779308336
Position 1901: 0.6218302396456084
Position 8174: 0.5659344082544537
Position 6380: 0.49569148086013376
Position 3329: 0.30802109686195245
Position 6314: 0.12012599229535927
Position 8545: 0.1114079916323742
Position 624: 0.07254250049812228
Position 1732: 0.06716302870877366
Position 8540: 0.06619529229008075
Position 8556: 0.06558709127730725
Position 9192: 0.05939165824571502
Position 3032: 0.051865947565645394
Position 3254: 0.044768496776899605
Position 5864: 0.030159898088594237
Position 2220: 0.029302509087479195
Position 4757: 0.020885428845791146
Position 347: 0.018973396071328485
Position 8289: 0.0189568902092454
Position 4085: 0.013022934878827217
Position 5243: 0.012611580617930175
Position 5284: 0.010918519268617819
Position 6108: 0.01084052252270661
Position 6724: 0.010313411744809526
Position 117: 0.010280165581658438
Position 5465: 0.007713917843971256
Position 4486: 0.007558542951338319
Position 5892: 0.005348271145626085
Position 1116: 0.005297924140125151
Position 580: 0.005163807727738254
Position 6142: 0.005111514729582234
Position 1249: 0.004462772263029617
Position 5527: 0.0038180315583722754
Position 7902: 0.0036515372376135277
Position 2801: 0.0034363834007105592
Position 5978: 0.0030660077629142517
Position 1188: 0.002752382943515004
Position 8295: 0.002448333487844683
Position 343: 0.0021203802555997517
Position 2336: 0.002066638685503333
Position 4941: 0.0019068262111686667
Position 1300: 0.0018346915371272566
Position 3019: 0.0016208213460093886
Position 5824: 0.001582647976881994
Position 1993: 0.0014723163113817411
Position 1304: 0.0014578768053019912
Position 8285: 0.0013497684727262092
Position 2725: 0.001326168102531541
Position 8283: 0.001189998443775913
Position 1905: 0.0011486236665273167
Position 1476: 0.0010717447812553557
Position 8721: 0.001022333936950324
Position 1333: 0.000931930086623056
Position 8277: 0.0007712695006132894
Position 331: 0.0006803170812487084
Position 564: 0.0006751847021327894
Position 695: 0.0006531190687682764
Position 2594: 0.0006414506318970281
Position 1872: 0.0004707438639069071
Position 9894: 0.00044502948654250393
Position 1277: 0.00036441884939373225
Position 684: 0.00029135649478659147
Position 1370: 0.00023572215921340502
Position 3345: 0.00019099202664515184
Position 679: 0.00018818725073075471
Position 587: 0.0001844206906360219
Position 8689: 0.00016179919369690534
Position 1443: 0.00013059257970703646
Position 8362: 0.00012363747081168695
Position 1386: 9.814324492796494e-05
Position 9489: 9.433657109350464e-05
Position 2780: 9.238706459422242e-05
Position 6556: 8.797330030831499e-05
Position 7450: 5.7560141052305494e-05
Position 418: 5.309055445432232e-05
Position 883: 5.2359083675551e-05
Position 1924: 5.218879413155045e-05
Position 1845: 4.4317404303906546e-05
Position 669: 4.109766634677401e-05
Position 2164: 4.0583856043950096e-05
Position 6910: 3.9427287967860644e-05
Position 1151: 2.833210473299185e-05
Position 22: 2.7734052331565695e-05
Position 236: 2.6209996119135425e-05
Position 671: 2.5695323157510714e-05
Position 7439: 2.2972709543124786e-05
Position 6505: 1.808937413031159e-05
Position 1625: 1.594877899965439e-05
Position 1146: 1.4893252246720872e-05
Position 152: 1.4523853951668259e-05
Position 3742: 1.3315369015777937e-05
Position 1633: 1.297063786159751e-05
Position 367: 4.790005578141603e-06
Position 210: 4.292329463915285e-06
Position 540: 4.187156427992475e-06
Position 426: 3.3852720075826073e-06
Position 441: 3.359208832634699e-06
Position 1302: 3.2648500704612317e-06
Position 369: 2.442383801174277e-06
Position 1129: 1.8630447821904378e-06
Position 3629: 1.611092518643025e-06
Position 3112: 7.624696740214816e-07
Position 288: 2.8303133148112183e-07
Position 1480: 2.0632267429002265e-07
Position 1068: 1.8768717569366154e-07
Position 644: 1.846110585313625e-07
Position 316: 1.485537382066059e-07
Position 1255: 1.0956271611317586e-07
Position 925: 1.0565839644657182e-07
Position 305: 9.225956755270993e-08
Position 1042: 7.734343800254036e-08
Position 1016: 5.813386970224014e-08
Position 17: 5.476131262203224e-08
Position 878: 5.3857990317520215e-08
Position 286: 4.376717021148248e-08
Position 932: 1.9988039772197033e-08
Position 1789: 1.8986253097289526e-08
Position 794: 1.5582998638418434e-08
Position 2247: 5.5743535949696676e-09
Position 351: 2.4536877281165735e-09
Position 314: 2.036297894023398e-09
Position 383: 8.300780637111131e-10
Position 335: 5.165703037815762e-10
Position 400: 1.1337645329878977e-10
Position 558: 2.9766851074630774e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 8084: 0.8820975440814048
Position 7772: 0.68296586496023
Position 2800: 0.6744591044815641
Position 6205: 0.599029715083563
Position 9984: 0.30571467914921835
Position 7848: 0.25233706898478736
Position 1792: 0.24881274006436294
Position 1690: 0.22102745972527724
Position 1821: 0.18649767820638502
Position 8401: 0.14964069301845026
Position 3183: 0.13722506692403766
Position 2707: 0.12436410741983099
Position 8487: 0.10588211464266212
Position 9004: 0.07431203445959826
Position 3126: 0.07144881859606712
Position 9346: 0.07105954450941691
Position 8753: 0.07057061149460739
Position 3203: 0.06486166534692732
Position 515: 0.05670165979914231
Position 8982: 0.04617945590650076
Position 5695: 0.04021848299712668
Position 9328: 0.03974068264764208
Position 8432: 0.029264081360706285
Position 1795: 0.02591781561067017
Position 9031: 0.023515440368208056
Position 5152: 0.02333696623767896
Position 7698: 0.021758550311159152
Position 3081: 0.02095714763917506
Position 3237: 0.020585550630511443
Position 3165: 0.018678496669912253
Position 2133: 0.01738518943272174
Position 2939: 0.016561162950842423
Position 9662: 0.015487736676237153
Position 320: 0.015145537894892537
Position 2686: 0.01408487419696265
Position 8214: 0.013986663341802692
Position 6262: 0.013399741527795127
Position 2967: 0.013172688943070467
Position 7650: 0.010550608046656872
Position 8923: 0.010368132828258247
Position 4381: 0.009828010498258336
Position 6045: 0.009748337460947252
Position 9137: 0.009474766984213687
Position 2104: 0.009060493468066751
Position 1151: 0.008709383415557952
Position 9634: 0.008511824870746105
Position 5351: 0.007084163891904131
Position 9594: 0.0065401981926714575
Position 5996: 0.006388451501812067
Position 7864: 0.006261243109807397
Position 4526: 0.006249250006905218
Position 8888: 0.00601963518231075
Position 4021: 0.005165033234989815
Position 2629: 0.005106150732399066
Position 2583: 0.005090849224196724
Position 6489: 0.004973616705763008
Position 2862: 0.004904845456053783
Position 4481: 0.004713444105819157
Position 1022: 0.004634854559448334
Position 8439: 0.004622635034317176
Position 3190: 0.004558616830903738
Position 8715: 0.004101069270324096
Position 3142: 0.004081233431498572
Position 6066: 0.003965361219419357
Position 1576: 0.0038758521635234577
Position 3230: 0.003801766780485672
Position 602: 0.003262312437999577
Position 2897: 0.0032268016869256852
Position 6605: 0.0032094246734608676
Position 4232: 0.003207235857160772
Position 3720: 0.0031976059424980857
Position 5384: 0.003030394441345046
