Gene = KLF18
index = 748
Annotated 5SS: [2968]
Annotated 3SS: [3619]
SMsplice 5SS: [ 324 2700 2968]
SMsplice 3SS: [2582 2787 3447]
top_k =  1000
Partition function (log Z): -1.3536708426304833

Sorted 5' Splice Sites (High to Low Probability):
Position 2968: 0.9637515738225488
Position 2700: 0.7783083753765893
Position 2139: 0.5820104187770629
Position 811: 0.4509028289369135
Position 1803: 0.4396948700169008
Position 2391: 0.4248836655717945
Position 555: 0.4128542857691808
Position 1425: 0.40659247495530604
Position 324: 0.37501320727053583
Position 1147: 0.2846109147254601
Position 769: 0.2194607483441763
Position 2517: 0.15619751646658359
Position 1567: 0.15195820334727025
Position 1105: 0.14400377542046375
Position 1677: 0.13173151407245678
Position 2155: 0.13096714584172353
Position 1189: 0.10065004775691967
Position 1819: 0.09801521756481195
Position 1441: 0.09443168922885756
Position 2281: 0.07006100491041224
Position 607: 0.0687955593894313
Position 1273: 0.06854755644548409
Position 2407: 0.060098732706338705
Position 1231: 0.05653807361279209
Position 937: 0.049622370140565475
Position 1525: 0.045877016055771346
Position 2533: 0.04148774253688861
Position 979: 0.04102971282313934
Position 112: 0.0406239836802167
Position 1315: 0.04006920141125224
Position 1971: 0.03822071584286372
Position 1063: 0.032176213370301514
Position 1483: 0.022247176186945425
Position 1021: 0.020174042456918628
Position 3653: 0.012375042883245197
Position 280: 0.01091332149505123
Position 1987: 0.010236409932179155
Position 1693: 0.008096070611315618
Position 853: 0.007515657377862815
Position 2992: 0.0058203342597258605
Position 727: 0.005464614551695501
Position 2113: 0.004925377493237547
Position 3297: 0.004740762746192747
Position 895: 0.004326290343100654
Position 185: 0.00382210473484697
Position 2029: 0.0032400124253772586
Position 2323: 0.0029893265118688833
Position 1609: 0.002485032708376516
Position 1399: 0.002255302641703508
Position 1089: 0.0014135462986475454
Position 2575: 0.0013343428810709886
Position 921: 0.001329806239020036
Position 439: 0.0012467042919019696
Position 2972: 0.0011351517780663163
Position 1777: 0.0010440944842722382
Position 3256: 0.0010248093868233765
Position 3595: 0.0009074664045294146
Position 2365: 0.0006301638996519066
Position 565: 0.0005731719977044789
Position 3586: 0.0004070607767943251
Position 589: 0.0003659504817718382
Position 526: 0.000324474513426093
Position 306: 0.0003242206705956977
Position 3531: 0.00031547519624483154
Position 544: 0.0002707448132516032
Position 597: 0.0002066482618431888
Position 152: 0.00016445849394267333
Position 463: 0.000157082312486706
Position 3382: 0.00010167107242279988
