Gene = SNTN
index = 1293
Annotated 5SS: [ 130 2129 7197]
Annotated 3SS: [ 2093  7056 11268]
SMsplice 5SS: [ 130 2129 7197]
SMsplice 3SS: [ 2093  7056 11268]
top_k =  1000
Partition function (log Z): -6.379617228993487

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9929657009813583
Position 7197: 0.691932866262429
Position 2129: 0.5963132517278603
Position 6336: 0.35666015968645504
Position 3565: 0.33568033115459306
Position 2228: 0.28543577350551247
Position 6793: 0.2099736647054336
Position 5508: 0.16703640487451077
Position 3242: 0.12451762417144943
Position 936: 0.11324627010352306
Position 7135: 0.0656509287523239
Position 6998: 0.03810353168920905
Position 2586: 0.03675720779938332
Position 11119: 0.036584953774869124
Position 1672: 0.018389436080516974
Position 1501: 0.018233645684152117
Position 1403: 0.01822431942003004
Position 1804: 0.017537031305231748
Position 10124: 0.017521829352136215
Position 6830: 0.01694342687817524
Position 797: 0.012459188979235205
Position 11164: 0.012065072328633589
Position 4474: 0.01039252354445831
Position 9553: 0.009902342699582702
Position 6687: 0.0089095365962729
Position 7276: 0.006507846023792305
Position 1282: 0.005630547160427764
Position 1702: 0.0053434235750822205
Position 4316: 0.004867712412902022
Position 7482: 0.004776078773038009
Position 2631: 0.004449174873556698
Position 6287: 0.003968162341371942
Position 1240: 0.0035213313035013295
Position 11410: 0.002253214925866954
Position 6667: 0.0020865763262451664
Position 2850: 0.002045450248201469
Position 6084: 0.0019354614099469348
Position 5598: 0.0017534073820082716
Position 7405: 0.0016601451595580268
Position 1885: 0.001481253664534674
Position 1465: 0.0011936812235343566
Position 2553: 0.0009332019077949092
Position 6963: 0.0008239750011826568
Position 7513: 0.0007852525005497683
Position 384: 0.0005938032815666897
Position 1889: 0.0005675056644076909
Position 754: 0.0005554370918729107
Position 877: 0.00046398219486612664
Position 814: 0.00036154553282266555
Position 565: 0.00030248611703319724
Position 836: 0.000301002100753906
Position 370: 0.0002808178561179794
Position 325: 0.0002798274948469823
Position 824: 0.0002574675385990716
Position 6344: 0.0002141304872273822
Position 3272: 0.0002139947680190026
Position 1394: 0.00019398440258840114
Position 1315: 0.000183864361039604
Position 2151: 0.00017854054466468218
Position 2456: 0.00015018037907822657
Position 30: 0.0001066920501243715
Position 4009: 9.97874302501462e-05
Position 746: 9.559932085591461e-05
Position 314: 7.949510380103672e-05
Position 6320: 7.319908053243906e-05
