Gene = UROD
index = 1539
Annotated 5SS: [ 139  873 1069 1208 1645 1924 2430 2690 2860]
Annotated 3SS: [ 759  988 1144 1446 1761 2291 2588 2792 3189]
SMsplice 5SS: [ 139  873 1069 1208 1924 2430 2690 2860]
SMsplice 3SS: [ 709  988 1144 1761 2336 2588 2792 3189]
top_k =  1000
Partition function (log Z): 2.3654202740029326

Sorted 5' Splice Sites (High to Low Probability):
Position 1208: 0.9469709622715214
Position 2690: 0.8902077163155923
Position 873: 0.8367850131708535
Position 1924: 0.7686288600955854
Position 1069: 0.7479916303038745
Position 139: 0.6962357127415877
Position 2430: 0.6781948350974562
Position 2860: 0.5855277649911084
Position 1645: 0.13927928857655636
Position 2396: 0.08649645683624507
Position 1650: 0.08037365082872532
Position 1549: 0.07550434416093903
Position 1897: 0.07214074973580163
Position 1696: 0.06759562538378477
Position 2705: 0.04891444677983844
Position 1613: 0.04765319781782514
Position 1637: 0.04529759373905636
Position 658: 0.02344412946203308
Position 78: 0.017891792964687
Position 1280: 0.010726966765326506
Position 160: 0.009030930180878104
Position 1462: 0.008520223075065498
Position 401: 0.008173139957390187
Position 1719: 0.00816163679741409
Position 2847: 0.007874118398143911
Position 2457: 0.005760379165998705
Position 1471: 0.005710203840879035
Position 1326: 0.0054592506196134965
Position 2120: 0.002402848968004136
Position 2385: 0.002337486924801858
Position 2724: 0.0023083966082514313
Position 2880: 0.0018780466711818108
Position 1965: 0.0017078525593206305
Position 635: 0.0015334417408350328
Position 2812: 0.0013233738990686603
Position 2143: 0.001267372250255136
Position 3295: 0.0012371716727321753
Position 1546: 0.0011950854208315556
Position 1615: 0.0010143652856821413
Position 133: 0.0007431578677693226
Position 2718: 0.0004048465016768779
Position 2231: 0.00031927720107813014
Position 1703: 0.00030447117595250057
Position 2523: 0.00027597440472125034
Position 2884: 0.00026204232928454124
Position 1199: 0.00025780928166483307
Position 841: 0.00025247637558655986
Position 885: 0.00023873052861517291
Position 2649: 0.000211960138772954
Position 535: 0.00018123244871822976
Position 1961: 0.00013290308423680286
Position 1916: 0.00012233021538303387
Position 2179: 0.00010995680590837976
Position 3043: 9.910411112838014e-05
