Gene = IQCG
index = 715
Annotated 5SS: [  175   491 14400 16242 21472 27846 33996 46139 47345 67392 68574]
Annotated 3SS: [  299 14332 15967 21238 27716 33913 45976 47269 67259 68471 70304]
SMsplice 5SS: [  175  9820 14400 21029 21472 27846 33996 46139 47345 60185 68574 70402]
SMsplice 3SS: [ 9686 14332 20920 21238 27716 33913 45976 47269 60062 68471 70304 70634]
top_k =  1000
Partition function (log Z): -18.05295139621958

Sorted 5' Splice Sites (High to Low Probability):
Position 27846: 0.999975167813091
Position 33996: 0.9969800112391912
Position 46139: 0.960395524736207
Position 9820: 0.9597057038947694
Position 175: 0.9090640992875105
Position 47345: 0.8959788812459979
Position 21029: 0.8664279612402546
Position 14400: 0.7393121742939152
Position 16242: 0.5742585763700192
Position 21472: 0.5582200127951247
Position 491: 0.43641816733370453
Position 16693: 0.27994155409964455
Position 16214: 0.244510370193657
Position 10181: 0.1989268098477354
Position 2244: 0.13196935040529914
Position 4382: 0.10460288641825802
Position 24034: 0.10380795366519206
Position 25426: 0.10167949344561239
Position 1485: 0.09436815491435861
Position 11736: 0.08720835177217112
Position 22177: 0.07388196072151748
Position 19645: 0.07342803055604356
Position 2248: 0.07104100467646296
Position 30745: 0.06781748449319555
Position 6250: 0.06679730505387932
Position 9419: 0.06586108239500349
Position 23990: 0.055905355217821195
Position 14373: 0.04637124599717289
Position 8591: 0.045772432083065126
Position 9275: 0.0374784646394412
Position 21563: 0.035027012803872465
Position 17443: 0.03200074642822282
Position 23083: 0.03096006770903593
Position 11461: 0.023979792496371843
Position 9488: 0.022896686236823574
Position 14264: 0.019984131261558014
Position 14575: 0.019663549541798678
Position 16048: 0.018590911590423427
Position 14564: 0.016724094675943112
Position 380: 0.016193451437449283
Position 23408: 0.015825124937261095
Position 10121: 0.014806670913255712
Position 4426: 0.014244558411229494
Position 4882: 0.012464894619788761
Position 6077: 0.011854449628241328
Position 10975: 0.011329192004270655
Position 26168: 0.011140403913687643
Position 5263: 0.011097034132007555
Position 16053: 0.010957531746731905
Position 10647: 0.010826978296397121
Position 42: 0.01052074677875974
Position 8436: 0.01004562549727803
Position 12435: 0.010043343669704545
Position 15916: 0.00990728072752886
Position 14434: 0.009328222614597259
Position 1186: 0.009183037499806366
Position 48981: 0.00872731055862631
Position 11712: 0.008160712670721196
Position 10877: 0.00788426077650185
Position 14678: 0.007849811863985657
Position 10001: 0.006746138010524968
Position 610: 0.005914180279235004
Position 4947: 0.005034811716273826
Position 10570: 0.004917243329089486
Position 14663: 0.004855543018791377
Position 16490: 0.00483799017027973
Position 14823: 0.0037102332413797992
Position 10479: 0.0036325985948950754
Position 9757: 0.003473005875913706
Position 11708: 0.0033096915604120597
Position 14806: 0.003055217143285567
Position 11541: 0.0027888602198802167
Position 114: 0.0024116628785883277
Position 6828: 0.0023071988248461466
Position 12092: 0.0018236005532839769
Position 10071: 0.001750384718291474
Position 16025: 0.0016244084411839925
Position 11838: 0.001222205941700679
Position 21828: 0.0011111254751538843
Position 1325: 0.0009531430780278111
Position 10793: 0.0008255370286050288
Position 107: 0.0007320070352674234
Position 440: 0.0006857551018641168
Position 14426: 0.0006635713117500528
Position 14333: 0.0006427426038368459
Position 33862: 0.0005413465827586224
Position 16263: 0.0005384916147795007
Position 14552: 0.00048187698324135065
Position 16209: 0.00047689963198619225
Position 14888: 0.00046796906569476467
Position 1031: 0.00046280605335113125
Position 46: 0.0004603480915966037
Position 14702: 0.00044200987418182143
Position 655: 0.00042988670279670986
Position 1871: 0.0004204392069306582
Position 165: 0.0004137947306270172
Position 11147: 0.0002983368416873525
Position 1276: 0.00027879717191962145
Position 1601: 0.00019368992652493176
Position 593: 0.00015948097517755122
Position 34277: 0.00015428396315852121
Position 1832: 0.00015051904416479799
Position 1558: 0.00014174969001658525
Position 1195: 0.00012634200231233537
Position 1876: 0.00010917893028236867
Position 1394: 0.00010583163778989757
Position 627: 0.00010219732718372214
Position 1075: 7.515961024789107e-05
Position 519: 6.273901407333024e-05
Position 922: 5.9020479103728316e-05
Position 1156: 3.3168480521152875e-05
Position 29925: 2.1886507437404033e-05
Position 984: 1.732148420018675e-05
Position 155: 1.69576452222969e-05
Position 1936: 9.680500600616023e-06
Position 584: 8.807441864212546e-06
Position 581: 7.923468498337693e-06
Position 124: 6.9179550172707425e-06
Position 50: 5.98146465440277e-06
Position 32299: 4.823284147701296e-06
Position 468: 3.7959563654378514e-06
Position 1290: 3.705848248979365e-06
Position 116: 3.6967027368033894e-06
Position 89: 3.6789380677297453e-06
Position 631: 3.4881121575729535e-06
Position 556: 3.408511040937884e-06
Position 542: 2.86922406990867e-06
Position 976: 2.1464522750778244e-06
Position 729: 9.684738362459854e-07
Position 10: 8.328392760535184e-07
Position 769: 7.664871286046469e-07
Position 71: 7.40463500453428e-07
Position 676: 6.856972785145297e-07
Position 1117: 4.6339431513913623e-07
Position 1130: 4.458346366647998e-07
Position 1119: 4.2323919205264247e-07
Position 269: 4.0328415868047916e-07
Position 158: 3.943438215531191e-07
Position 1010: 3.200854177843337e-07
Position 1060: 3.154155264771998e-07
Position 420: 2.3146033079542743e-07
Position 207: 2.294125120781381e-07
Position 28162: 2.0015390437157914e-07
Position 52: 1.6891500758026071e-07
Position 153: 1.2606235079370903e-07
Position 179: 1.2382850834736557e-07
Position 28194: 7.384328868309545e-08
Position 35: 6.984779333510776e-08
Position 63: 3.6389028307531516e-08
Position 1398: 6.3127278241130015e-09
Position 299: 5.852500616377596e-09
Position 1396: 4.435191676487346e-09
Position 276: 1.993181640771934e-10
Position 690: 1.4125523251876252e-10
Position 586: 3.012470405343314e-11
Position 629: 2.5171685487241084e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 27716: 0.9999895781966195
Position 33913: 0.9922645381708399
Position 45976: 0.9676996272600676
Position 9686: 0.9542409819991741
Position 47269: 0.9149288465257942
Position 20920: 0.8664280047098107
Position 14332: 0.829401317870374
Position 21238: 0.511431441736029
Position 15967: 0.4942950574200751
Position 299: 0.3663102606547043
Position 16137: 0.32438163882530296
Position 48855: 0.21312239518440249
Position 2116: 0.17363682705825484
Position 16387: 0.1670519096235839
Position 48556: 0.16649233199260893
Position 23862: 0.15636174713567588
Position 52871: 0.14724098276253103
Position 9155: 0.12623623327126823
Position 16622: 0.11772788849787062
Position 4244: 0.11313815047759891
Position 49746: 0.09641479100000348
Position 11627: 0.09392300702425348
Position 49050: 0.08545470418868267
Position 53725: 0.0798235880387365
Position 1377: 0.07657130372390644
Position 10004: 0.07316450018477282
Position 10084: 0.07143167339342062
Position 22055: 0.06961211471384549
Position 19469: 0.06345720284774976
Position 30596: 0.05687805254252743
Position 8358: 0.05581805758034316
Position 25311: 0.05356764792915671
Position 25055: 0.048112955075887504
Position 21246: 0.0432765067419372
Position 49720: 0.034734826144271536
Position 9891: 0.030537684427813173
Position 21243: 0.028295738156241656
Position 6002: 0.02715526644085811
Position 51445: 0.026083838113657214
Position 48042: 0.025517973829654626
Position 2164: 0.025426885081093267
Position 16002: 0.025347196684668945
Position 6030: 0.02437334971153918
Position 23043: 0.023096145754887977
Position 10124: 0.022421017112139792
Position 48466: 0.02111665833056602
Position 47482: 0.021036750446500857
Position 14152: 0.02089792733068427
Position 11319: 0.020699747516288003
Position 14546: 0.02063867914686967
Position 50639: 0.018164785628495803
Position 1412: 0.018061349891423627
Position 17128: 0.0175132810772121
Position 10792: 0.017319295230418752
Position 6165: 0.016623009231915422
Position 17153: 0.014487503046609783
Position 15847: 0.01287413972153156
Position 10032: 0.011817286999049319
Position 306: 0.011392735812999872
Position 26045: 0.011140403913687657
Position 4800: 0.010985895505351739
Position 30552: 0.010963187067804362
Position 21518: 0.010243466514840757
Position 19404: 0.009970827708293946
Position 34748: 0.008914687074708126
Position 23273: 0.008597559401230878
Position 12347: 0.00822807558170378
Position 5971: 0.007943546590106853
Position 23304: 0.007227565536030215
Position 45596: 0.0063632670720971795
Position 10612: 0.00636239220314248
Position 10371: 0.006243913933016008
Position 22975: 0.006242055544118752
Position 47713: 0.006153419917082551
Position 9987: 0.005772760070383937
Position 5172: 0.005639194234928803
Position 9778: 0.005623469292072289
Position 816: 0.0054947607284824215
Position 47450: 0.005414922222515167
Position 4796: 0.00519047731730454
Position 11578: 0.004464963079718272
Position 34634: 0.0043148149062718025
Position 22085: 0.0042706596902144425
Position 34691: 0.003977918153751617
Position 10229: 0.003852244492400049
Position 4379: 0.0037686588801453735
Position 11372: 0.003657002993990267
Position 10068: 0.003618525071777071
Position 5132: 0.003546987182674842
Position 46505: 0.0034009022153290536
Position 23858: 0.003356836947119587
Position 33622: 0.0031576077634201953
Position 490: 0.0030484216545584608
Position 9911: 0.0029211594031912968
Position 10411: 0.0026448046312249522
Position 34577: 0.002628196166160662
Position 14760: 0.002614513500080826
Position 9805: 0.0025919891126982104
Position 354: 0.002586678035571562
Position 5900: 0.0025565827077011017
Position 15969: 0.002467609848397044
Position 1058: 0.002427764124419488
Position 33625: 0.002311373833159837
Position 2053: 0.00230216941265387
Position 11955: 0.0018236005532839736
Position 12248: 0.0018152680880007704
Position 11340: 0.0016920263827933115
Position 22865: 0.001621983413149844
Position 2070: 0.0015836779603425506
Position 10569: 0.0015471042548236358
Position 11643: 0.001512991841033243
Position 15973: 0.0014989681942154287
Position 10765: 0.0014460556951174338
Position 5195: 0.0013383636983415373
Position 1030: 0.0012948283786484843
Position 4266: 0.0011886318165426658
Position 21704: 0.0011116043062896909
Position 6743: 0.00103887612450063
Position 6670: 0.0008414484569410685
Position 37316: 0.000720243172090448
Position 11298: 0.0007198758231804958
Position 4299: 0.0007026605395263944
Position 43188: 0.0006616451614655087
Position 9572: 0.0006603381710716789
Position 43139: 0.00061643962835783
Position 9622: 0.0005826948937682977
Position 5212: 0.0005724890160623751
Position 34805: 0.0005413029264797808
Position 1072: 0.0005327541506529468
Position 34862: 0.0005068758381084078
Position 1166: 0.0004892885188692447
Position 4873: 0.00048671205501633376
Position 40194: 0.0004532877996896018
Position 4906: 0.000431346120672453
Position 6645: 0.0004268742434044478
Position 4843: 0.00040527533771753
Position 377: 0.00039288642977831613
Position 39837: 0.00038799720995675603
Position 1713: 0.00030574341686396314
Position 11004: 0.00029833684168735264
Position 39626: 0.00029106618576457645
Position 311: 0.00026387237091354745
Position 1484: 0.00021615004039758526
Position 37877: 0.00019275707955967853
Position 30094: 0.00017256391097819038
Position 29698: 0.00012565121024301734
Position 30881: 0.00012530194641202717
Position 32173: 0.00012280876552977403
Position 1445: 0.00011881195340056092
Position 420: 0.00011000999945676179
Position 335: 0.00010909085789679114
Position 330: 0.00010753179387194776
Position 34137: 0.00010238656492992823
Position 37531: 0.00010156906433256646
Position 34075: 8.324857504892237e-05
Position 34904: 8.273151537563426e-05
Position 516: 7.481553503685253e-05
Position 30906: 7.014263509022083e-05
Position 28540: 5.727937179951033e-05
Position 36292: 5.429414852008937e-05
Position 36145: 5.1741258451945465e-05
Position 36458: 5.0710793572719786e-05
Position 1329: 4.693684862408983e-05
Position 35593: 4.653130706197522e-05
