Gene = YRDC
index = 1586
Annotated 5SS: [ 394 1085 1329 3884]
Annotated 3SS: [ 969 1208 3740 4187]
SMsplice 5SS: [ 394 1085 1329 3884]
SMsplice 3SS: [ 969 1208 3740 4187]
top_k =  1000
Partition function (log Z): 3.829059492029215

Sorted 5' Splice Sites (High to Low Probability):
Position 1085: 0.9953404416665051
Position 394: 0.9905215061450915
Position 3884: 0.9878479692798546
Position 1329: 0.9196220661693284
Position 3035: 0.023552155620656306
Position 2869: 0.023209738259845045
Position 1753: 0.021684382714564836
Position 4224: 0.0110007807812698
Position 4292: 0.006001112579886871
Position 1748: 0.0059808481280482165
Position 1739: 0.0054209582563316625
Position 840: 0.004972373466283081
Position 274: 0.004586500373472941
Position 1270: 0.004243309324234866
Position 797: 0.0036522488318738878
Position 2612: 0.002594072929388712
Position 4001: 0.002360809726131952
Position 362: 0.002051325278938958
Position 4164: 0.0020020800999043806
Position 1453: 0.0015034998498170392
Position 2388: 0.0014359639218115073
Position 1473: 0.0013810167937621726
Position 2813: 0.0012509037268966254
Position 2565: 0.0010648236721135748
Position 2605: 0.0010579622604522628
Position 4502: 0.0008476118293973664
Position 4133: 0.0008216584201234282
Position 4061: 0.00047419463489579945
Position 3422: 0.0004640507305388418
Position 4308: 0.00041622086121633075
Position 1476: 0.0003106613578154323
Position 4014: 0.00028949753867371197
Position 449: 0.0002889457801638085
Position 1909: 0.0002789691924109023
Position 2500: 0.00027144084179122154
Position 1034: 0.0002572018853887789
Position 18: 0.00022770182282710844
Position 3926: 0.00020971139174944878
Position 22: 0.00020125229200969053
Position 4104: 0.0001902341578484578
Position 1104: 0.00018384982735686163
Position 4385: 0.00017521660639238207
Position 2462: 0.00013051192461018443
Position 2269: 0.0001193829796564714
Position 2727: 0.00011079291016647962
Position 1384: 0.00010768997297261195
Position 3183: 0.00010602344035141805
Position 1666: 0.00010542591185963453
Position 1094: 9.821971255459561e-05
Position 3449: 9.755079091639619e-05
Position 4519: 9.351723556552113e-05
Position 869: 9.183638858004704e-05
Position 3477: 7.468747851242718e-05
Position 3902: 7.358515117567863e-05
Position 1445: 6.548877769477316e-05
Position 1404: 6.25894061186138e-05
Position 4456: 6.220537770166479e-05
Position 1637: 5.983863042934871e-05
Position 1323: 5.779969083798842e-05
Position 3860: 5.189232715024928e-05
Position 620: 4.8824719417034834e-05
Position 1089: 4.697475256475813e-05
Position 2676: 4.661115875864089e-05
Position 322: 4.624083475429787e-05
Position 745: 4.511340434080334e-05
Position 4199: 4.3222141836362846e-05
Position 4825: 4.02964925570299e-05
Position 3527: 3.5433151129140985e-05
Position 4306: 3.409295845800009e-05
Position 2576: 3.1219617804633834e-05
Position 4855: 2.598549175511751e-05
Position 4571: 2.5369690851516623e-05
Position 2885: 2.347488765342582e-05
Position 1333: 2.334877449496835e-05
Position 2212: 2.0928036935049224e-05
Position 3888: 2.041302372792377e-05
Position 251: 1.7946263105427867e-05
Position 1708: 1.7303185625058835e-05
Position 2378: 1.71507611137378e-05
Position 2334: 1.6897704628314048e-05
Position 1903: 1.6476243853193476e-05
Position 4616: 1.5268087467649396e-05
Position 336: 1.4706691479427978e-05
Position 4073: 9.242599860957551e-06
Position 4257: 8.953539525498354e-06
Position 669: 8.862682807008142e-06
Position 529: 8.594474176118823e-06
Position 3965: 8.454954301599737e-06
Position 4679: 7.1808642415169505e-06
Position 626: 7.1202846316690265e-06
Position 980: 5.930294474994877e-06
Position 4429: 5.856251977961986e-06
Position 61: 5.313245181560103e-06
Position 3845: 4.4577702765662585e-06
Position 442: 4.245046607663532e-06
Position 4387: 3.7520102739955535e-06
Position 145: 3.54415256038909e-06
Position 609: 3.1783788055096805e-06
Position 3834: 3.1047668313428395e-06
Position 3837: 3.050290005380682e-06
Position 710: 2.915537644023231e-06
Position 44: 2.782306383448004e-06
Position 1106: 2.535466335046243e-06
Position 56: 2.466595833725008e-06
Position 7: 2.240499129790832e-06
Position 248: 2.156782776031994e-06
Position 545: 1.8764033640184156e-06
Position 895: 1.5786819553543726e-06
Position 114: 1.285450462066669e-06
Position 1212: 9.007708024458921e-07
Position 386: 8.910312375167939e-07
Position 1025: 8.125104226217663e-07
Position 756: 6.322932771125741e-07
Position 93: 3.568825292961398e-07
Position 906: 3.3385499313147036e-07
Position 759: 2.804259445068625e-07
Position 753: 1.8017509808976643e-07
Position 1262: 1.6530548298755226e-07
