Gene = SEC61B
index = 1239
Annotated 5SS: [  66  343 5700]
Annotated 3SS: [ 244 5597 8035]
SMsplice 5SS: [  66  343 5700]
SMsplice 3SS: [ 244 5597 8035]
top_k =  1000
Partition function (log Z): -4.422154438826031

Sorted 5' Splice Sites (High to Low Probability):
Position 5700: 0.9449082204934129
Position 343: 0.8877846059181955
Position 66: 0.7259108768007354
Position 1870: 0.5777848692036381
Position 1688: 0.3129079478092099
Position 2883: 0.17337393386959074
Position 4101: 0.06487681020420033
Position 6178: 0.06420416013854853
Position 2892: 0.05805485006226377
Position 5415: 0.04804437106678273
Position 2148: 0.02013357801795971
Position 2442: 0.01952288735589234
Position 6501: 0.017729835203700996
Position 631: 0.016513048841569997
Position 7791: 0.01451139965126608
Position 170: 0.009330122044646606
Position 3708: 0.006879058415121152
Position 7863: 0.00600334107258345
Position 4412: 0.0051231038778384716
Position 2822: 0.004971906525573344
Position 4053: 0.004970476261430776
Position 3235: 0.004962560646491562
Position 2224: 0.004921000867904117
Position 2402: 0.004876762344321967
Position 3744: 0.004621436281798986
Position 6912: 0.004282461363287499
Position 2601: 0.004245544662883745
Position 4397: 0.004098603432832013
Position 3706: 0.0037933921553627726
Position 2109: 0.003583566033312928
Position 3154: 0.003550710905070104
Position 3542: 0.003491599910197195
Position 3030: 0.0032919728644192846
Position 5277: 0.002615490564689303
Position 4436: 0.0020623904695530413
Position 2733: 0.002045862863035193
Position 142: 0.0016137731536490806
Position 6171: 0.001603760877857538
Position 172: 0.0014153763194144407
Position 7195: 0.0013863616510929302
Position 4388: 0.0012568475462371035
Position 6388: 0.0012262687920920508
Position 2474: 0.001173095203084442
Position 1549: 0.0011693108897066976
Position 4691: 0.0011511686358606774
Position 6582: 0.0010626341751345562
Position 6959: 0.0009771083940801322
Position 4423: 0.0009519987767236328
Position 2187: 0.0009323101248752916
Position 6931: 0.0008890357425431958
Position 1371: 0.0008228979998346521
Position 3262: 0.0007420390358832044
Position 2954: 0.0007104828035818315
Position 358: 0.0006644503348304233
Position 6538: 0.0005789661265363863
Position 2870: 0.00042730226384310856
Position 427: 0.0004057984239054031
Position 6496: 0.00039204149470286286
Position 14: 0.0003526537800344637
