Gene = TRAPPC13
index = 1478
Annotated 5SS: [   73 10336 11010 12747 22149 25849 27512 30620 33468 35864 37117 39351]
Annotated 3SS: [10266 10909 12661 22020 25775 27466 30601 33333 35664 37015 39199 39469]
SMsplice 5SS: [   73  7436 11010 12747 21515 22149 25849 27512 33468 37117 39351]
SMsplice 3SS: [ 7330 10909 12661 21396 22020 25775 27466 33333 37015 39199 39469]
top_k =  1000
Partition function (log Z): -0.7782820704486153

Sorted 5' Splice Sites (High to Low Probability):
Position 11010: 0.9841634416589518
Position 22149: 0.9475743733963332
Position 73: 0.9416033855556935
Position 33468: 0.9211054271619566
Position 37117: 0.8916797010697296
Position 27512: 0.8425256670619317
Position 7436: 0.7926368272633305
Position 12747: 0.7829385605394161
Position 39351: 0.7341659070972192
Position 21515: 0.6177002309001953
Position 25849: 0.576580033883304
Position 10336: 0.48568550861423115
Position 26015: 0.38086991989665814
Position 36284: 0.3378947582197717
Position 35864: 0.3333089910269141
Position 25867: 0.23417009073673692
Position 22422: 0.21124154434297454
Position 14827: 0.16875527402784946
Position 5511: 0.16418561010493618
Position 37865: 0.1532869303334635
Position 37356: 0.1417748879979502
Position 9626: 0.13255702732243782
Position 2955: 0.1190622630764268
Position 630: 0.11043806112963236
Position 29580: 0.0979405160030803
Position 39014: 0.08038728173240947
Position 35150: 0.06631402996421742
Position 21058: 0.060159186960384456
Position 8030: 0.05301749332557576
Position 25711: 0.052439694149533686
Position 7592: 0.04358097527425828
Position 30203: 0.04246877209472762
Position 29901: 0.041448634459552644
Position 7116: 0.04037582918255186
Position 29544: 0.03298809676802109
Position 277: 0.028633908232702936
Position 10375: 0.027945037687475353
Position 22613: 0.027194564099243892
Position 34222: 0.026905328959709394
Position 9850: 0.02674050920541217
Position 9644: 0.024367677518466725
Position 7106: 0.023277092412411254
Position 1173: 0.023010658087837862
Position 22436: 0.02226948101419743
Position 28357: 0.02164723932066932
Position 9312: 0.019192923831629783
Position 37955: 0.01841583802161937
Position 387: 0.017009610594529476
Position 7427: 0.015939545283779492
Position 4588: 0.015320905875130431
Position 7123: 0.014681768674568425
Position 36818: 0.014171651969007094
Position 33400: 0.013314765298671417
