Gene = MALSU1
index = 815
Annotated 5SS: [ 409 1818 8750]
Annotated 3SS: [ 1638  8667 10155]
SMsplice 5SS: [ 409 8856]
SMsplice 3SS: [ 8775 10155]
top_k =  1000
Partition function (log Z): -7.993257950382585

Sorted 5' Splice Sites (High to Low Probability):
Position 409: 0.9732681154683486
Position 8856: 0.8221689613959869
Position 2983: 0.3952457570300459
Position 1818: 0.2839660876630794
Position 10098: 0.14718923348957136
Position 8881: 0.09028394308080784
Position 7399: 0.08368703265662944
Position 8368: 0.06415658678553274
Position 11106: 0.046033690136237704
Position 8329: 0.045620641780629995
Position 9599: 0.04357884114535612
Position 8307: 0.042812240414979115
Position 8750: 0.03855972855724509
Position 5161: 0.03844530849797327
Position 1761: 0.029952823857398204
Position 11723: 0.028196140941175594
Position 10336: 0.026646520662211987
Position 8364: 0.02629068354393557
Position 1901: 0.022830151414034078
Position 773: 0.021169605274872945
Position 1722: 0.01906097427544971
Position 5484: 0.015440891614499155
Position 714: 0.01145865770621431
Position 474: 0.010498077127951587
Position 462: 0.010385196466000921
Position 9638: 0.007089235325034615
Position 9030: 0.005552842875535738
Position 6638: 0.005530998258025896
Position 1037: 0.004885637645818238
Position 9963: 0.0042206656246379665
Position 8776: 0.004209038407380655
Position 854: 0.003276391108041383
Position 9092: 0.0028525551251847086
Position 5187: 0.002536244111947487
Position 3115: 0.0024651474126026742
Position 49: 0.0023522056133467896
Position 282: 0.0023428023231735267
Position 9967: 0.002142893398474589
Position 11046: 0.0016949987520649065
Position 9731: 0.0014997245951364536
Position 763: 0.0012874461482542227
Position 8998: 0.0011955147312345186
Position 10093: 0.0011173054157611784
Position 1455: 0.0009092893916806029
Position 1485: 0.0007939145786328585
Position 227: 0.0006284790971746027
Position 9197: 0.00024139477203213516
Position 1293: 0.0002064694140184082
Position 210: 0.00019460698042157967
Position 882: 0.00017557464692295527
Position 777: 0.00015986832389524368
Position 3299: 0.00015910940037035593
Position 1182: 0.00015880091647360324
Position 4366: 0.00013387779883176633
Position 790: 0.00012389171141567412
Position 1398: 0.00011742617720185681
Position 556: 0.00010862910255255473
Position 807: 9.840096565747566e-05
Position 2965: 9.723927428883727e-05
Position 4130: 8.916907293810025e-05
Position 197: 8.737367558578066e-05
Position 3239: 7.702675795095175e-05
Position 1082: 7.265726251059145e-05
Position 1463: 6.32320761371599e-05
Position 171: 6.014233372285085e-05
Position 1348: 5.785289375653256e-05
Position 757: 5.659456539368062e-05
Position 1332: 5.490236771574215e-05
Position 234: 5.459907542874983e-05
Position 115: 5.394255035779794e-05
Position 457: 4.237819588189203e-05
Position 1321: 3.9001734574043115e-05
Position 801: 3.850392323918917e-05
Position 219: 3.2732567424909174e-05
Position 1058: 3.2017339049939276e-05
Position 11: 2.3997345701604144e-05
Position 1559: 1.9021866616853996e-05
Position 8870: 1.6167210224263083e-05
Position 1414: 1.5587606402760134e-05
Position 877: 1.4655008941270255e-05
Position 1519: 1.3193510360336265e-05
Position 1330: 1.2906546631272507e-05
Position 727: 1.1446227413257281e-05
Position 1228: 1.1282660006886613e-05
Position 1580: 1.0508838389579018e-05
Position 496: 9.819092908864854e-06
Position 8736: 9.639464916461825e-06
Position 169: 7.338793450623885e-06
Position 1429: 5.880877828832561e-06
Position 1327: 5.721710353918613e-06
Position 8911: 5.24342540835028e-06
Position 9053: 4.471888911376153e-06
Position 585: 4.270155807976065e-06
Position 1375: 4.1229285827476706e-06
Position 375: 3.982243701626629e-06
Position 1361: 3.9786491332036485e-06
Position 920: 3.7239283356145813e-06
Position 1140: 3.0644889645311454e-06
Position 662: 2.399501930771815e-06
Position 1382: 2.111319247938196e-06
Position 1290: 1.4270952279994737e-06
Position 1354: 1.2266417464255683e-06
Position 971: 1.0657113699823817e-06
Position 821: 1.052826375885309e-06
Position 718: 1.0103470918039324e-06
Position 87: 9.491615460147394e-07
Position 450: 5.339471146334712e-07
Position 2972: 3.12325885526676e-07
Position 484: 2.9202859899087947e-07
Position 324: 8.358760668938252e-08
Position 2438: 7.576555736333734e-08
Position 2540: 5.462668318329725e-08
Position 3184: 4.634175628132387e-08
Position 2588: 3.8042847563109256e-08
Position 2711: 3.7405325584705835e-08
Position 3704: 3.2207634827011e-08
Position 2745: 2.6776154634649164e-08
Position 3223: 2.2634638536508373e-08
