Gene = UIMC1
index = 1530
Annotated 5SS: [   125  23940  31013  35667  36808  37854  48316  50450  54935  63074
  95098  97886  99295 100398]
Annotated 3SS: [ 23784  30927  35541  36701  37116  48253  50372  54830  62919  95018
  97713  99230 100360 100915]
SMsplice 5SS: [   125   4992  23940  26288  31013  37854  50450  53319  63074  95098
  97886  99295 100398]
SMsplice 3SS: [  4906  23784  26017  30927  37652  50372  53219  62919  95018  97789
  99230 100225 100915]
top_k =  1000
Partition function (log Z): -32.48170592390617

Sorted 5' Splice Sites (High to Low Probability):
Position 31013: 0.9936051279004006
Position 23940: 0.9566368956825358
Position 37854: 0.953494211663347
Position 125: 0.8532095262985804
Position 4992: 0.8118606564326044
Position 26288: 0.5503169739481226
Position 9573: 0.38081604883636594
Position 4055: 0.36497992479468655
Position 32970: 0.3277368241560011
Position 41575: 0.3030918888159747
Position 27244: 0.2892661843354055
Position 7342: 0.24704044813505668
Position 41310: 0.2313281986438149
Position 28299: 0.2194512230564386
Position 13728: 0.21140723334841519
Position 35667: 0.20257686929517923
Position 16104: 0.19467055613228654
Position 41605: 0.15809865862662506
Position 37043: 0.15555759136006622
Position 41649: 0.13365668380310028
Position 1260: 0.11220905526145797
Position 35604: 0.09895367148720823
Position 47545: 0.0935930812790982
Position 30658: 0.08494063449271887
Position 119: 0.05472797627594147
Position 25032: 0.047640152927898416
Position 35689: 0.04350281380559193
Position 36030: 0.040789496667307655
Position 27091: 0.038471898139959965
Position 25105: 0.0369891117444024
Position 23874: 0.03609851910212309
Position 31513: 0.03370930041507525
Position 2901: 0.03318248095607013
Position 8983: 0.029832243740194858
Position 3998: 0.025068577949833252
Position 79: 0.02216486572566079
Position 40346: 0.02142012726827183
Position 8491: 0.019690933936146317
Position 965: 0.019542091970282862
Position 1875: 0.019476463971689412
Position 3869: 0.01807913143331876
Position 16121: 0.01741328524486835
Position 1507: 0.017215601142210275
Position 40718: 0.01625061118914527
Position 3107: 0.015865717393521526
Position 42626: 0.015406589693364954
Position 470: 0.013935980795138308
Position 72: 0.011790935573426434
Position 37860: 0.011456263800258859
Position 186: 0.007599904176725389
Position 28909: 0.00623963829978878
Position 129: 0.0055465758447762956
Position 6631: 0.004836110068838704
Position 3983: 0.004666936738331554
Position 23893: 0.004504197075483404
Position 4411: 0.004444254514049561
Position 26121: 0.004357796832666125
Position 42483: 0.004170721228722963
Position 43561: 0.0041392982487207155
Position 35299: 0.0038113690131469677
Position 24108: 0.0033849965669404273
Position 1521: 0.002779580230859975
Position 1868: 0.0027744935603083057
Position 32038: 0.0027006403669903086
Position 41556: 0.002659480241254811
Position 1925: 0.002349509003146912
Position 33066: 0.002250032844298213
Position 3752: 0.002241581575541622
Position 4086: 0.0022130123138214435
Position 38162: 0.0020574230975639886
Position 35584: 0.0019887404548032295
Position 32934: 0.0019665291935054632
Position 31194: 0.0018081206672216446
Position 39608: 0.001748441872074959
Position 4239: 0.0016490497852182562
Position 32761: 0.0015970967972283548
Position 31159: 0.0014786469872902488
Position 951: 0.001461957370888307
Position 961: 0.0014546309166553924
Position 41409: 0.0013198287830080676
Position 34762: 0.0011605748109781522
Position 1303: 0.0010958717797023983
Position 42058: 0.0010528986138452607
Position 43150: 0.0008742463671579875
