Gene = RFESD
index = 1133
Annotated 5SS: [1221 5478 7383 7514]
Annotated 3SS: [5282 7206 7478 9191]
SMsplice 5SS: [ 212 7383]
SMsplice 3SS: [7272 9191]
top_k =  1000
Partition function (log Z): -9.439032433457786

Sorted 5' Splice Sites (High to Low Probability):
Position 7383: 0.8084757017101809
Position 212: 0.6574534447543411
Position 6361: 0.46803916304967247
Position 5478: 0.46282310141690336
Position 1907: 0.4389721920049947
Position 1221: 0.34591632130653344
Position 7514: 0.30117589807691525
Position 493: 0.08217854875810766
Position 9262: 0.062024925320144086
Position 460: 0.0613411543179029
Position 8295: 0.048446516744000384
Position 1225: 0.03540272808679426
Position 8683: 0.02950857394431937
Position 8737: 0.028187724354418152
Position 1665: 0.025955382358930825
Position 477: 0.025486996602535814
Position 101: 0.01860992643707546
Position 4413: 0.01577784666658319
Position 1613: 0.01010966374510378
Position 112: 0.00828300877722452
Position 420: 0.007564471183944103
Position 4704: 0.005602251735781766
Position 932: 0.0049439273680602375
Position 5101: 0.004456050799322098
Position 7457: 0.0035752657202925645
Position 9435: 0.002755986185169708
Position 5134: 0.0026779348269219843
Position 1496: 0.002285362223486299
Position 2686: 0.0021985147615632243
Position 648: 0.00215832495094971
Position 879: 0.0020997461197394397
Position 4440: 0.0014167386460172213
Position 4353: 0.0013003317798657963
Position 1018: 0.001223253177548151
Position 268: 0.0011602793617241304
Position 688: 0.0011047811668488084
Position 220: 0.0007559119093816972
Position 366: 0.0007552194012808528
Position 3931: 0.0006505848769777357
Position 1689: 0.0006215105790348066
Position 4821: 0.0005620859076944791
Position 1527: 0.00038040206625517274
Position 330: 0.00033469407919638157
Position 389: 0.0002893269881043475
Position 1183: 0.00027799304675625526
Position 601: 0.0002400472595026611
Position 748: 0.00023038080468597223
Position 94: 0.0002151915937438681
Position 740: 0.0001546814956604011
Position 1009: 0.00015394428146919538
Position 336: 0.0001376163901155442
Position 817: 0.00013406261157950948
Position 1621: 0.00013067898318128819
Position 88: 0.00012223914170957765
Position 403: 0.00010672465194852314
Position 576: 0.0001005615286530526
Position 105: 2.488140141624362e-05
Position 973: 2.1059740349993533e-05
Position 8481: 1.8854044065260893e-05
Position 711: 6.802373801178955e-06
Position 936: 5.95887578482689e-06
Position 661: 4.062549541837574e-06
Position 520: 2.2554010759414765e-06
Position 536: 2.0608430243672875e-06
Position 334: 1.590288715661189e-06
Position 164: 3.875233729535731e-07
Position 52: 3.2342978123026313e-07
Position 371: 3.96915558874721e-08
Position 522: 3.7957147581709383e-08
Position 249: 9.86938032489016e-09
Position 32: 7.552821059740839e-09
