Gene = AHDC1
index = 42
Annotated 5SS: [  195 44886 50518 50700 56331]
Annotated 3SS: [44707 50405 50661 51401 68674]
SMsplice 5SS: [  195 35624 39441 44886 50735 51470 53085 56331 68830]
SMsplice 3SS: [35477 39312 44707 50661 51401 52974 56155 68674 69260]
top_k =  1000
Partition function (log Z): -32.29411953095715

Sorted 5' Splice Sites (High to Low Probability):
Position 195: 0.9995255402717728
Position 3229: 0.5841497200442222
Position 6499: 0.34357112962406705
Position 13057: 0.2961757168313794
Position 2197: 0.22007154915220084
Position 6757: 0.20526092702774756
Position 2155: 0.193013666411522
Position 9074: 0.18898283466712984
Position 3852: 0.18502254858841655
Position 4723: 0.16584248429876705
Position 3527: 0.14915083433308085
Position 1999: 0.0873915216880493
Position 9177: 0.04262976760199311
Position 1837: 0.04211974681854767
Position 6471: 0.03420816833852466
Position 4790: 0.029444787934355364
Position 2109: 0.027300899822747
Position 5970: 0.02108137151199844
Position 3682: 0.019432481676759247
Position 3361: 0.018038629895726722
Position 6714: 0.01621724509125436
Position 5183: 0.009788671634628151
Position 12043: 0.00858356752459644
Position 3234: 0.006589353249784267
Position 6688: 0.006016606331263671
Position 1380: 0.005951640038059336
Position 2267: 0.004612631580233622
Position 1687: 0.0032130929972100652
Position 2914: 0.0031728230887932774
Position 3876: 0.0024416556696927115
Position 24: 0.0022925579371795906
Position 2310: 0.0016310802676494948
Position 2831: 0.0015250445334631976
Position 1038: 0.0015231205917427527
Position 1244: 0.0014941531927382958
Position 2444: 0.0014307051282356602
Position 3219: 0.0009579304032084197
Position 5248: 0.0007745724742656001
Position 2243: 0.0007697425490764171
Position 1662: 0.000765492474699962
Position 988: 0.0007520959827853717
Position 326: 0.0006112427883002603
Position 3602: 0.0005511764860599296
Position 1824: 0.00045921299734971363
Position 1664: 0.00038743136115761747
Position 1614: 0.0003600047307550344
Position 1882: 0.00033199440954237105
Position 2473: 0.00033177757741509117
Position 2060: 0.00031699852645937103
Position 2643: 0.00023204913939465146
Position 2803: 0.00019028580933692782
Position 1372: 0.0001412213481050101
Position 1387: 0.00013926039300215533
Position 294: 0.0001245002171655352
Position 5658: 0.00011627301502681024
Position 1620: 0.00011057454978710765
Position 3290: 0.00010983907431885308
Position 1541: 0.00010734450760633002
Position 417: 9.821475998736509e-05
Position 496: 8.760451927248868e-05
Position 2562: 7.855662645445606e-05
Position 2367: 7.406947801141299e-05
Position 3439: 6.971829383117609e-05
Position 3130: 6.242156214380108e-05
Position 4458: 5.887859705692915e-05
Position 738: 5.5816941706925e-05
Position 1530: 5.5639815477347074e-05
Position 3097: 5.315563081491109e-05
Position 289: 4.52293495975418e-05
Position 1976: 4.4711572368643854e-05
Position 941: 3.7492275210740915e-05
Position 1044: 3.580469185909634e-05
Position 4611: 3.38544176775942e-05
Position 1744: 3.212331420791635e-05
Position 1959: 2.8014881210158462e-05
Position 2796: 2.605910753896931e-05
Position 1179: 1.711707596183414e-05
Position 2364: 1.1980793556791915e-05
Position 1454: 1.0929602080220754e-05
Position 1784: 1.0911981443491745e-05
Position 1618: 1.0550467847426246e-05
Position 1874: 9.669329358063651e-06
Position 771: 9.377203508874293e-06
Position 1693: 7.546209890983424e-06
Position 1138: 7.031418926289072e-06
Position 962: 6.58433400615522e-06
Position 1084: 6.301308608552655e-06
Position 8: 5.2670264536026545e-06
Position 317: 4.40508496132311e-06
Position 1915: 4.285247824285552e-06
Position 1445: 4.104843873797376e-06
Position 946: 3.8073876917750056e-06
Position 5506: 3.627558469112607e-06
Position 335: 2.288046399084956e-06
Position 1576: 2.2199967308163264e-06
Position 832: 2.2167069617631293e-06
Position 1763: 2.890489822722102e-07
Position 1598: 2.240390476694548e-07
Position 308: 2.1292922541475665e-07
Position 48: 7.17129743937618e-08
Position 591: 3.425248087874451e-08
Position 1101: 2.3622738645023165e-08
Position 849: 2.3556819643046958e-08
Position 815: 2.054471805682663e-08
Position 1279: 1.897262382313557e-08
Position 199: 4.071404135981752e-09
Position 341: 1.823235128071945e-09
Position 620: 1.3970123631691544e-09
Position 2043: 1.1636446363574553e-09
Position 773: 9.306900791995361e-10
Position 953: 6.761910058252209e-10
Position 257: 6.708577868754239e-10
Position 138: 5.314054591473366e-10
Position 455: 7.026852543350752e-11
Position 447: 4.611579561086307e-11
Position 1108: 2.945357504587875e-11
Position 895: 1.3767829060729279e-11
Position 112: 7.342278923127052e-12
Position 281: 7.173587901799165e-13
Position 825: 5.589338453719662e-13
Position 1922: 1.6509531883807314e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 17541: 0.408019225048798
Position 6348: 0.3957613701145187
Position 12736: 0.38106316499130427
Position 3096: 0.3644995394329701
Position 2037: 0.31891226641319803
Position 3137: 0.25345192552988444
Position 6626: 0.22331488683754547
Position 8916: 0.19947117631036101
Position 3759: 0.18766712333147764
Position 3385: 0.11977788865897386
Position 1914: 0.09758676520752436
Position 4582: 0.09345435872362193
Position 17325: 0.07697292446566636
Position 9604: 0.07157849501304457
Position 10878: 0.06881999031553153
Position 1956: 0.06713199845130374
Position 8980: 0.06384161789378215
Position 4531: 0.053373219494369094
Position 11798: 0.041320826818642235
Position 5914: 0.03834962376578821
Position 4492: 0.03489930030034578
Position 9359: 0.032822378460221485
Position 3400: 0.028338135395595578
Position 1465: 0.0282113942264308
Position 2077: 0.021233851409965317
Position 13741: 0.016269173164283716
Position 2093: 0.016190458933244226
Position 7252: 0.015753264387279295
Position 13257: 0.015514928659856795
Position 1976: 0.012834057583519937
Position 1116: 0.012173814816096716
Position 6036: 0.011600795202214059
Position 3303: 0.01116594022835836
Position 4461: 0.010631214415619443
Position 10403: 0.010491556386689981
Position 8934: 0.009102813647725912
Position 8287: 0.008809797612306543
Position 7265: 0.007310916871348963
Position 7339: 0.007229289885768788
Position 3583: 0.007122357313837846
Position 1691: 0.006115126777196331
Position 5415: 0.006020758698716478
Position 5114: 0.005441162436202308
Position 4716: 0.004977401768816056
Position 13334: 0.004873645258639028
Position 1653: 0.004634046021095989
Position 7704: 0.004400277038596895
Position 6831: 0.004260400388308724
Position 2749: 0.0034967445356719412
Position 937: 0.003435482985551565
Position 1595: 0.003344175282980869
Position 3164: 0.0032122374549110196
Position 13777: 0.002941434270198864
Position 1614: 0.002296186553908962
Position 5028: 0.0022023565493522975
Position 3444: 0.001508382059823485
Position 3616: 0.0013357610175276436
Position 4944: 0.001328581080517754
Position 2222: 0.0013271554636763694
Position 99: 0.001292182818806052
Position 7231: 0.0012849034111180463
Position 5151: 0.0012295855435588406
Position 1479: 0.001213396738926214
Position 3579: 0.0012014288825970003
Position 3621: 0.0011639819829464939
Position 2678: 0.0011600853688910242
Position 2973: 0.001140454757638858
Position 7216: 0.0010703187432956414
Position 3031: 0.0010144835243346272
Position 96: 0.000984664303379634
Position 5210: 0.0009244364157711347
Position 1404: 0.0009020590888047592
Position 3144: 0.000870323547294294
Position 1953: 0.0008577618298191615
Position 9468: 0.0007868155588732996
Position 5388: 0.0007540580815807284
Position 7505: 0.0006176000454147783
Position 262: 0.0005821336231602982
Position 7174: 0.0005719187815907357
Position 8847: 0.0005702496468791427
Position 4417: 0.0005399407332703335
Position 8600: 0.0005374322791539722
Position 3642: 0.0005325917481123847
Position 1641: 0.0005117296694076774
Position 1501: 0.0005114531051147132
Position 2188: 0.0004890925459201316
Position 2053: 0.00048483450644301596
Position 1214: 0.00048116244831968204
Position 2434: 0.0004782319234124553
Position 1761: 0.0003809037037490238
Position 3201: 0.00036559476141828287
Position 2339: 0.00032451726947100093
Position 2606: 0.0003004594935245314
Position 6082: 0.00029747932764261607
Position 2830: 0.0002595841783373515
Position 5170: 0.00025271084476094805
Position 3517: 0.00020796161227658116
Position 2296: 0.00020529175844062505
Position 2262: 0.00017467749660772067
Position 2135: 0.00016039280321118613
Position 1190: 0.0001424025867164621
Position 2367: 0.00013691283142734857
Position 3766: 0.00013685297333913363
Position 2408: 0.0001076405283418397
Position 1885: 9.119386132916541e-05
Position 1485: 8.982744596885898e-05
Position 3807: 8.93615489206037e-05
Position 1624: 8.428122271332502e-05
Position 578: 8.158719227563953e-05
Position 1555: 8.135779554943061e-05
Position 5577: 8.08866825599894e-05
Position 1520: 7.290043355510987e-05
Position 1187: 6.501254354939814e-05
Position 1660: 6.074357598278312e-05
Position 1655: 5.5752149784513064e-05
Position 2572: 3.1883957620535596e-05
Position 717: 3.133142957271159e-05
Position 2079: 3.0475217888950455e-05
Position 1203: 2.9159928397560933e-05
Position 1674: 2.7282940803750657e-05
Position 2289: 2.694688213097386e-05
Position 4349: 2.138661973972971e-05
Position 2940: 2.0061852854457696e-05
Position 1349: 1.9650990091266345e-05
Position 2104: 1.4284908349103868e-05
Position 1295: 1.285740677806184e-05
Position 3044: 1.195624101671325e-05
Position 649: 9.801683737136716e-06
Position 3173: 9.516590071502524e-06
Position 1536: 9.37674681372004e-06
Position 3647: 8.699831617411622e-06
Position 1772: 8.066376805076155e-06
Position 131: 7.261452800835553e-06
Position 4539: 6.221939341050585e-06
Position 1516: 4.626199371580047e-06
Position 1763: 3.8667483558407945e-06
Position 1363: 2.707724802181516e-06
Position 1089: 2.598303098450989e-06
Position 1263: 2.2523516146658118e-06
Position 974: 2.1850630977054636e-06
Position 611: 1.8571482155907242e-06
Position 1122: 1.504133345925222e-06
Position 1055: 1.4255215981869308e-06
Position 1287: 1.1238295398150643e-06
Position 1432: 9.43336888877447e-07
Position 1220: 9.430624575223649e-07
Position 1828: 7.118053670540732e-07
Position 1889: 6.020004248010388e-07
Position 1227: 5.333343509443428e-07
Position 135: 4.63320128498308e-07
Position 1019: 3.3639212859030965e-07
Position 804: 3.2411489869082455e-07
Position 1240: 2.1876932206642937e-07
Position 495: 2.060456596572739e-07
Position 959: 1.7431953629479195e-07
Position 637: 1.6735293498587467e-07
Position 382: 1.5066400672609607e-07
Position 1558: 1.500391413667907e-07
Position 1369: 1.407464932566676e-07
Position 1549: 1.2531994845224236e-07
Position 1847: 9.642048269776893e-08
Position 1999: 7.642310183700731e-08
Position 2521: 6.026642309107015e-08
Position 849: 5.7413511410402154e-08
Position 978: 4.76860904727944e-08
Position 2155: 4.1959478316357e-08
Position 1304: 2.2854393665155796e-08
Position 667: 1.683611344411943e-08
Position 2055: 1.5672809769544424e-08
Position 390: 1.185376583734516e-08
Position 3446: 8.553491223270038e-09
Position 2043: 7.626028986135508e-09
Position 2109: 6.851110748573896e-09
Position 3450: 6.103987290098478e-09
Position 3448: 6.0771108391604765e-09
Position 1270: 5.129222514342276e-09
Position 2875: 4.220621000219113e-09
Position 1157: 3.393621413878198e-09
Position 2145: 3.1387854228482136e-09
Position 1236: 1.341835165522122e-09
Position 1324: 1.2719261303716763e-09
Position 1057: 1.2020860641484365e-09
Position 1128: 1.0947100312453497e-09
Position 1136: 1.0191029165913425e-09
Position 182: 9.806360103728277e-10
Position 966: 9.6675951215993e-10
Position 767: 9.055727200474617e-10
Position 786: 8.837191001284513e-10
Position 1061: 8.663794902797381e-10
Position 507: 7.785188961725172e-10
Position 631: 5.856681630531082e-10
Position 175: 3.9446497365126204e-10
Position 394: 3.90713743765754e-10
Position 2472: 3.75597875941833e-10
Position 783: 3.5478902247420283e-10
Position 222: 3.0242939595342156e-10
Position 626: 2.876496705439929e-10
Position 216: 2.4327087000106575e-10
Position 2271: 1.9289268204965646e-10
Position 953: 1.8579349618423787e-10
Position 70: 1.0337687709386441e-10
Position 743: 6.499891989706976e-11
Position 812: 5.744055853355961e-11
Position 982: 3.866254240584396e-11
Position 187: 2.740253286764897e-11
Position 738: 2.237547804909162e-11
Position 441: 2.206557958207004e-11
Position 688: 1.1841498692186139e-11
Position 416: 1.0495004290128411e-11
Position 681: 9.107623469357118e-12
Position 672: 8.140411398170577e-12
Position 685: 5.93122456780341e-12
Position 410: 3.581172368102519e-12
Position 428: 3.5530251020312065e-12
Position 404: 3.5147492849938226e-12
Position 248: 2.8119837121909984e-12
Position 587: 2.5226631258791794e-12
