Gene = FBXL18
index = 541
Annotated 5SS: [  142  8387 13311 22568]
Annotated 3SS: [ 8167 11766 22348 31866]
SMsplice 5SS: [  142  8387 11899 22568 23380]
SMsplice 3SS: [ 8167 11766 22348 23304 31866]
top_k =  1000
Partition function (log Z): -5.230784206844362

Sorted 5' Splice Sites (High to Low Probability):
Position 8387: 0.9885240523310282
Position 22568: 0.9682815913629954
Position 11899: 0.9216740038881985
Position 142: 0.8967781083204143
Position 25691: 0.5745397763521456
Position 23380: 0.5701296134618337
Position 26228: 0.5504542374680541
Position 25483: 0.4898438285320467
Position 19121: 0.4428469551862182
Position 32020: 0.2946358888286007
Position 18864: 0.2913345281738498
Position 1037: 0.25609856804310693
Position 23701: 0.16040730271971293
Position 11631: 0.1491491445072171
Position 8597: 0.13912025360451427
Position 13311: 0.1389303379229006
Position 25218: 0.11789582318484527
Position 29781: 0.10154920969777974
Position 18729: 0.10126835602369694
Position 23720: 0.08247398037772283
Position 12883: 0.0787537717378344
Position 25662: 0.06965101644779766
Position 11893: 0.05431075946231037
Position 19101: 0.047733435352199996
Position 27102: 0.04748840404490118
Position 591: 0.04004256751756241
Position 70: 0.03912024199115931
Position 11615: 0.03680207676467907
Position 23442: 0.03313312274910542
Position 13630: 0.03190276873439713
Position 6110: 0.025581612958650125
Position 16432: 0.0250205874063441
Position 28658: 0.024823338582563675
Position 22494: 0.019652329861673392
Position 26155: 0.018594026060877986
Position 26600: 0.018417266145624077
Position 23752: 0.018079319158892163
Position 28818: 0.015703643812826466
Position 25806: 0.015379668223164994
Position 18917: 0.015367668558096237
Position 9167: 0.013507309255108173
Position 25653: 0.012833311160383873
Position 29820: 0.012277768346374208
Position 2959: 0.011826331007264022
Position 17478: 0.011821298739052813
Position 2894: 0.011621479463178739
Position 18655: 0.01097312748114377
Position 9629: 0.010477254052314805
Position 8568: 0.009880678757088228
Position 29965: 0.009237924680529957
Position 7209: 0.009175664478248179
Position 23704: 0.007012426148321469
Position 105: 0.006904808866902063
Position 25163: 0.006416645236318863
Position 6223: 0.0058565137282948826
Position 11986: 0.005822180929538505
Position 12046: 0.005712282281181217
Position 12532: 0.005654323866831782
Position 30879: 0.005197051760756225
Position 13249: 0.005152352574271361
Position 6286: 0.005014648505339542
Position 13180: 0.004898980023863178
Position 4946: 0.0047565171942358115
Position 14995: 0.004705332469000091
Position 1103: 0.004502804302033086
Position 25487: 0.004462593585074994
Position 16282: 0.004358779624048306
Position 13634: 0.00411373363383777
Position 23596: 0.0035184041453047697
Position 189: 0.003466328369656589
Position 12268: 0.0033802988758178634
Position 4024: 0.0032695607128249123
Position 894: 0.0032346130739119047
Position 12664: 0.003034429370865898
Position 3022: 0.0028455595050683063
Position 27271: 0.0027342521090654394
Position 1090: 0.002512596577853571
Position 13600: 0.002511354461136685
Position 5477: 0.002379116947853332
Position 15027: 0.0023176830727287224
Position 23586: 0.0022263668762394074
Position 1402: 0.0021952107943164
Position 25776: 0.0021788669505339252
Position 8589: 0.002152340313235491
Position 10998: 0.0020182957630839517
Position 3832: 0.0019674081031612095
Position 1126: 0.0018821935627701574
Position 25361: 0.0018553504164126274
Position 11093: 0.0017576016185423056
Position 1825: 0.0017418513559862162
Position 6768: 0.00156126965174437
Position 9199: 0.0015299475928212166
Position 701: 0.0014859376359911743
Position 12184: 0.0014440621707318606
Position 11645: 0.001419021532251993
Position 4824: 0.0014075614240080174
Position 14005: 0.0013601338202286978
Position 8817: 0.001338411816853147
Position 716: 0.0012837288001407625
Position 12426: 0.0012231126086141232
Position 1446: 0.0012074350297310655
Position 11048: 0.0011661695374236374
Position 22577: 0.0010348289254027256
Position 595: 0.000923096981783398
Position 6959: 0.0008951496379693387
Position 26816: 0.0008428945384577807
Position 5000: 0.000789127548966839
Position 199: 0.0007816643766707511
Position 6408: 0.0007469857835541017
Position 1964: 0.0007282493747645469
Position 23968: 0.0007032165685727906
Position 986: 0.0006681155521199255
Position 10540: 0.0006669425124162032
Position 23198: 0.0006545443239082594
Position 12265: 0.0006072138762274297
Position 7313: 0.0005754510694333553
Position 11482: 0.0005639248023583433
Position 1083: 0.0005471533599151476
Position 5089: 0.00048633124141670006
Position 673: 0.00044290975755665457
Position 5439: 0.00039981061497468403
Position 2966: 0.00039471322436499564
