Gene = GNL2
index = 605
Annotated 5SS: [  163  2160  3210  5216  8611 12055 13144 13699 19494 20327 21257 21579
 27071 27647 28249]
Annotated 3SS: [ 2074  3114  5075  8425 11987 12984 13584 19364 20221 21097 21464 26618
 27563 28156 28913]
SMsplice 5SS: [  163  2160  3210  8611 12055 12228 13144 13699 19494 20327 21579 27647
 28249]
SMsplice 3SS: [ 2074  3114  8425 11987 12139 12984 13584 19364 20221 21464 27563 28156
 28913]
top_k =  1000
Partition function (log Z): 14.306879303440283

Sorted 5' Splice Sites (High to Low Probability):
Position 163: 0.9963278036567608
Position 21579: 0.9920813681314598
Position 13144: 0.9483603770608799
Position 2160: 0.9425572890365659
Position 27647: 0.9065108613435161
Position 19494: 0.8964441505869485
Position 8611: 0.8569956683336895
Position 20327: 0.7942481645598637
Position 28249: 0.7749124117244125
Position 12055: 0.7143232203800675
Position 12228: 0.7068404168899142
Position 13699: 0.5986487702646018
Position 3210: 0.5700622450302402
Position 15753: 0.5564291152652745
Position 9961: 0.4131183146966783
Position 8309: 0.3782950690673589
Position 22218: 0.3322974500388311
Position 5216: 0.27892701535258935
Position 1612: 0.20272954938022114
Position 21257: 0.1953196099030942
Position 19828: 0.19344233503725922
Position 2823: 0.1919500545173116
Position 3302: 0.1767301256815584
Position 26698: 0.1655699645452068
Position 8588: 0.13681119822177612
Position 3564: 0.13546902616978573
Position 13739: 0.13127308841477442
Position 7202: 0.12961773381297745
Position 20274: 0.11735572460394653
Position 8355: 0.11020679033851974
Position 6962: 0.10777905039453095
Position 10226: 0.09890272868988766
Position 27302: 0.0907052418312651
Position 22663: 0.08936742071452744
Position 4977: 0.07655903355078696
Position 3947: 0.06781556964363837
Position 27677: 0.06426684887880361
Position 27410: 0.061215798309154475
Position 27483: 0.054811876776830984
Position 23280: 0.05239082941536476
Position 26803: 0.05169614629981573
Position 21304: 0.050229343784158734
Position 23285: 0.04983566694544588
Position 18679: 0.040732969325418644
Position 2577: 0.03348953078814989
Position 2294: 0.03139492138398787
Position 13190: 0.023200388245445736
Position 1527: 0.021960220750046725
Position 19483: 0.021189759353715955
Position 9131: 0.017941666650839343
Position 14509: 0.017649906624125286
Position 27071: 0.015607137890695498
Position 2827: 0.01481016796780733
Position 3017: 0.013976427035469587
Position 13920: 0.011386422660691248
Position 21798: 0.010951899405976833
Position 5237: 0.010865937971531786
Position 21332: 0.00978019448332405
Position 21068: 0.009345418684394717
Position 488: 0.009160602771981061
Position 23584: 0.009041351689204587
Position 21782: 0.008838402048262878
Position 22895: 0.007784937880001048
Position 671: 0.00753716012913097
Position 28374: 0.007345534761053231
Position 4759: 0.006791691533902083
Position 26705: 0.006706235046692911
Position 11255: 0.006341286151869341
Position 19709: 0.006072643614316734
Position 9719: 0.006071960675822961
Position 25215: 0.005941779956352316
Position 19719: 0.005546074316145989
Position 2290: 0.0055354820181520055
Position 1616: 0.004534763641048955
Position 13816: 0.0043892214955493485
Position 15337: 0.0043367600635819655
Position 2639: 0.0043135230605318
Position 14841: 0.004258396721386461
Position 8262: 0.00416242162060601
Position 903: 0.0038987596789995635
Position 12246: 0.00388616522876588
Position 7752: 0.0036915528180771905
Position 27919: 0.0035676072099346113
Position 21271: 0.003256916522890162
Position 13885: 0.0032387792569639967
Position 20815: 0.0030322286087595234
Position 27652: 0.00301735878747418
Position 1643: 0.0027402659765842535
Position 5223: 0.0025947916266581862
Position 6927: 0.002519370699523408
Position 24872: 0.0024815095785872235
Position 12881: 0.00247319220007226
Position 7763: 0.002434648601618664
Position 28581: 0.0023119801616918447
Position 601: 0.0022702394194062383
Position 10311: 0.002146336518679457
Position 20331: 0.0021283481361986777
Position 28594: 0.0020484819776929405
Position 22233: 0.0020132629066494205
Position 1946: 0.00196277549521594
Position 3974: 0.0018835257140065549
Position 25851: 0.0018829078191048986
Position 11733: 0.0018737382528170442
Position 27895: 0.0018687304113256455
Position 739: 0.0018599278445512709
Position 7029: 0.0018583596171563026
Position 1707: 0.0018043969848449673
Position 695: 0.0017876516879099277
Position 1961: 0.0016654099197373404
Position 20524: 0.0016595290267813361
Position 9113: 0.0016363919374494762
Position 1690: 0.001618033217302088
Position 24321: 0.0015940240781899652
Position 6887: 0.001435197310540896
Position 3766: 0.0014267739907809337
Position 648: 0.0013846427656903798
Position 11283: 0.001332079485366445
Position 19713: 0.0013011913160275092
Position 6129: 0.0012976152797722976
Position 13590: 0.0012866336806890287
Position 3359: 0.001249882563208763
Position 20872: 0.0012366343065024791
Position 21590: 0.0011725415606275652
