Gene = SRPRB
index = 1334
Annotated 5SS: [  112 21970 22671 23791 27167 31694 32900]
Annotated 3SS: [21642 22575 23712 27083 31556 32844 35519]
SMsplice 5SS: [  112  9415 13649 17333 22671 23791 27167 29119 32900]
SMsplice 3SS: [ 9321 13541 17094 22575 23712 27083 29015 32844 35519]
top_k =  1000
Partition function (log Z): -0.3627739552110629

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.9082944893354953
Position 32900: 0.892906239626983
Position 22671: 0.8661699901789995
Position 27167: 0.795883495311639
Position 17333: 0.7860381457492847
Position 13649: 0.7662645269476225
Position 9415: 0.7608499279652338
Position 29119: 0.7063328196055566
Position 23791: 0.581438325369479
Position 28332: 0.5243144991288033
Position 31694: 0.4970794092352959
Position 17637: 0.36986075922702183
Position 23883: 0.3599782826682609
Position 5026: 0.33477452555558623
Position 29269: 0.3059020751872003
Position 13622: 0.19626576289893924
Position 5031: 0.19436995709846172
Position 11457: 0.16013402561034537
Position 10686: 0.14568168796633643
Position 9836: 0.14089416059396273
Position 35788: 0.13729398943239374
Position 33912: 0.12962627582215092
Position 26991: 0.11522613089141355
Position 8588: 0.11328309555802336
Position 35312: 0.08886748981952718
Position 29396: 0.08344412403698027
Position 12233: 0.07403649123423799
Position 570: 0.0697939845549631
Position 32951: 0.06354780799279922
Position 8432: 0.06328592157772317
Position 28542: 0.05121718917524928
Position 206: 0.04562645141393798
Position 35307: 0.04460772877941365
Position 16360: 0.04403484043634032
Position 5254: 0.04051329627396669
Position 9179: 0.04029109072576708
Position 25681: 0.03944712146902026
Position 25533: 0.03612714378868015
Position 11477: 0.03456570887377086
Position 3950: 0.03170551532359057
Position 4546: 0.030406992162997238
Position 3628: 0.02569075858677912
Position 29854: 0.025475089631150596
Position 31643: 0.025057188822224442
Position 5499: 0.022752695936686995
Position 7408: 0.02115371215345145
Position 33485: 0.020348263748121573
Position 2843: 0.01964440858402945
Position 8630: 0.01891842030633878
Position 379: 0.017212376389850487
Position 1006: 0.01648387667324307
Position 26645: 0.016087738831510705
Position 25275: 0.015117722712823337
Position 17568: 0.014881058573492045
Position 35422: 0.013581955428453817
Position 2151: 0.01214364256581981
Position 6878: 0.011243055467920041
Position 26195: 0.010334965840561892
Position 32527: 0.009852628484888645
Position 34097: 0.009807809777359558
Position 31600: 0.009569131713901826
Position 33635: 0.009530781558427204
Position 139: 0.009048668300383927
Position 31649: 0.0071744679880536
Position 736: 0.006835828141425679
Position 4677: 0.006478686645232859
Position 2020: 0.005988993827299434
Position 11413: 0.005876976579566461
Position 3014: 0.004817552131033932
Position 34398: 0.004516756458858511
Position 34995: 0.0043990304556727556
Position 2860: 0.004123399585286091
Position 33230: 0.0036254818416564098
Position 29093: 0.0035918170702497684
Position 34126: 0.003400349395504417
Position 33602: 0.002775506169560191
Position 1636: 0.002744422082328342
Position 28449: 0.0026153694161335094
Position 34077: 0.0024695888398032807
Position 9489: 0.0022815389253372895
Position 4685: 0.0022603056975768056
Position 34707: 0.001952749748989613
Position 35820: 0.0019337983918393735
Position 33275: 0.0018831984712371363
Position 144: 0.0016754519102817576
Position 34501: 0.0016366902636855073
