Gene = CLDND1
index = 378
Annotated 5SS: [ 195 1911 4159 5992]
Annotated 3SS: [1600 4047 5853 6163]
SMsplice 5SS: [ 195 5992]
SMsplice 3SS: [5895 6300]
top_k =  1000
Partition function (log Z): -6.8669804314949765

Sorted 5' Splice Sites (High to Low Probability):
Position 5992: 0.931454292742182
Position 195: 0.8708643743347314
Position 4159: 0.5493051205650491
Position 502: 0.18033139028947656
Position 1391: 0.08404516418975401
Position 4507: 0.07995765341305656
Position 1911: 0.06311360808680797
Position 5821: 0.04887433278223613
Position 6928: 0.047891207155251345
Position 2433: 0.035864226427834975
Position 3915: 0.03570484210465445
Position 1714: 0.035267850139892525
Position 1264: 0.03380450646789806
Position 114: 0.03310797986576829
Position 6184: 0.027127684892559078
Position 3911: 0.02368686142005792
Position 6251: 0.015541605049929935
Position 356: 0.01470731355795813
Position 4552: 0.012453771568935937
Position 4772: 0.011710555496329164
Position 4323: 0.010369631007268005
Position 3504: 0.008322656680872157
Position 3530: 0.008134794112049848
Position 7326: 0.006691892830426614
Position 6244: 0.004472034962072017
Position 7069: 0.00434907954731205
Position 6164: 0.004348232187019032
Position 3124: 0.004065241732452512
Position 3512: 0.003730145307930097
Position 3484: 0.003709107772419251
Position 256: 0.0034257666106211945
Position 2087: 0.00333042549729989
Position 3009: 0.0031085636871216065
Position 6687: 0.0029147742044843897
Position 1347: 0.0029084394583164426
Position 1310: 0.002682882492285779
Position 4074: 0.00238405766874945
Position 1395: 0.002361765019415034
Position 199: 0.001953451506015582
Position 3332: 0.0018187015229158337
Position 1513: 0.001800809142380599
Position 3286: 0.0016557094579710656
Position 3521: 0.001626083802373906
Position 6726: 0.0011809483206159787
Position 1888: 0.0010136937772838245
Position 1998: 0.0009780136974521297
Position 846: 0.000938662807182992
Position 5996: 0.0006069637437296817
Position 427: 0.000540702368321997
Position 674: 0.0003934355192123499
Position 139: 0.0003621729135698346
Position 7365: 0.0003545824788585999
Position 5886: 0.0003348704120840968
Position 6351: 0.0003348677278886258
Position 1491: 0.00030951283344588437
Position 1243: 0.00024966649213331967
Position 2253: 0.00022701931811779368
Position 3632: 0.00022048861912019814
Position 441: 0.00021766753111377728
Position 1410: 0.00019723803718255505
Position 2309: 0.00019511315780851649
Position 300: 0.00019091613936187156
Position 286: 0.00015094025484684153
Position 1255: 0.00014241887353797996
Position 1749: 0.00014109117771529168
Position 166: 0.00011274757577895817
