Gene = ZMPSTE24
index = 1603
Annotated 5SS: [  288  2879  9766 10429 12021 13929 23421 27923 32891]
Annotated 3SS: [ 2731  9678 10311 11867 13786 23235 27817 32746 34337]
SMsplice 5SS: [  288  2879  9151  9401  9766 10429 12021 13929 23421 27923]
SMsplice 3SS: [ 2731  9035  9283  9678 10311 11867 13786 23235 27817 34337]
top_k =  1000
Partition function (log Z): 9.123180520936884

Sorted 5' Splice Sites (High to Low Probability):
Position 13929: 0.9998985624721747
Position 9766: 0.9941746499653625
Position 23421: 0.9812307936681121
Position 9401: 0.9485459241495293
Position 27923: 0.9452240745020337
Position 2879: 0.9377445463051269
Position 10429: 0.8911661656788925
Position 288: 0.7745161133111066
Position 12021: 0.7250803617061636
Position 9151: 0.6473199035339307
Position 13664: 0.6076400110988691
Position 22206: 0.4905813427059584
Position 22897: 0.34202540197517256
Position 32891: 0.3339398397899158
Position 18123: 0.27585431552162953
Position 24766: 0.24958524294906947
Position 463: 0.20997607503342353
Position 4770: 0.12204612760235492
Position 7804: 0.0931524804830549
Position 4877: 0.08552319037488643
Position 10233: 0.08516428997080074
Position 8511: 0.08392782131487242
Position 2417: 0.08285612432186552
Position 10031: 0.07359939867645052
Position 3091: 0.06606226440211183
Position 10229: 0.0651468803062446
Position 21511: 0.04534288404969543
Position 21377: 0.04492219340100501
Position 7839: 0.03849025602366713
Position 10084: 0.03778511029360721
Position 217: 0.035238375751242855
Position 21045: 0.03345926498910657
Position 25622: 0.028152750752823294
Position 6983: 0.02595853150972672
Position 12065: 0.02163767750350252
Position 10013: 0.020311898887895447
Position 24381: 0.019645950434435015
Position 22877: 0.01920790425299908
Position 28197: 0.018977453517566467
Position 19467: 0.01887023707119067
Position 31772: 0.018852571051970957
Position 4635: 0.018023876064418586
Position 5831: 0.01799239130413074
Position 4991: 0.01704784230767367
Position 24638: 0.016368590362903942
Position 34300: 0.016001461807546618
Position 13101: 0.015675980758003482
Position 10561: 0.015646836216672563
Position 254: 0.015351026154296572
Position 9992: 0.01494973427383849
Position 119: 0.014752792244607
Position 6538: 0.013832162960592679
Position 24578: 0.013247682419379835
Position 10756: 0.010343466141034988
Position 28550: 0.010280008996493962
Position 28245: 0.00968044201246622
Position 21506: 0.009339637619047946
Position 1647: 0.00931261318232717
Position 25611: 0.009205140066641375
Position 2542: 0.008901571554929075
Position 13690: 0.006884962430290602
Position 2614: 0.006296284564895211
Position 33365: 0.006288564986160494
Position 24772: 0.005980018976563178
Position 13327: 0.005874972084535066
Position 4060: 0.005483168196585224
Position 33418: 0.005274288404612521
Position 2883: 0.0052194032330683034
Position 2848: 0.004506092830812669
Position 2532: 0.004426820889400612
Position 10657: 0.004377787512996574
Position 11671: 0.004336264773147274
