Gene = BRK1
index = 143
Annotated 5SS: [  228 10117]
Annotated 3SS: [10033 10676]
SMsplice 5SS: [  228 10117]
SMsplice 3SS: [ 9966 10676]
top_k =  1000
Partition function (log Z): -6.271643709572757

Sorted 5' Splice Sites (High to Low Probability):
Position 10117: 0.9665008374769802
Position 228: 0.9335601519724042
Position 751: 0.3574181594327066
Position 772: 0.1285153913214167
Position 1041: 0.06684103855629164
Position 10875: 0.05346271382181604
Position 842: 0.042547365291305254
Position 5296: 0.03265820072463964
Position 5898: 0.03203600429759551
Position 9917: 0.029420470348954467
Position 1945: 0.027841876253867765
Position 3379: 0.02602357698994092
Position 5132: 0.021608193452998158
Position 274: 0.01321473384371209
Position 591: 0.00804211821268847
Position 3638: 0.007941045525284886
Position 5616: 0.007683421109945335
Position 358: 0.006867370928490739
Position 5623: 0.0037662695646990337
Position 7700: 0.0034356555181753374
Position 6045: 0.0032009866478767985
Position 223: 0.002273273093241136
Position 131: 0.0020322170727452085
Position 10687: 0.0018615418567909422
Position 69: 0.00046751945519097953
Position 10914: 0.00043249146931011596
Position 64: 0.0003920913580585882
Position 11008: 0.0003598295699190182
Position 169: 0.0003525545791604024
Position 760: 0.00031357517504149054
Position 5893: 0.00028904164938981034
Position 1738: 0.00028572583755325713
Position 3039: 0.00028224208838080494
Position 1149: 0.0002645489410254573
Position 492: 0.00025682381053445096
Position 4401: 0.000244749094027947
Position 30: 0.00024337057484348273
Position 6058: 0.00021774527526629927
Position 10865: 0.0002129316983685637
Position 277: 0.00017302137200770376
Position 475: 0.00017127608617154672
Position 794: 0.00015704483782856307
Position 410: 0.00013153906620731184
Position 4042: 0.00011654480025370846
Position 5178: 0.00011599902163605911
Position 1056: 0.00011547191085257966
Position 4358: 0.00011297914793035357
Position 888: 0.00011267144675668661
Position 10: 0.00010096662177098039
Position 7261: 9.641447964184476e-05
Position 7071: 9.371643307109093e-05
Position 1334: 7.4668276775382e-05
Position 11218: 6.578675871766412e-05
