Gene = ATPIF1
index = 117
Annotated 5SS: [138 320]
Annotated 3SS: [ 227 1703]
SMsplice 5SS: [138 320]
SMsplice 3SS: [ 227 1703]
top_k =  1000
Partition function (log Z): -4.128211526191816

Sorted 5' Splice Sites (High to Low Probability):
Position 138: 0.991392626196646
Position 320: 0.9524937100026626
Position 1115: 0.04929755336369018
Position 626: 0.016583148374640616
Position 1637: 0.004454934852137438
Position 1437: 0.003399306053484786
Position 796: 0.0026483691601607135
Position 824: 0.002082832068948188
Position 271: 0.0019029297024680846
Position 99: 0.0006502506550547962
Position 862: 0.0005812465367979762
Position 1855: 0.0004342138944244407
Position 341: 0.00033758134300917086
Position 1013: 0.000251924806086788
Position 939: 0.00024863727076911135
Position 1548: 0.0002467510874985272
Position 410: 0.0002170740859423003
Position 34: 0.0001856480917696757
Position 1240: 0.00017622669445957825
Position 1846: 0.00016261466582100133
Position 681: 0.00011398575657914371
Position 334: 0.00011338613664357467
Position 1562: 0.00010678997870260391
Position 914: 8.853749849163366e-05
Position 153: 6.435013658007739e-05
Position 557: 3.975099414577254e-05
Position 629: 3.696367094639366e-05
Position 1277: 2.8404705573926384e-05
Position 1661: 2.8355263321656714e-05
Position 92: 2.8068412772086693e-05
Position 843: 2.5089543763332504e-05
Position 1159: 2.0519632103656724e-05
Position 1123: 1.5562465230765205e-05
Position 1857: 8.565158389508623e-06
Position 494: 6.306355657329093e-06
Position 57: 5.689140754928346e-06
Position 1784: 5.341321287292736e-06
Position 458: 5.212060763513845e-06
Position 946: 4.3690290226030956e-06
Position 1067: 4.1397527817870015e-06
Position 151: 2.4394568619205162e-06
Position 658: 4.3659274902202655e-07
Position 610: 3.758431419204436e-07
Position 90: 3.5771003785162256e-07
Position 660: 3.2554265370905253e-07
Position 615: 2.0996490173261465e-07
Position 543: 1.6266342445006421e-07
Position 65: 9.839157297300373e-08
Position 525: 8.409008255168376e-08
Position 510: 7.106712823003776e-08
Position 80: 5.4961473468805803e-08
Position 196: 7.747428942496388e-09
Position 1100: 4.312358416912178e-09
Position 237: 2.950276397949509e-09
Position 477: 1.7746297005903913e-09
Position 208: 1.6091475275152168e-09
Position 227: 3.8059449757987773e-10
Position 798: 1.104048676880898e-10
Position 399: 6.796669799541246e-11
Position 210: 4.493016900065922e-11
Position 216: 4.4225721278802295e-11
Position 486: 6.8505849501673e-16

Sorted 3' Splice Sites (High to Low Probability):
