Gene = BTBD8
index = 147
Annotated 5SS: [  385  8560 22334 27666 49441 59095 60876 66933]
Annotated 3SS: [ 8361 22136 27547 49350 59013 60778 66843 67347]
SMsplice 5SS: [  385  8560  9079 22334 27666 38703 49441 59095 66933]
SMsplice 3SS: [ 8361  8954 22136 27547 38554 49350 59013 66843 67347]
top_k =  1000
Partition function (log Z): -19.44162034876818

Sorted 5' Splice Sites (High to Low Probability):
Position 27666: 0.9992945962995208
Position 49441: 0.9281967808579106
Position 385: 0.851525303305247
Position 8560: 0.7751439088587573
Position 9079: 0.7075872559289995
Position 22334: 0.557919094952336
Position 22339: 0.44206232917616184
Position 7335: 0.4106051768164757
Position 9264: 0.2245041909308445
Position 8581: 0.21077636522482462
Position 27354: 0.16988876642174483
Position 25466: 0.15892460074107473
Position 14143: 0.15729172362928112
Position 12283: 0.1169345329649075
Position 11348: 0.11471971013017082
Position 9270: 0.08929727777988068
Position 135: 0.08695789879057755
Position 49814: 0.0792521026354566
Position 11691: 0.06770148563093281
Position 11075: 0.06524925361022126
Position 21504: 0.05884915493779748
Position 698: 0.05018894800023244
Position 6904: 0.049253976203073646
Position 14531: 0.04841493659072544
Position 4292: 0.0471793756892209
Position 27273: 0.03895225597246442
Position 4091: 0.03662608439870306
Position 22829: 0.0344276355600402
Position 4596: 0.02998532571480954
Position 190: 0.028211444235197343
Position 14452: 0.027108633819173646
Position 3248: 0.026640742944496306
Position 5043: 0.026107806656247866
Position 2608: 0.02421205141684175
Position 1200: 0.022472133285427607
Position 25470: 0.014389843714839309
Position 713: 0.014283556068803419
Position 22773: 0.013799047115194394
Position 229: 0.012872053017367593
Position 18739: 0.011972927402848763
Position 12401: 0.011868366254479183
Position 25871: 0.01132396541102787
Position 13865: 0.011290420857650484
Position 23355: 0.011196442394783665
Position 18642: 0.010854103694668923
Position 7955: 0.00996504404063407
Position 6966: 0.00831653920019217
Position 300: 0.007364654307071647
Position 272: 0.007310956301873151
Position 7189: 0.006800669740678335
