Gene = ZMYM1
index = 1604
Annotated 5SS: [  140 19434 34298 36106 37781 44684 44984 50662 52127 52345]
Annotated 3SS: [19207 34127 36032 37530 44508 44770 50507 51985 52300 53190]
SMsplice 5SS: [  140 34224 39662 44684 50662 52127 52345 53396]
SMsplice 3SS: [34127 39564 44508 50507 51985 52257 53190 54852]
top_k =  1000
Partition function (log Z): -32.29868375169125

Sorted 5' Splice Sites (High to Low Probability):
Position 140: 0.9931060462649078
Position 9194: 0.0789050460408961
Position 15501: 0.04372974779282088
Position 10930: 0.011872901501388198
Position 14280: 0.011653819266558974
Position 105: 0.005478000888856287
Position 2591: 0.003852515587830085
Position 15496: 0.003279824138700655
Position 2694: 0.0029892619721320806
Position 2636: 0.0027201202559324466
Position 1420: 0.00238867191052217
Position 322: 0.0022275818997651714
Position 10960: 0.0020808321020466146
Position 2788: 0.0016814809380949513
Position 807: 0.001386805587939015
Position 4492: 0.0011219272706859073
Position 12140: 0.00102235321227292
Position 654: 0.0008786396272304311
Position 1183: 0.0007592034270304552
Position 10926: 0.0007199413585847403
Position 310: 0.0005549437251079627
Position 972: 0.0004778248487969633
Position 3112: 0.0004520849558882716
Position 3037: 0.0003803744078104159
Position 11690: 0.00028321628114010976
Position 1133: 0.0002410504316406551
Position 5169: 0.00018363459157950482
Position 8780: 0.00013671280953898496
Position 2599: 7.548168404700305e-05
Position 297: 7.479560068064954e-05
Position 6999: 4.178403038159608e-05
Position 1087: 2.3905652481254565e-05
Position 96: 2.1901457651137218e-05
Position 736: 2.1624983818827113e-05
Position 2324: 1.5166217028152721e-05
Position 2431: 3.7206018534033637e-06
Position 610: 3.3446137435944533e-06
Position 637: 2.5234614878183505e-06
Position 194: 1.9974093830066047e-06
Position 81: 1.8307378313232384e-06
Position 502: 1.8293072421575634e-06
Position 1776: 5.658961522521498e-07
Position 994: 3.9669000118224665e-07
Position 238: 1.8295145366181795e-07
Position 230: 5.975942142132426e-08
Position 51: 5.50052844339768e-08
Position 1808: 4.2858915462552334e-08
Position 15: 3.378273584200761e-08
Position 124: 1.5852459597930175e-08
Position 783: 1.3117528900831154e-08
Position 817: 7.638929594815105e-09
Position 258: 6.692089587565575e-09
Position 409: 5.210304215098304e-09
Position 888: 2.7766756976283626e-09
Position 223: 2.760953737899189e-09
Position 580: 1.3959044651103495e-09
Position 357: 1.27276138593409e-09
Position 576: 1.0987092620560395e-09
Position 147: 8.659930866418642e-10
Position 589: 7.444000968592609e-10
Position 555: 6.9101724317375e-10
Position 354: 6.706205517263428e-10
Position 852: 3.9056777547001906e-10
Position 35: 2.749096752274272e-10
Position 470: 1.6707358072568958e-10
Position 566: 1.26236788653599e-10
Position 821: 6.277808911141339e-12
Position 479: 2.4892473309101027e-12
Position 420: 1.0073382206550275e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 25787: 0.20241311385961103
Position 17228: 0.13142897618328106
Position 9071: 0.10285190888582427
Position 18783: 0.08713703743030969
Position 15375: 0.07002619980302129
Position 214: 0.05105931024872625
Position 12007: 0.050436845931826055
Position 10798: 0.040554619928735235
Position 20960: 0.03635074543291045
Position 15099: 0.031393552337774334
Position 17441: 0.02789380862397326
Position 13631: 0.020803000231865085
Position 14054: 0.01813393374261573
Position 861: 0.01609694278018201
Position 12056: 0.014926871820477125
Position 12705: 0.012758446700204156
Position 19516: 0.010276663816173152
Position 19202: 0.009852696208183973
Position 19207: 0.009668706968309234
Position 9747: 0.009048114015845772
Position 407: 0.008945496254467099
Position 15569: 0.008852092455130349
Position 18644: 0.007179120157635084
Position 10688: 0.00669163638375481
Position 11464: 0.006600294302385398
Position 12832: 0.006591070383149895
Position 4929: 0.006464222005334907
Position 18270: 0.006448470548072624
Position 15590: 0.006233210067889039
Position 428: 0.006111846556944395
Position 17865: 0.005791095957954914
Position 2513: 0.005650740289684538
Position 4685: 0.005310986449320648
Position 10839: 0.005077632881797959
Position 2425: 0.004312966163720298
Position 6456: 0.004289679300694848
Position 10264: 0.0040354302683467584
Position 14654: 0.003948898033746704
Position 14104: 0.003533032620363766
Position 12478: 0.0035203974108890665
Position 5375: 0.003469217709603614
Position 9493: 0.0034117284279226697
Position 10767: 0.003408933841725981
Position 16424: 0.003365659804760202
Position 8779: 0.003313905825521457
Position 15095: 0.003206482843738529
Position 12885: 0.0031759955543048113
Position 2575: 0.003123348960759181
Position 13968: 0.002871158417239626
Position 6431: 0.0028104085182604345
Position 5607: 0.0025335471954791773
