Gene = VGLL4
index = 1548
Annotated 5SS: [  488 42092 79128 84593]
Annotated 3SS: [41901 78904 84468 85096]
SMsplice 5SS: [  195 10113 10808 20879 23785 24162 24522 33669 36996 42092 46665 51862
 67797 68009 73854 75320 79128 84593]
SMsplice 3SS: [10006 10684 20713 23700 23912 24268 33628 36883 41901 46550 51768 67666
 67933 73591 75178 78904 84468 85096]
top_k =  1000
Partition function (log Z): -34.92856461426814

Sorted 5' Splice Sites (High to Low Probability):
Position 10808: 0.8781764424466559
Position 10113: 0.8125600970378044
Position 20879: 0.8107160979317259
Position 488: 0.6434360676301187
Position 195: 0.6311980626293779
Position 23785: 0.5979302440270765
Position 24522: 0.5843287712508748
Position 11737: 0.5256578279988612
Position 17274: 0.4765066430264526
Position 17568: 0.32593570749984574
Position 27653: 0.2642033016484332
Position 24162: 0.25924865597019964
Position 29285: 0.2550482571609343
Position 20546: 0.2521405338543111
Position 5632: 0.23179964599214747
Position 217: 0.18880541483906943
Position 33669: 0.1738125228210407
Position 10117: 0.151207598795447
Position 24372: 0.1200187164672458
Position 21189: 0.11225621438985953
Position 10380: 0.10900125118516424
Position 5279: 0.10784125744206446
Position 24169: 0.08911549529046453
Position 20954: 0.07718292299926983
Position 6510: 0.07668210438140684
Position 11134: 0.06742121986459897
Position 23991: 0.06354376659693475
Position 7731: 0.05102491377586309
Position 5179: 0.0435462795866548
Position 4521: 0.042707847168149286
Position 23631: 0.03647805317981041
Position 6214: 0.034647571866217995
Position 21243: 0.03404665434903002
Position 27705: 0.033626259707520166
Position 24122: 0.03283202243628522
Position 24175: 0.032775178875005015
Position 2590: 0.03136464174867991
Position 20486: 0.03131669025539367
Position 4679: 0.024541346045983348
Position 5733: 0.024459903290982264
Position 11529: 0.023267461917067914
Position 30692: 0.022905078837311084
Position 20997: 0.022473805893413874
Position 9334: 0.022055693442509103
Position 5442: 0.021445712471063458
Position 24096: 0.02122118428559403
Position 21743: 0.019791958123219627
Position 20950: 0.019237846890348527
Position 1819: 0.018128593773583192
Position 4783: 0.017976463615173806
Position 11191: 0.017032912726501925
Position 25269: 0.016301967603382025
Position 770: 0.014765290986713161
Position 47: 0.014330389321520054
Position 21725: 0.013609138674584952
Position 131: 0.013255722452470153
Position 21754: 0.011460297231513305
Position 4525: 0.010851470365114035
Position 5763: 0.009484950099544646
Position 24539: 0.009206052540199973
Position 5060: 0.009006746514740054
Position 3895: 0.008130376122195538
Position 29651: 0.0073103922256587215
Position 4955: 0.006646481957016015
Position 1208: 0.006367931788185048
Position 958: 0.0056291987585027955
Position 21573: 0.004678410138438312
Position 29273: 0.004225285541551154
Position 20822: 0.003945860731909558
Position 6306: 0.0030187143329122087
Position 21159: 0.0030016137413185775
Position 5514: 0.002564616622832884
Position 8384: 0.002275490025115887
Position 11213: 0.0018150523053838625
Position 21801: 0.0010494799826335883
Position 210: 0.0008400979902173816
Position 20872: 0.0007250762530933817
Position 860: 0.0007243369105389178
Position 10516: 0.0006120540141848408
Position 17764: 0.0005251888235618246
Position 176: 0.00044624492074897825
Position 24392: 0.0003671017968100244
Position 3309: 0.0003533185055317277
Position 628: 0.00021348901232167382
Position 20: 0.00019567123577652652
Position 623: 0.00010119628958895165
Position 1508: 8.18828102082334e-05
Position 4560: 5.064269107531403e-05
Position 2933: 3.8054508986930835e-05
Position 3557: 3.0004154612797143e-05
Position 4173: 2.9600053624557653e-05
Position 2482: 2.7571416424841127e-05
Position 4312: 2.7371680116576422e-05
Position 4747: 2.7214198629456897e-05
Position 640: 2.7076523452030215e-05
Position 828: 2.572985281306195e-05
Position 2586: 2.5508657113852295e-05
Position 1975: 1.708861167106997e-05
Position 4221: 1.5846452936003784e-05
Position 4270: 1.5199871749014504e-05
Position 2581: 1.2759788171123672e-05
Position 215: 9.093735723146294e-06
Position 716: 6.03902937412589e-06
Position 1385: 5.689916516181756e-06
Position 234: 5.242966611310756e-06
Position 187: 3.8024501537934326e-06
Position 309: 3.5675445930948046e-06
Position 441: 3.042777628694083e-06
Position 70: 2.2324364343348955e-06
Position 592: 1.3093760564369437e-06
Position 700: 1.2915274189028276e-06
Position 644: 1.2160496017703868e-06
Position 494: 1.1766268015235238e-06
Position 304: 1.062036386454808e-06
Position 91: 9.490951181496805e-07
Position 477: 9.153554364082615e-07
Position 553: 8.598949028520666e-07
Position 11862: 8.585876541425468e-07
Position 544: 7.321265710338827e-07
Position 834: 4.754933119059667e-07
Position 1326: 3.87502732184242e-07
Position 789: 3.6880489062964805e-07
Position 695: 3.460200494564807e-07
Position 1246: 2.9565159998688926e-07
Position 670: 2.691614179077474e-07
Position 546: 2.564909146296007e-07
Position 280: 1.4783403025570535e-07
Position 502: 1.2791387290219e-07
Position 1017: 1.1075463007432818e-07
Position 384: 6.695916940649208e-08
Position 590: 4.407638362463996e-08
Position 151: 3.110414715311184e-08
Position 736: 2.824872179729362e-08
Position 271: 2.3594025385703183e-08
Position 774: 1.6866133329928296e-08
Position 524: 9.946392974315866e-09
Position 429: 1.8894858387314e-09
Position 1354: 7.337788561421524e-10
