Gene = PRDX6
index = 1069
Annotated 5SS: [ 227 4217 8242 9136]
Annotated 3SS: [ 4059  8094  8988 10468]
SMsplice 5SS: [ 227 3400 4217 8242 9136]
SMsplice 3SS: [ 3176  4059  8094  8988 10468]
top_k =  1000
Partition function (log Z): 5.271572611407565

Sorted 5' Splice Sites (High to Low Probability):
Position 8242: 0.9855905464582189
Position 4217: 0.9571449989578572
Position 9136: 0.9114505904889858
Position 227: 0.8584559044973759
Position 3400: 0.40642699673658506
Position 3462: 0.4000763240254985
Position 4604: 0.26439202225946956
Position 2492: 0.2250808172750092
Position 504: 0.22056021309510856
Position 2258: 0.1909652470289008
Position 3888: 0.11292002980825874
Position 2989: 0.1114482854739347
Position 3414: 0.09259279769188479
Position 2415: 0.08649215524322924
Position 8018: 0.0836418381666798
Position 7760: 0.07848410298279553
Position 5731: 0.07797905238922567
Position 3215: 0.07318227546087602
Position 9838: 0.06334983684985176
Position 10620: 0.056797301376688945
Position 10700: 0.05105988961480931
Position 2362: 0.046584036977488995
Position 10144: 0.03531127095966801
Position 9206: 0.03305971723847118
Position 142: 0.029993682249853604
Position 1426: 0.023708527721707017
Position 2532: 0.020687206654732143
Position 280: 0.019768268441508252
Position 9885: 0.019392942404492384
Position 4305: 0.018230145915774994
Position 8857: 0.017278115012921598
Position 2035: 0.015660075782844434
Position 9076: 0.014740537136675908
Position 10149: 0.014442422319867034
Position 5275: 0.013024538290387145
Position 5569: 0.010465051665518218
Position 4299: 0.010301065063500967
Position 9296: 0.00973364518488671
Position 2170: 0.00940787539525713
Position 9676: 0.009075073652949833
Position 606: 0.008771214833897461
Position 5421: 0.007220969056913319
Position 10080: 0.006976052926060202
Position 956: 0.005285385445971153
Position 6622: 0.004491308003301226
Position 9719: 0.00437309396390271
Position 10615: 0.004070771174793817
Position 7894: 0.003938464374791256
Position 3930: 0.0038497929492158217
Position 4684: 0.0034858124446944774
Position 10350: 0.0033674512540836058
Position 7648: 0.0028816663955936804
Position 8246: 0.002648317574422162
Position 3004: 0.002370070198590516
Position 10634: 0.002241648315667842
Position 4385: 0.001655830594992268
Position 567: 0.0013088741525685125
Position 8543: 0.0013046443896344397
Position 9404: 0.0012620839120742464
Position 864: 0.001218165512849441
Position 960: 0.0012063835237164865
Position 511: 0.001175049305742735
Position 9855: 0.001168693265882624
Position 9500: 0.0011055529081119605
Position 6795: 0.0010900566460318086
Position 3247: 0.0010796308905680015
Position 9375: 0.0010753983445785482
Position 4160: 0.0010103711402855505
Position 5934: 0.000975671856652745
Position 2241: 0.000920898977228432
Position 10022: 0.0008333411982853925
Position 8288: 0.0008175546777833526
Position 1985: 0.0007895780331285218
Position 9234: 0.0007568951019025238
Position 1233: 0.0006942410219279293
Position 810: 0.0006836369250783645
Position 6227: 0.000659327677296289
Position 10054: 0.0006588416632830204
Position 3052: 0.0006319706912706429
Position 4258: 0.0005468932439997926
Position 10708: 0.0005264549586734363
Position 5340: 0.0005231645080241711
Position 5576: 0.0005131353204450541
