Gene = RNASEL
index = 1145
Annotated 5SS: [   90  3930  5176  7204  8032 13001]
Annotated 3SS: [ 2285  5089  6997  7898 12866 13677]
SMsplice 5SS: [   90  1043  5176  8032 13001]
SMsplice 3SS: [  950  5089  7907 12866 13677]
top_k =  1000
Partition function (log Z): 3.3858707179474443

Sorted 5' Splice Sites (High to Low Probability):
Position 13001: 0.9880531473128494
Position 5176: 0.9870087331386089
Position 90: 0.9685299732333077
Position 8032: 0.8096554369563916
Position 1043: 0.7587179859985425
Position 3930: 0.644977634676573
Position 2856: 0.5387226239783154
Position 7204: 0.4975935148965861
Position 6141: 0.48654313070376376
Position 1659: 0.41567619860856586
Position 8418: 0.3517229106207563
Position 10016: 0.17474063705810364
Position 2589: 0.165770256818212
Position 4242: 0.12312350999176434
Position 4874: 0.12006442746918697
Position 683: 0.10217765632481479
Position 7251: 0.08640882186521684
Position 5970: 0.06431620083185356
Position 9299: 0.05071565642323226
Position 543: 0.048805092350778075
Position 13830: 0.039935045237415014
Position 13304: 0.03036734433232219
Position 13839: 0.028559249101466844
Position 7148: 0.022018731935579905
Position 6007: 0.02148205412318865
Position 5974: 0.02085451261047447
Position 5742: 0.018273088066542577
Position 1134: 0.01755560542807066
Position 2502: 0.015441409139502798
Position 5956: 0.01493206103715429
Position 12173: 0.01449821787968897
Position 6372: 0.012192425791248199
Position 6840: 0.009055032769567064
Position 6046: 0.008061646560007804
Position 618: 0.007570855154005079
Position 2435: 0.0069585100762669695
Position 12141: 0.006063866632881545
Position 12347: 0.005908366051810818
Position 781: 0.004925142659034534
Position 13226: 0.003924249699740331
Position 15414: 0.0038642531809017036
Position 4130: 0.00385225316310267
Position 2996: 0.003559506639464837
Position 8058: 0.003348707410941972
Position 802: 0.0032948198693969755
Position 14621: 0.003105869241821445
Position 5477: 0.002853130994532309
Position 3633: 0.0023729639530948145
Position 5657: 0.0021070803582943346
Position 3404: 0.00201705647271549
Position 535: 0.0019605814108919484
Position 328: 0.0017234604048759665
Position 2861: 0.001651661448730389
Position 4611: 0.0016427867003947418
Position 6210: 0.0014396319376786394
Position 9012: 0.0011189118258066093
Position 6813: 0.0011163225931476678
Position 8966: 0.0011155986495542379
Position 1138: 0.0011092644365543504
Position 13843: 0.0010897358119038947
Position 2600: 0.0010674601135727561
Position 5381: 0.0010123327079439302
Position 1331: 0.0009845053400423737
Position 7961: 0.0009195535343608669
Position 13953: 0.0009032070633620941
Position 8146: 0.0008103434762536678
Position 7628: 0.0007390224109582045
Position 6234: 0.0007238135480485063
Position 484: 0.0007082464651819347
Position 6239: 0.0006392755479166041
Position 784: 0.0005911156627152712
Position 1049: 0.0005673028460334207
Position 2381: 0.0005300327171531314
Position 5762: 0.0005263596455258315
Position 13736: 0.0005234415225294972
Position 1996: 0.0005121082461495404
Position 2851: 0.0005106587102796559
Position 1515: 0.0005081845205316292
Position 4758: 0.00041754145173423043
Position 4649: 0.0004130888988761454
Position 13818: 0.000334464490740788
Position 2428: 0.00033327806954127097
Position 2570: 0.0002817549838085686
Position 689: 0.0002526609344026317
Position 81: 0.00025160366885735214
Position 13504: 0.00021045936767826164
Position 11850: 0.00020615136300919314
Position 992: 0.0001941818858372546
Position 372: 0.00018774903865047504
Position 3149: 0.00018551494059421695
Position 982: 0.00017770975188545154
Position 7079: 0.00016452000320218312
Position 7068: 0.00016256062745677985
Position 721: 0.0001587878528828142
Position 7567: 0.00015853883181997456
Position 15049: 0.00014984069591471487
