Gene = CTBS
index = 417
Annotated 5SS: [  226  3883  4534  8624 10730 11208]
Annotated 3SS: [ 3743  4324  8451 10631 11045 19264]
SMsplice 5SS: [  226  3883  4534  8624 11220]
SMsplice 3SS: [ 3743  4324  8451 11045 19264]
top_k =  1000
Partition function (log Z): -4.261576685870876

Sorted 5' Splice Sites (High to Low Probability):
Position 8624: 0.9881444372614353
Position 3883: 0.9719012906967557
Position 4534: 0.8378101079970318
Position 226: 0.7518279555801598
Position 11220: 0.6532308963240759
Position 10730: 0.5556738214277129
Position 11208: 0.31397178472854476
Position 20118: 0.22765998319470415
Position 433: 0.1593478638233497
Position 3692: 0.13589400806367277
Position 3680: 0.11965419505552502
Position 2689: 0.11873222599291232
Position 4872: 0.1161170035976918
Position 14139: 0.10227246418527294
Position 549: 0.098134983971904
Position 10693: 0.08916769062143762
Position 6319: 0.08672983009036689
Position 8367: 0.06414047352109765
Position 2718: 0.04694826527170272
Position 13811: 0.039922725372013
Position 10257: 0.026425442178160504
Position 6389: 0.024256403737312752
Position 8335: 0.0226034335849924
Position 21645: 0.022325528417496847
Position 8269: 0.02187406744684096
Position 3663: 0.020192331961374738
Position 14146: 0.018217891261956057
Position 3364: 0.018088705594082037
Position 5030: 0.018061808986728302
Position 8236: 0.016504690935265284
Position 2986: 0.01589877903852754
Position 5952: 0.015470963239419594
Position 2965: 0.014820374534181823
Position 5147: 0.013972397311760842
Position 7107: 0.013843984271691482
Position 1280: 0.013587557616184864
Position 5859: 0.013562861159320197
Position 865: 0.01237424514440709
Position 252: 0.010945572245323106
Position 11988: 0.007819579814599228
Position 16528: 0.006584315840490895
Position 8925: 0.006111117282389083
Position 8029: 0.005812855659058309
Position 2745: 0.005484397547455501
Position 4222: 0.00520183755229035
Position 4251: 0.005034112669407474
Position 8843: 0.0046586192488341175
Position 10948: 0.004353674414143851
Position 14: 0.004320659857714241
Position 284: 0.003881541946308082
Position 8574: 0.003862471865697853
Position 2902: 0.003761981591732571
Position 14220: 0.00371546381226589
Position 12346: 0.003442690727727161
Position 2541: 0.003397223875087189
Position 307: 0.0033187626714675277
Position 8163: 0.003218095133633483
Position 5672: 0.003090004298371095
Position 278: 0.00258792411813145
Position 14702: 0.002531038826924681
Position 10938: 0.0024965198670761834
Position 11409: 0.0022214412664260876
Position 3658: 0.002206159023187951
Position 2600: 0.002199440071708898
Position 11115: 0.0019468676512965374
