Gene = GTF2B
index = 627
Annotated 5SS: [  136  4358 27638 31479 31737 34413]
Annotated 3SS: [ 4250 27503 31331 31606 34130 38271]
SMsplice 5SS: [  136  4358 27638 31479 31737 34413]
SMsplice 3SS: [ 4250 27503 31331 31606 34130 38271]
top_k =  1000
Partition function (log Z): -7.2573482248991805

Sorted 5' Splice Sites (High to Low Probability):
Position 4358: 0.9999999910752161
Position 27638: 0.9999997897384966
Position 31479: 0.9999371761242185
Position 31737: 0.8151206047618442
Position 34413: 0.6162197741548076
Position 136: 0.5369690323040613
Position 35163: 0.25555743271100934
Position 12: 0.2398369100303248
Position 30611: 0.19452432713534473
Position 35229: 0.15843613324784564
Position 38512: 0.13331260378606546
Position 34418: 0.10494664615005304
Position 627: 0.05453639287747192
Position 32938: 0.053912810825009344
Position 74: 0.04965439855171412
Position 32459: 0.040723473546113324
Position 34246: 0.03540189924561785
Position 36790: 0.031936100328724404
Position 1371: 0.02542961880731795
Position 237: 0.02022990666575642
Position 140: 0.018664322732867455
Position 384: 0.013652705751441533
Position 34277: 0.01226875318795813
Position 535: 0.009416526058859584
Position 34587: 0.006922073810658598
Position 940: 0.006603868733796297
Position 374: 0.006590566918030143
Position 37680: 0.00614725348296059
Position 571: 0.005280785126167124
Position 37292: 0.004819423148873705
Position 34494: 0.0045438745602456535
Position 1201: 0.0038837396687544513
Position 32981: 0.003502876890782284
Position 646: 0.0032439055926185606
Position 34619: 0.0032394977989705213
Position 36190: 0.0029950675670163697
Position 32355: 0.002895990808837176
Position 415: 0.002589289007917711
Position 37677: 0.0022555464257675824
Position 36892: 0.0017442993828819902
Position 1388: 0.001386995993494306
Position 935: 0.0010343061121304315
Position 303: 0.0009967984090170723
Position 37323: 0.0005291905298609661
Position 32268: 0.0004246108012448582
Position 36017: 0.0004009047670635543
Position 33375: 0.0003678928523249534
Position 32718: 0.0003289012576589844
Position 33200: 0.0002925651936508683
Position 33387: 0.0002878793665959705
Position 32001: 0.0002614028258178462
Position 35384: 4.8491452465706e-05
Position 11288: 2.901179897046044e-08
Position 3927: 9.02394440093398e-09
Position 1996: 8.713230745150521e-09
Position 10923: 3.0775555848016334e-09
Position 7214: 3.0172493296306364e-09
Position 2664: 2.996742043129605e-09
Position 1704: 2.6731168787856386e-09
Position 4586: 2.276851115114192e-09
Position 3900: 2.2159527195455884e-09
Position 12879: 1.7529541991603535e-09
Position 3234: 1.5134731205331456e-09
Position 4322: 1.278516088657894e-09
Position 11088: 9.270235719340833e-10
Position 4354: 8.041856782996582e-10
Position 5584: 7.961536262649523e-10
Position 2305: 6.074413784167245e-10
Position 1613: 5.854743498496376e-10
Position 10416: 4.698885684532553e-10
Position 3503: 4.6162064814897075e-10
Position 10988: 4.2508110660794823e-10
Position 9216: 3.997845666030505e-10
Position 7392: 3.486629330750109e-10
Position 3918: 3.4656371717009784e-10
Position 4549: 3.3216259796700276e-10
Position 3508: 2.68471752014406e-10
Position 7799: 2.6090605069798944e-10
Position 799: 2.597376285743254e-10
Position 9056: 1.977694485997098e-10
Position 1853: 1.921088895578423e-10
Position 1384: 1.8986318590347562e-10
Position 5634: 1.895171006396437e-10
Position 4140: 1.835345877842594e-10
Position 3668: 1.0314726300687495e-10
Position 3561: 9.59997964825591e-11
Position 8: 8.814175673723881e-11
Position 217: 6.531230323065711e-11
Position 582: 6.425393314979715e-11
Position 309: 6.324047960984676e-11
Position 4469: 5.6940268090164256e-11
Position 358: 3.677801715742467e-11
Position 4543: 3.5278418375895335e-11
Position 699: 3.507025631942906e-11
Position 394: 2.3124915611453967e-11
Position 748: 1.9901402042169605e-11
Position 1156: 1.742110650539804e-11
Position 378: 1.252801157694217e-11
Position 810: 8.744919144512881e-12
Position 320: 7.080921055882687e-12
Position 78: 4.265637241474558e-12
