Gene = MIIP
index = 843
Annotated 5SS: [   87  2375  2977  3452  9676  9816 10429 10659 11938]
Annotated 3SS: [ 2178  2628  3366  9566  9756 10298 10561 11799 12255]
SMsplice 5SS: [   87  2375  2977  3452 10429 10659 11938]
SMsplice 3SS: [ 2178  2628  3366 10298 10561 11799 12255]
top_k =  1000
Partition function (log Z): 9.38062746219898

Sorted 5' Splice Sites (High to Low Probability):
Position 87: 0.99775706555403
Position 10429: 0.9915361591745145
Position 3452: 0.9799920148234212
Position 10659: 0.9650704770439158
Position 11938: 0.9392113050474817
Position 2977: 0.6776597036390994
Position 9816: 0.5092994846172061
Position 2375: 0.4165711281544581
Position 9676: 0.35707549952788503
Position 11492: 0.23352922830697936
Position 2350: 0.21951501199430412
Position 9182: 0.10115010053755587
Position 9657: 0.09311285537234827
Position 9128: 0.08456807599432213
Position 11497: 0.06624552539717463
Position 12294: 0.05064037467189677
Position 8726: 0.050226833567930264
Position 7335: 0.047229555355983034
Position 9696: 0.036322526729461034
Position 11069: 0.0334814714083299
Position 8778: 0.028363643928883877
Position 7287: 0.02311093109060054
Position 7374: 0.022633098901558606
Position 6359: 0.019603669487332803
Position 9902: 0.018792123331581173
Position 10827: 0.01861298757571707
Position 3270: 0.01529816261785976
Position 11009: 0.013679264934535109
Position 8313: 0.013253463001012326
Position 11528: 0.012473332778336557
Position 2323: 0.012149460281251797
Position 11447: 0.011792641579577674
Position 999: 0.011657243454448319
Position 594: 0.01016922602787737
Position 4909: 0.010065392455540402
Position 2724: 0.009737561881880396
Position 11213: 0.008767418636417439
Position 11435: 0.008744775216723129
Position 959: 0.008623006299581343
Position 2327: 0.007536341204619829
Position 10760: 0.007220343824984698
Position 11344: 0.007058019568602682
Position 11294: 0.006905762651288418
Position 11251: 0.006342932175102943
Position 509: 0.006261396762911338
Position 9255: 0.006046352104407103
Position 4748: 0.004308019162081266
Position 12307: 0.004005136213676301
Position 3144: 0.003999463001704212
Position 1015: 0.0037770072650528384
Position 9460: 0.003757605290917599
Position 10684: 0.0037336466056091147
Position 12028: 0.003596398787723973
Position 2733: 0.0034506027433091812
Position 531: 0.0031346070143624225
Position 2578: 0.0030897760617408497
Position 8388: 0.003024001194104611
Position 2179: 0.0029142089948268495
Position 11485: 0.0028209091690178543
Position 9068: 0.0027742368099732146
Position 11665: 0.0027401502235693573
Position 11690: 0.002738654168236274
Position 11657: 0.0027165914750810075
Position 1746: 0.0025890960298945577
Position 3099: 0.0025407106277529484
Position 2582: 0.002514333096403007
Position 518: 0.0024511469845283286
Position 11669: 0.002295398696887677
Position 11768: 0.0021763029193138848
Position 9982: 0.0015784395655702155
Position 2342: 0.0014084376088643197
Position 12466: 0.001249470097897275
