Gene = USF3
index = 1540
Annotated 5SS: [  277 19365 21815 23299 26526 32334]
Annotated 3SS: [19248 21749 23269 26442 32236 35220]
SMsplice 5SS: [  277 12690 19365 21815 26526 32334 35364 41391]
SMsplice 3SS: [12621 19248 21749 26442 32236 35220 41222 41484]
top_k =  1000
Partition function (log Z): -8.488536308141406

Sorted 5' Splice Sites (High to Low Probability):
Position 12690: 0.9993476756940902
Position 277: 0.996962371478868
Position 21815: 0.9950797621238487
Position 26526: 0.9870791280791017
Position 32334: 0.9225845916593549
Position 41391: 0.8047752674396724
Position 19365: 0.7537631842557597
Position 6254: 0.7049851184803707
Position 2946: 0.5752795889826142
Position 35364: 0.5255837812491029
Position 1189: 0.3930244399803605
Position 11096: 0.3536689917576335
Position 2399: 0.334672343235686
Position 13647: 0.3052422106214984
Position 24102: 0.279014037083121
Position 41726: 0.2333559136208513
Position 5269: 0.21384661510446515
Position 35391: 0.16578726823081294
Position 19971: 0.13664514837576563
Position 33065: 0.07473671859658876
Position 857: 0.07399317978079031
Position 3116: 0.05914871390111402
Position 45751: 0.04589787995200428
Position 26308: 0.04164004848265828
Position 44617: 0.04147342621619453
Position 2298: 0.03906504023519044
Position 2172: 0.038322489966701845
Position 2377: 0.035278747764092296
Position 33070: 0.031817744243348885
Position 18450: 0.02790502598731908
Position 3546: 0.02702415255037194
Position 37290: 0.026886527999770992
Position 2637: 0.025455303510901896
Position 20845: 0.0254358522025398
Position 13027: 0.02098188256649986
Position 5315: 0.017791501769471845
Position 2209: 0.017368823680684372
Position 5583: 0.016715315552689597
Position 2249: 0.014381202253010985
Position 33295: 0.013481475484896512
Position 20097: 0.012870187808881547
Position 39087: 0.012511454731167805
Position 2281: 0.011766009626542877
Position 23299: 0.009526136520165127
Position 13196: 0.008989733017373918
Position 5719: 0.007661103195184211
Position 33277: 0.007231617645689267
Position 2971: 0.007191036179954393
Position 4354: 0.006871461457816422
Position 32947: 0.006596512239532571
Position 28499: 0.006230884781931026
Position 2082: 0.005193496981057248
Position 3735: 0.005175075283313024
Position 28514: 0.004596244277869318
Position 23528: 0.0038129674786372783
Position 23606: 0.003695141548138153
Position 5389: 0.0031436180632060627
Position 5820: 0.002880464781447481
Position 29386: 0.002317572695417711
Position 35478: 0.0019454831897952715
Position 1222: 0.0019201492608706473
Position 1083: 0.00182069697524209
Position 23651: 0.0016037913759701739
Position 181: 0.0013238659593819584
Position 29404: 0.00114275046441142
Position 1727: 0.0011267987983058414
Position 36019: 0.0007147163764174468
Position 35950: 0.0007008217163565209
Position 2236: 0.0006517667239158204
Position 1575: 0.0006183307979939959
Position 23921: 0.0006025482439519188
Position 21978: 0.0005805284128281272
Position 2412: 0.0004925293262112154
Position 1162: 0.0004220635617690075
Position 825: 0.0002856529432366264
Position 1967: 0.0002355755229506127
Position 1074: 0.00022554829389392856
Position 978: 0.0002234829570967916
Position 1126: 0.00020229420691748
Position 1460: 0.00018949004502249843
Position 913: 0.00014921842763444598
Position 23025: 0.00013924049188497758
