Gene = C8G
index = 244
Annotated 5SS: [ 198  510  739  932 1306 1429]
Annotated 3SS: [ 372  667  823 1203 1389 1506]
SMsplice 5SS: [ 198  510  739  932 1306]
SMsplice 3SS: [ 426  667  823 1203 1389]
top_k =  1000
Partition function (log Z): 6.8823398656573955

Sorted 5' Splice Sites (High to Low Probability):
Position 739: 0.9755138824606713
Position 932: 0.9616435589418807
Position 510: 0.9533610370486519
Position 1306: 0.9380011679011188
Position 198: 0.8939762678051446
Position 1429: 0.40989557705093377
Position 228: 0.0630335502836258
Position 1301: 0.05223927504223912
Position 322: 0.02274570562482691
Position 1517: 0.022452172846788555
Position 1008: 0.02012531861166214
Position 687: 0.00706369216090897
Position 214: 0.0054273583187746674
Position 260: 0.004364432744440876
Position 291: 0.002363396816746177
Position 490: 0.002291067030337834
Position 1462: 0.0021595024658324423
Position 204: 0.0012674447406706962
Position 1549: 0.0011536454096052976
Position 915: 0.0008242923199627693
Position 1323: 0.0005197626334786864
Position 1509: 0.00047161774524907986
Position 246: 0.0003857822655724457
Position 234: 0.0003125975062729736
Position 1218: 0.00015717140479173459
Position 936: 0.00014400052871072725
Position 762: 0.0001304033935341395
Position 1237: 9.939118281741135e-05
Position 891: 9.673351613532712e-05
Position 494: 8.527958420378394e-05
Position 878: 8.269914600966533e-05
Position 361: 4.8144589786075594e-05
Position 13: 3.6290781168670893e-05
Position 919: 3.5395251095079905e-05
Position 952: 3.4778212035370196e-05
Position 463: 3.362193575102465e-05
Position 1241: 3.108042769901268e-05
Position 1582: 3.0711913040891595e-05
Position 296: 2.8357280239267193e-05
Position 1093: 2.535756902613814e-05
Position 714: 2.470870987508419e-05
Position 10: 1.8347608186918215e-05
Position 766: 1.5816581025488727e-05
Position 1489: 1.0412362644004244e-05
Position 1577: 1.0177666353268436e-05
Position 624: 1.0153171924346778e-05
Position 1254: 9.213146213122013e-06
Position 1230: 7.958027695570613e-06
Position 514: 6.024932080887186e-06
Position 266: 5.838505715359301e-06
Position 1310: 4.1068552352420294e-06
Position 1602: 3.205881893768856e-06
Position 850: 3.1721106595780503e-06
Position 1074: 3.039016129010497e-06
Position 602: 2.7723825258005935e-06
Position 306: 2.3959017285265637e-06
Position 1433: 2.190908723926642e-06
Position 308: 1.505694750107251e-06
Position 400: 1.0355932030935714e-06
Position 237: 9.936826409202524e-07
Position 416: 9.137620196117354e-07
Position 35: 8.617443020435058e-07
Position 1494: 8.00926251729108e-07
Position 645: 7.396277416627396e-07
Position 630: 6.466336571723249e-07
Position 1459: 4.147260473257797e-07
Position 886: 3.301829426875403e-07
Position 340: 1.9089874080150488e-07
Position 350: 1.586096862793443e-07
Position 269: 1.5523597998470643e-07
Position 1312: 1.4715495211406353e-07
Position 299: 1.3903026419471212e-07
Position 1095: 1.2703432475988457e-07
Position 853: 1.108009762560729e-07
Position 394: 5.4629956277937615e-08
Position 1169: 2.851253403201163e-08
Position 642: 2.4161424026767578e-08
Position 372: 8.401184047422361e-09
Position 856: 3.1066689742490677e-09
Position 1077: 8.060977958482018e-12
Position 844: 3.990857674182366e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 1389: 0.9749996555595916
Position 667: 0.9689811043846231
Position 823: 0.9562959417832424
Position 1203: 0.6672279669589025
Position 426: 0.5728520860825181
Position 1506: 0.36758979040113327
Position 372: 0.3664788448802799
Position 1150: 0.29522198990522613
Position 1175: 0.02575938550915925
Position 1637: 0.025421647784901795
Position 1666: 0.025369692094706683
Position 829: 0.020450007742381704
Position 1509: 0.017790132314302674
Position 1611: 0.010114874927319035
Position 340: 0.005504889023824786
Position 638: 0.005477857744008731
Position 474: 0.004827645430671071
Position 379: 0.004053247681043051
Position 615: 0.0039270317686063635
Position 1668: 0.0027181783475026602
Position 1407: 0.0023618836009306776
Position 1152: 0.0019491398937559945
Position 429: 0.0017508903438218924
Position 1104: 0.0016133078202750849
Position 1183: 0.0015975775333651563
Position 1533: 0.0012404133211091817
Position 686: 0.0011846984078673157
Position 556: 0.0009212796866594255
Position 1642: 0.0009161857228635414
Position 432: 0.0008967693167826394
Position 838: 0.00089499249808387
Position 1617: 0.000546389484662552
Position 864: 0.000546067205366782
Position 1440: 0.0005218303461702651
Position 1433: 0.0004990991689077779
Position 1577: 0.0004355263159487175
Position 1137: 0.0003938958160934649
Position 1539: 0.00039267366346227884
Position 1250: 0.0003448885941767307
Position 1222: 0.0002537052496043859
Position 1126: 0.00023520654398815794
Position 1364: 0.00021267667080754134
Position 1400: 0.00018329245036380383
Position 1412: 0.0001741732313833433
Position 311: 0.00015165209754035056
Position 1062: 0.00012786640613372024
Position 876: 0.00010656495161268449
Position 738: 9.996612630410872e-05
Position 1513: 9.89336316285378e-05
