Gene = SRD5A1
index = 1329
Annotated 5SS: [  527 18666 22837 29624]
Annotated 3SS: [18498 22734 29472 34858]
SMsplice 5SS: [  527 18666 22837 29624]
SMsplice 3SS: [18498 22734 29472 34858]
top_k =  1000
Partition function (log Z): -13.138292670171248

Sorted 5' Splice Sites (High to Low Probability):
Position 18666: 0.9999813266124389
Position 29624: 0.9974221056122256
Position 527: 0.9477481516189601
Position 22837: 0.918025557586919
Position 35511: 0.8802062906724277
Position 3011: 0.6409766063014587
Position 10695: 0.6127091173586691
Position 32297: 0.5336867427055828
Position 37312: 0.3430378857623181
Position 37323: 0.2865284105485958
Position 33276: 0.2700259845095106
Position 24080: 0.17011096334443787
Position 25259: 0.15150256332544096
Position 36793: 0.14579272046562514
Position 15807: 0.13561244260340094
Position 11967: 0.12221415460544634
Position 344: 0.12000384953769762
Position 2708: 0.10209075110118974
Position 23909: 0.09961418166947988
Position 35136: 0.09079546800953689
Position 34926: 0.08954167729751872
Position 15800: 0.0866705267121879
Position 11474: 0.07219487198864123
Position 146: 0.06793242611132667
Position 131: 0.06072990620782928
Position 11521: 0.056535283433567673
Position 5140: 0.039155615546707864
Position 6181: 0.03876439748880884
Position 3121: 0.02678340887717205
Position 6662: 0.02418244977345438
Position 9127: 0.01719332074205748
Position 4459: 0.01596263875720956
Position 926: 0.013490732064349224
Position 10562: 0.012089851186930935
Position 9291: 0.008506487924149018
Position 9396: 0.008212068637239176
Position 10543: 0.007581543455887996
Position 8636: 0.007372635707047007
Position 3063: 0.006045670783451104
Position 33774: 0.0048294415798161945
Position 824: 0.004531567539733219
Position 32252: 0.004046481516172832
Position 9176: 0.003911053784678646
Position 8674: 0.003778030948475555
Position 8014: 0.0034999470696280227
Position 1932: 0.0031321981945297865
Position 1814: 0.0030336388905179887
Position 293: 0.002038755373773529
Position 118: 0.0010211705378994208
Position 14: 0.0008673085327334092
Position 961: 0.0007350803652330546
Position 601: 0.0007228389549547014
Position 679: 0.0007045278223392797
Position 443: 0.0005779880482507691
Position 5054: 0.0004302465951845315
Position 29602: 0.0003798427627751993
Position 4626: 0.00030976737537216696
Position 1017: 0.0002858561054341385
Position 2703: 0.0002430561846889355
Position 1474: 0.0002427506600865091
Position 768: 0.0002183586665431182
Position 920: 0.00021502660102111436
Position 328: 0.0002089711453844074
Position 405: 0.0001958373049851073
Position 381: 0.00018222385969142747
Position 1395: 0.00016649047874902888
Position 1515: 0.00016392539483228147
Position 300: 0.00013426999726276386
Position 3351: 0.00013097347188237432
Position 30: 0.00011920404959966321
Position 402: 0.0001153504253738092
Position 312: 6.707663678246877e-05
Position 3505: 2.7037117571912505e-05
Position 252: 2.2301233936196825e-05
Position 109: 2.0868427326357846e-05
Position 7135: 1.7759031721554413e-05
Position 22954: 7.996259820960637e-06
Position 455: 5.066613749051133e-06
Position 342: 4.1753295562311304e-06
Position 466: 1.5046322514359208e-06
Position 1477: 7.911836112296338e-07
Position 1116: 5.941615245722679e-07
