Gene = PTPDC1
index = 1098
Annotated 5SS: [  346   994  3483  3835 11026 14151 17323 19957]
Annotated 3SS: [  821  3401  3715 10887 12891 17136 19845 23398]
SMsplice 5SS: [  276   994  3483  3835 11026 17323]
SMsplice 3SS: [  821  3401  3715 10887 17136 23398]
top_k =  1000
Partition function (log Z): -0.10867160775302498

Sorted 5' Splice Sites (High to Low Probability):
Position 11026: 0.9881054436173932
Position 17323: 0.9791370132239688
Position 3835: 0.9777112273167631
Position 3483: 0.8286145024644866
Position 994: 0.7984630130786812
Position 276: 0.6913720411542966
Position 10330: 0.5871535047478604
Position 13008: 0.5113368935425092
Position 19275: 0.36272297333266323
Position 21957: 0.29579878764605405
Position 54: 0.28165053215585056
Position 15759: 0.27629246674503166
Position 15426: 0.2479105457712057
Position 19957: 0.21170198279718647
Position 7301: 0.21098076259408755
Position 10516: 0.2032126045576374
Position 9691: 0.11821866212416435
Position 5744: 0.10724319465138393
Position 706: 0.08780831560487647
Position 9286: 0.08121268375954308
Position 346: 0.0702683308891807
Position 24026: 0.0628679505100479
Position 7845: 0.058240818473745445
Position 14136: 0.05405170896902878
Position 340: 0.05385021563872077
Position 9723: 0.0520599646685367
Position 16683: 0.04985779592969638
Position 3509: 0.04675676196812187
Position 1945: 0.03939409976523426
Position 4020: 0.03809831109509274
Position 14151: 0.035676769896341935
Position 20056: 0.035378056578917176
Position 23528: 0.027328274496544607
Position 11967: 0.025417840020942557
Position 15458: 0.024688991823654926
Position 19297: 0.024681364186253565
Position 609: 0.023020522807957564
Position 6374: 0.02298713110846169
Position 931: 0.0217918002638358
Position 14591: 0.02068982250638268
Position 16164: 0.016406776424994756
Position 9055: 0.01588427696982472
Position 9891: 0.015372255443149878
Position 10710: 0.015315155281122253
Position 108: 0.015220618826438888
Position 1369: 0.013623010212099695
Position 12064: 0.012870104743078639
Position 20641: 0.01275858455732111
Position 918: 0.012524281840781847
Position 16298: 0.012303764356911343
Position 10415: 0.012064517832680392
Position 11518: 0.0120131419195142
Position 6078: 0.011995191223452061
Position 2264: 0.011376195560198246
Position 954: 0.010750352489417905
Position 20168: 0.008503924411435741
Position 20062: 0.007391752804655883
Position 23558: 0.007096674610685401
Position 10574: 0.006831799595638422
Position 10479: 0.006713845432470674
Position 10074: 0.0064161762345678825
Position 15751: 0.006147585411911446
Position 20315: 0.006113667920730055
Position 3999: 0.0056485231655488966
Position 10959: 0.005256650184963751
Position 1180: 0.0050706618212216096
Position 2223: 0.004879146468583077
Position 22373: 0.004853847733272578
Position 11590: 0.004620931723441046
Position 10350: 0.004215556211207375
Position 11647: 0.0035113734474447734
Position 22212: 0.003466498716622511
Position 14733: 0.0032603776354269073
Position 14683: 0.0031582950431631564
Position 2290: 0.00309656247265849
Position 11471: 0.00291600358154112
Position 1118: 0.0029024996598172163
Position 16121: 0.00283422744737609
Position 3115: 0.002698665070871559
Position 22503: 0.0024181842276729763
Position 12383: 0.0024012334210711376
Position 3754: 0.002196514228757118
Position 5937: 0.002093624307766719
Position 10392: 0.001807472548409351
Position 22426: 0.0017606279697209466
Position 2937: 0.0017191966565291263
Position 17850: 0.0016813972314782487
Position 1906: 0.00163058559067799
Position 11030: 0.0015804065390253193
Position 12703: 0.0013284206902623792
Position 2894: 0.0011821671222690907
Position 1185: 0.0011771520145478793
Position 2665: 0.0011491790965834625
Position 857: 0.0010328314798308334
Position 282: 0.0010231201212971106
Position 19250: 0.000917574072952928
Position 12339: 0.0008861939138638329
Position 545: 0.0008404449405716207
Position 1050: 0.0007254465275058365
Position 7297: 0.0007236361057166541
Position 11040: 0.000649556191144177
Position 2193: 0.0006412959447099405
Position 1816: 0.0006260771070104748
Position 378: 0.0006162760296942568
Position 192: 0.0005852492451393726
Position 2397: 0.0005812711464956792
Position 4772: 0.0005600736558001924
Position 3948: 0.0005426011752258531
Position 12013: 0.000538894816125587
Position 2954: 0.000522016817795168
Position 9112: 0.0005219858375669608
Position 1365: 0.00046914049432274577
Position 3627: 0.00046721667090913885
Position 3984: 0.00043182084981668563
Position 3009: 0.00039248225909308004
Position 2067: 0.0003760919444497103
Position 9913: 0.0003488969026868719
Position 20484: 0.0003246656102163604
Position 20319: 0.0002919819681443064
Position 20928: 0.0002365091608150267
Position 138: 0.00021630819461741926
Position 10953: 0.0002130025231297244
Position 11100: 0.0002117806367554297
Position 6198: 0.00020110766861042154
Position 5064: 0.00019138323913404318
Position 4225: 0.0001726562082936701
Position 3492: 0.00016867425031805793
Position 297: 0.0001632269805433317
Position 288: 0.00015646842988338393
Position 631: 0.0001304503393389238
Position 5359: 0.00012202202238862347
Position 11501: 0.00011887750929809885
Position 386: 0.00010743467265358305
Position 3953: 8.719083048347855e-05
Position 3554: 7.886642740856144e-05
Position 6022: 7.862166725730768e-05
Position 22185: 6.697370098030433e-05
Position 1897: 6.368576350106316e-05
Position 1849: 6.32827423506261e-05
Position 2343: 5.513166253410274e-05
Position 484: 5.4485859542661206e-05
Position 613: 4.907614761991036e-05
Position 12437: 4.5157351766741707e-05
Position 58: 4.5090711990540144e-05
Position 466: 4.485682510203455e-05
Position 410: 4.2123251212340545e-05
Position 568: 3.668568459391711e-05
Position 4704: 2.5817641847374522e-05
Position 5991: 2.371858120351417e-05
Position 36: 2.3035793726644413e-05
Position 5755: 2.112216923749814e-05
Position 440: 1.4971419774069388e-05
Position 1098: 1.1552423456956676e-05
Position 1006: 9.057453732230409e-06
Position 681: 8.798030284265873e-06
Position 470: 7.316070395395386e-06
