Gene = GLYCTK
index = 600
Annotated 5SS: [  21 2864 3256 4067]
Annotated 3SS: [2447 3103 3890 4403]
SMsplice 5SS: [  21 3256]
SMsplice 3SS: [3103 4403]
top_k =  1000
Partition function (log Z): -7.181621653648626

Sorted 5' Splice Sites (High to Low Probability):
Position 21: 0.9500920909558644
Position 3256: 0.8337305991783494
Position 2694: 0.196873576756365
Position 5337: 0.1867027963077833
Position 4286: 0.17829152227177092
Position 5319: 0.12134843270607874
Position 4067: 0.06914708125689562
Position 2279: 0.04211821002329731
Position 4714: 0.033540714587752984
Position 2864: 0.033073288669142796
Position 2761: 0.031846433954999365
Position 253: 0.018986396854537603
Position 3353: 0.01824332371817668
Position 2622: 0.017798760208384362
Position 2736: 0.01773425640413305
Position 3138: 0.015181244901209187
Position 4266: 0.014839910939552687
Position 3330: 0.01425548816428994
Position 214: 0.013119694656561692
Position 1372: 0.009496611004893735
Position 3261: 0.008355446435799947
Position 4449: 0.008199655202905788
Position 4407: 0.007087665883181516
Position 4233: 0.006550795792248564
Position 4249: 0.005628333153098904
Position 4726: 0.005169162768770351
Position 3377: 0.004886358253740746
Position 1110: 0.004868701593715911
Position 5224: 0.004798931018178064
Position 2056: 0.004645709660673022
Position 3314: 0.004095660768983744
Position 2626: 0.0037949054341589843
Position 2505: 0.003387460206024298
Position 1134: 0.0033648734898208367
Position 634: 0.003342064782828029
Position 590: 0.003332823671581076
Position 2011: 0.0031994932557843935
Position 4314: 0.002938107339895953
Position 3282: 0.002503020050826034
Position 3148: 0.0019318398820181383
Position 1968: 0.0018599415182916957
Position 672: 0.001833473602811583
Position 5267: 0.0018174786562579629
Position 3286: 0.0018151399329484688
Position 1579: 0.0015528246306645741
Position 712: 0.0013881463653711195
Position 296: 0.0011505274055854174
Position 2309: 0.0011203985803147152
Position 4548: 0.0010773942050818876
Position 3728: 0.001002365239147463
Position 4557: 0.0008866001652962905
Position 4032: 0.0008437859105621082
Position 85: 0.0006527025017590983
Position 3477: 0.00047251113097674394
Position 4617: 0.0004707604801322445
Position 3891: 0.0004310383330808873
Position 5006: 0.00042765515977043526
Position 3742: 0.000417756358167487
Position 3037: 0.0004023356983389603
Position 695: 0.0003924389346262062
Position 1187: 0.00038742020480926056
Position 1041: 0.00036448481219135534
Position 5279: 0.0003509697876794854
Position 2357: 0.0003210168277245507
Position 661: 0.00028868169884015073
Position 3358: 0.0002787655484898781
Position 4719: 0.00023895203857025383
Position 1127: 0.00023494241803395226
Position 2008: 0.00023440585398224086
Position 1249: 0.00023310555103283213
Position 3393: 0.0001980771174202409
Position 4528: 0.00016453236257826955
Position 1859: 0.000151770644827211
Position 4562: 0.00014906310137548912
Position 1745: 0.00014608655881009314
Position 91: 0.00014182462648629175
Position 4488: 0.00014037145548273473
Position 1586: 0.00013019798378854016
Position 1264: 0.00012212437585700376
Position 1662: 9.123168448220866e-05
Position 3293: 8.705508745781042e-05
Position 656: 8.609930638469565e-05
Position 4170: 8.567509882422503e-05
Position 377: 8.021672547079461e-05
Position 3813: 7.75447244224187e-05
Position 3374: 7.747846150267327e-05
Position 3032: 7.460224875997279e-05
Position 3050: 7.395571402239653e-05
Position 1666: 7.223972588851471e-05
Position 2352: 7.161335940697177e-05
Position 1170: 6.16446649261681e-05
Position 2340: 5.697662233222849e-05
Position 62: 5.5664926363435255e-05
Position 1953: 5.3562361131508086e-05
Position 1529: 4.7729972043387374e-05
Position 1142: 3.951432455649582e-05
Position 700: 3.776820252429413e-05
Position 617: 3.701422531865116e-05
Position 356: 3.317445740324617e-05
Position 1648: 2.3512781956028057e-05
Position 310: 2.2745095297200547e-05
Position 1352: 2.2388448067938055e-05
Position 2677: 2.205328218031032e-05
Position 1643: 2.1612539816256893e-05
Position 2617: 1.936973305329631e-05
Position 1388: 1.8238309397372604e-05
Position 1291: 1.546331452633268e-05
Position 944: 1.4582897353596554e-05
Position 2090: 1.453671905730836e-05
Position 13: 1.4363084926093594e-05
Position 1096: 1.3278008727675623e-05
Position 2109: 1.1703332584160878e-05
Position 1724: 1.0381522090034212e-05
