Gene = CMTM7
index = 384
Annotated 5SS: [  395 50343 57882 60803]
Annotated 3SS: [50168 57782 60720 62569]
SMsplice 5SS: [  395 28689 44365 50343 57882 60803]
SMsplice 3SS: [28568 44270 50168 57782 60720 62732]
top_k =  1000
Partition function (log Z): -35.15342300764538

Sorted 5' Splice Sites (High to Low Probability):
Position 395: 0.9476784804023289
Position 5738: 0.4383689837367326
Position 11454: 0.1914964672343391
Position 7872: 0.1284679551923155
Position 3612: 0.1112470832871239
Position 9737: 0.11113353881080955
Position 1361: 0.10279533389063228
Position 8154: 0.09601975657545074
Position 4034: 0.08504970731904128
Position 1028: 0.02941085718461993
Position 6339: 0.028531517744802865
Position 6256: 0.02565548935082239
Position 6760: 0.014490087120766725
Position 902: 0.014238961259865058
Position 2892: 0.012366286200065772
Position 6307: 0.004897946940826748
Position 399: 0.004290358052345826
Position 7793: 0.0038938907246798887
Position 2856: 0.0037203897929180855
Position 633: 0.00282575146884968
Position 6885: 0.0028254577916174057
Position 11490: 0.002251580238519248
Position 5553: 0.0019717978392520593
Position 6704: 0.0018176944897290539
Position 9677: 0.0017265727808517864
Position 5338: 0.0015710028621617293
Position 4940: 0.0015663986487747404
Position 6005: 0.0015510456114586986
Position 423: 0.0010567303614899852
Position 7877: 0.0010469968563478343
Position 4707: 0.0004467780623213746
Position 4952: 0.00044321739170555903
Position 7425: 0.00023037484320947668
Position 10005: 0.00021884570079496824
Position 3303: 0.0001733367847510951
Position 6351: 0.00017057913182901908
Position 180: 0.0001607802035411878
Position 102: 0.0001523856906326856
Position 1760: 0.00011510692253168844
Position 6764: 0.00010918180178278984
Position 2886: 0.00010236632180994793
Position 6916: 9.733627371565522e-05
Position 1378: 9.675383168025665e-05
Position 536: 9.184289267736504e-05
Position 6658: 7.187056751122805e-05
Position 1001: 6.324717518615324e-05
Position 883: 6.122767891706435e-05
Position 1060: 5.211099991356681e-05
Position 9113: 4.2339529099712206e-05
Position 452: 3.882800444123594e-05
Position 982: 2.5404897014110058e-05
Position 2135: 1.8153543042640122e-05
Position 5849: 1.2838153570013548e-05
Position 268: 1.2258347043732465e-05
Position 2049: 1.0350593200376089e-05
Position 1068: 9.164091657095854e-06
Position 1440: 8.905595570064967e-06
Position 1309: 8.29716162402342e-06
Position 965: 8.132062658749733e-06
Position 642: 6.367972671321541e-06
Position 1346: 6.3228206722240126e-06
Position 383: 5.083381353906403e-06
Position 2122: 4.646001240811658e-06
Position 6047: 4.095163297705487e-06
Position 2023: 3.6944033328318134e-06
Position 1032: 2.6094524644447657e-06
Position 1409: 2.5823057267510464e-06
Position 947: 2.4303368468821127e-06
Position 649: 1.820211805488422e-06
Position 1138: 1.7043939865791197e-06
Position 1901: 1.5834841999856585e-06
Position 876: 1.5368083063878506e-06
Position 257: 1.466085397176421e-06
Position 768: 1.4033063368354867e-06
Position 1520: 1.3150694538265667e-06
Position 4870: 1.3082687026613273e-06
Position 910: 9.858486771770108e-07
Position 1246: 9.688707686112941e-07
Position 562: 8.853111908630066e-07
