Gene = BTLA
index = 148
Annotated 5SS: [  291 20107 28350 29804]
Annotated 3SS: [19791 28205 29756 33177]
SMsplice 5SS: [  291 20107 28350 29804]
SMsplice 3SS: [19791 28205 29756 33177]
top_k =  1000
Partition function (log Z): -20.935212373855478

Sorted 5' Splice Sites (High to Low Probability):
Position 291: 0.9723098775741219
Position 20107: 0.6969852380076633
Position 10099: 0.23294447999737508
Position 2314: 0.15521757436530295
Position 2086: 0.134164353011227
Position 113: 0.020619422277852555
Position 1638: 0.012722772559406433
Position 117: 0.0054502107666648284
Position 9522: 0.002199829545939092
Position 2344: 0.002058403912958764
Position 539: 0.001988377908955357
Position 308: 0.0012141611041186322
Position 4179: 0.0012044310742717304
Position 1885: 0.0010456284578064371
Position 4721: 0.0008322819594281562
Position 3186: 0.0007273260031468196
Position 691: 0.0007237025356707885
Position 2239: 0.000709218619219136
Position 2603: 0.0006339629757217026
Position 2297: 0.0005758896922194674
Position 2081: 0.0005143179090402973
Position 9729: 0.0004709072280600086
Position 7874: 0.00046909159019605537
Position 396: 0.00041937461279950317
Position 2351: 0.00039655034727533746
Position 2338: 0.00025834646817894923
Position 392: 0.0002135860458594314
Position 9444: 0.00021291372608637745
Position 10141: 0.00016316736255816776
Position 3472: 0.00010943819560342887
Position 791: 9.919683876216853e-05
Position 3167: 9.841265027059366e-05
Position 5343: 9.489104803665137e-05
Position 1106: 7.877958221861949e-05
Position 3411: 7.219573409313574e-05
Position 3575: 6.917471352741783e-05
Position 1669: 4.850938210290866e-05
Position 369: 4.5223575191699985e-05
Position 5059: 4.312223093506149e-05
Position 194: 4.2986366966281545e-05
Position 7149: 4.0681340326089296e-05
Position 573: 3.981218271087643e-05
Position 1456: 3.788196434787143e-05
Position 6289: 3.6103172899536996e-05
Position 2131: 3.609436578016433e-05
Position 1847: 3.1077664460479484e-05
Position 1206: 2.2524716170724436e-05
Position 1759: 1.812828099274778e-05
Position 1232: 1.2348924755610459e-05
Position 2109: 8.875750146050158e-06
Position 1596: 7.790897278099479e-06
Position 471: 6.57536195046168e-06
Position 2154: 5.470322993881385e-06
Position 248: 4.845069694088715e-06
