Gene = EDARADD
index = 479
Annotated 5SS: [  228 14997 20022 33173 73999]
Annotated 3SS: [14937 19981 33113 73952 87988]
SMsplice 5SS: [  228 11881 12138 14997 33173 39771 41552 49803 73999]
SMsplice 3SS: [11688 11983 14937 33113 39688 41446 49715 73952 87988]
top_k =  1000
Partition function (log Z): -39.60163234544245

Sorted 5' Splice Sites (High to Low Probability):
Position 228: 0.9958146861023908
Position 14997: 0.9434104373977112
Position 11881: 0.7320578864978571
Position 20443: 0.37461675477530415
Position 12138: 0.36776167338461485
Position 12321: 0.3502765870696457
Position 20022: 0.3323528458328109
Position 19364: 0.3024098742039408
Position 19627: 0.15188186254040456
Position 12051: 0.14159271434871326
Position 13773: 0.09936072367863136
Position 12104: 0.09650094756930062
Position 12326: 0.091819239330376
Position 3770: 0.08641003375084975
Position 4861: 0.07333571948272545
Position 4825: 0.07302811591369758
Position 1383: 0.0655588964685522
Position 11870: 0.06270902190737564
Position 7259: 0.053588092696034324
Position 15940: 0.04181054915866867
Position 12389: 0.036492492766366895
Position 829: 0.03375066366933977
Position 861: 0.02770588970248038
Position 18154: 0.02748913563768329
Position 15108: 0.024191984720662578
Position 7552: 0.022882340794498284
Position 2624: 0.020792797024525692
Position 632: 0.017648008171667767
Position 11098: 0.016464079772824824
Position 12039: 0.01574814144165608
Position 13867: 0.015212334791341039
Position 12644: 0.01506390748609046
Position 20928: 0.008360972409855815
Position 16481: 0.008195632045023615
Position 3800: 0.00700740822484976
Position 16355: 0.006525889006973908
Position 1105: 0.006430813897668402
Position 9533: 0.006321146840219458
Position 23342: 0.005748736004526404
Position 3430: 0.00479055135066712
Position 9678: 0.0036833880522321592
Position 10157: 0.0036790010566430556
Position 15001: 0.003273628967988719
Position 15022: 0.0023601600260164273
Position 68: 0.001925845880873481
Position 16566: 0.0017334124667557683
Position 4660: 0.0011876654327784902
Position 14068: 0.0011602926822631883
Position 15226: 0.001035143908107708
Position 16375: 0.0009460480716216276
Position 12953: 0.0007854348234826948
Position 16336: 0.000716521547969093
Position 2378: 0.0005641606431010146
Position 18031: 0.00046098213912973163
Position 232: 0.00040626612150050824
Position 16529: 0.00031402765106468614
Position 3349: 0.00027604611727333276
Position 2329: 0.00023942904455228912
Position 1690: 0.00023343291223702208
Position 4177: 0.00022407154589312037
Position 2173: 0.0001651727101319749
Position 5922: 0.00013948567824077085
Position 1155: 0.00011432406084767225
Position 4700: 0.00011264756451455715
Position 4607: 0.00010274853584986581
Position 4582: 9.295729239720372e-05
Position 3774: 9.04310966139465e-05
Position 284: 5.824397805280863e-05
Position 538: 4.4100707037610725e-05
Position 1234: 3.6128464851617496e-05
Position 689: 3.300902587390557e-05
Position 2098: 2.8989302596396758e-05
Position 14946: 2.8583630986897383e-05
Position 216: 2.444736804588439e-05
Position 987: 2.1447956334061553e-05
Position 16025: 2.0357598264448078e-05
Position 3368: 1.8128021271915947e-05
Position 983: 1.7925553864923535e-05
Position 2367: 1.7921520651073405e-05
Position 15842: 1.775136969226603e-05
Position 545: 1.7520157726420278e-05
Position 2695: 1.6194365457711563e-05
Position 2089: 1.5840709642813775e-05
Position 565: 6.701328742287541e-06
Position 865: 5.440418655701715e-06
Position 636: 4.24959743576923e-06
Position 697: 4.244367903500537e-06
Position 1064: 2.66546788860169e-06
Position 950: 2.230488995402392e-06
Position 694: 2.2240831411624704e-06
Position 738: 1.206147825764144e-06
Position 844: 1.0982154360219149e-06
Position 730: 7.764287438215187e-07
Position 373: 3.506014519268228e-07
Position 375: 2.726208351773542e-07
Position 477: 2.315316489162791e-07
Position 485: 2.2056289207176213e-07
Position 3819: 2.11367256224603e-07
Position 21: 1.269957135729897e-07
Position 270: 5.330471587200389e-08
Position 524: 3.320271436319927e-08
Position 2332: 3.005861370401418e-08
Position 640: 1.7588653071353445e-08
Position 2433: 1.4022991726660623e-08
Position 112: 7.922480958743799e-09
Position 365: 3.5973885063372785e-09
Position 436: 1.7123833249122573e-09
Position 245: 1.146936549736741e-09
Position 526: 9.21267115096995e-10
Position 838: 2.499222767505311e-10
Position 656: 3.739752147003185e-20
Position 638: 3.290905560795469e-20

Sorted 3' Splice Sites (High to Low Probability):
Position 14937: 0.9653449810241861
Position 11983: 0.7922815771012401
Position 11688: 0.7685487864450247
Position 20294: 0.4964184821726356
Position 19308: 0.264269423351756
Position 19981: 0.25255231532564404
Position 12210: 0.20951776612954723
Position 23244: 0.20032016396901653
Position 19496: 0.12664904061888999
Position 4771: 0.11939437197532765
