Gene = HMP19
index = 659
Annotated 5SS: [  240  1281 18712 58735]
Annotated 3SS: [ 1129 18627 58623 61709]
SMsplice 5SS: [  240 16741 17042 18712 20676 24263 42554 43796 58735]
SMsplice 3SS: [16586 16851 18627 20599 24125 42448 43684 58623 61709]
top_k =  1000
Partition function (log Z): -18.415728056945795

Sorted 5' Splice Sites (High to Low Probability):
Position 18712: 0.997805847294334
Position 240: 0.9690233786015832
Position 24263: 0.9513503499373848
Position 20676: 0.7134902795659979
Position 1281: 0.6075965654737183
Position 16641: 0.4190484093345449
Position 36104: 0.31703963855429973
Position 16741: 0.2965944600335394
Position 1464: 0.27154571081071566
Position 22133: 0.20578514881059398
Position 37712: 0.1676382298942579
Position 723: 0.14455539398109582
Position 1626: 0.11228943823498734
Position 32244: 0.10902982086640858
Position 20801: 0.07810914415469572
Position 17042: 0.05157617343788905
Position 23300: 0.051314995726870975
Position 728: 0.04746008195361393
Position 23318: 0.047292459321269534
Position 23265: 0.028540180463785567
Position 23212: 0.02836791858849313
Position 27: 0.02599114776866801
Position 22636: 0.024094186854111584
Position 23159: 0.023777252878090068
Position 21769: 0.02201182919368001
Position 761: 0.021167150509416626
Position 23247: 0.020996632718302894
Position 23194: 0.019706814176286627
Position 22293: 0.016383520459492002
Position 19040: 0.016051394535493653
Position 1921: 0.015743287194418133
Position 21204: 0.012424930210342825
Position 23353: 0.012295669172785155
Position 4091: 0.01224792999315468
Position 19093: 0.01121899957145995
Position 7223: 0.011050600195828937
Position 2883: 0.011011462164388464
Position 559: 0.010743467902247427
Position 4568: 0.010070084979976156
Position 22165: 0.010026851659085092
Position 9267: 0.007554182756172336
Position 2525: 0.007469275468290936
Position 2857: 0.0074513295095586934
Position 6484: 0.006432013585702187
Position 812: 0.006270146709601149
Position 19292: 0.0061254487845951765
Position 32251: 0.005466990701775011
Position 23141: 0.0054027826708018915
Position 29058: 0.004765009355597605
Position 678: 0.004464051595077526
Position 4358: 0.004274775773039471
Position 21765: 0.004256606039334947
Position 21470: 0.0033979342869180705
Position 22091: 0.0033499762407624804
Position 21687: 0.0033255327750906765
Position 244: 0.0033229062479204277
Position 23762: 0.0032561356198350135
Position 20719: 0.002974406976103115
Position 1248: 0.0028389182587668614
Position 22537: 0.002755225530067696
Position 24257: 0.0027148702757712143
Position 23754: 0.002694708089024139
Position 22929: 0.0026363968518105406
Position 22982: 0.0025282064236913358
Position 23106: 0.002354356196076653
Position 20793: 0.0023516507310533527
Position 839: 0.0019329400357838626
