Gene = ERRFI1
index = 509
Annotated 5SS: [  151 10814 11001]
Annotated 3SS: [10615 10923 11911]
SMsplice 5SS: [  151 10814 11001]
SMsplice 3SS: [10615 10923 11911]
top_k =  1000
Partition function (log Z): -10.02969761027882

Sorted 5' Splice Sites (High to Low Probability):
Position 151: 0.9390124918789946
Position 10814: 0.7537102681013551
Position 11001: 0.35700566645400583
Position 11027: 0.21573835729503776
Position 10801: 0.18427594525981147
Position 12043: 0.15832995739710415
Position 9558: 0.10979280909455663
Position 6174: 0.09433860798275015
Position 12076: 0.08506913137473451
Position 3916: 0.07295702602055891
Position 805: 0.06460068977746777
Position 4970: 0.06120426076023503
Position 9577: 0.043644451053434494
Position 1248: 0.033274080393012904
Position 562: 0.03265791655352791
Position 3352: 0.031176782296900137
Position 11059: 0.02362044807456999
Position 2523: 0.021938969522999393
Position 4525: 0.017950681357698
Position 3879: 0.017448441495253895
Position 10310: 0.012980814118417736
Position 12453: 0.012725696695378685
Position 13001: 0.009946416336353202
Position 1203: 0.005784698822098666
Position 3090: 0.005302339634221608
Position 1966: 0.004882787158765208
Position 13911: 0.004033397671612024
Position 2489: 0.003656518074504744
Position 969: 0.0032221306236592945
Position 3859: 0.002641380343728598
Position 14333: 0.0024720309815292473
Position 12215: 0.002406516171577897
Position 899: 0.0013263929689068636
Position 11576: 0.0011841537089709044
Position 2258: 0.0010977805698044747
Position 11328: 0.001089600413972977
Position 1767: 0.001073827644714763
Position 5723: 0.0010089827359946234
Position 1121: 0.000902031672803771
Position 3871: 0.000624408265419421
Position 3703: 0.00035977687108798404
Position 765: 0.00026008317409952726
Position 11: 0.00022899782220944383
Position 748: 0.00012977097683900877
Position 539: 0.00012136639476196256
Position 12780: 0.00011741551745055647
Position 11586: 0.00010809836180949733
Position 4993: 0.0001066347137836776
Position 4015: 0.00010061939627672925
Position 11529: 9.17946770320951e-05
Position 4798: 9.055178842359206e-05
Position 4152: 8.666115102940964e-05
Position 356: 5.794637723353297e-05
Position 967: 5.1511945340236954e-05
Position 12040: 3.240626956388652e-05
Position 176: 2.7806819907156113e-05
Position 744: 2.1483148609467225e-05
Position 65: 2.0167240164326725e-05
Position 6: 8.009942643847384e-06
Position 591: 5.477317552680287e-06
Position 1186: 4.824470844077416e-06
Position 448: 2.731362947054029e-06
Position 686: 2.598243237749938e-06
Position 754: 1.4914363950960542e-06
Position 873: 1.271522735895053e-06
Position 692: 1.223730786523393e-06
Position 716: 1.1098847071547424e-06
Position 284: 1.078296484196842e-06
Position 1308: 1.0232680977210766e-06
Position 651: 9.710464353880187e-07
Position 741: 9.323841674185471e-07
Position 329: 9.009025324729815e-07
Position 300: 8.337976707645539e-07
Position 412: 5.905682769850189e-07
Position 2094: 3.9254315068708167e-07
Position 2155: 3.5258614056948564e-07
Position 1030: 2.691108206240761e-07
Position 2249: 2.6909811326407044e-07
Position 631: 2.2882401633027735e-07
Position 662: 2.1034708009356431e-07
Position 983: 1.947788138989453e-07
Position 568: 1.6523008732353302e-07
Position 973: 1.597673590434633e-07
Position 945: 9.175931606404234e-08
Position 1463: 9.040564326837765e-08
Position 23: 6.519671676549508e-08
Position 1710: 5.3799824120648186e-08
Position 820: 5.021248295410182e-08
Position 1023: 4.282382039818491e-08
Position 998: 3.185245701967755e-08
Position 1323: 2.6612336214576297e-08
Position 936: 1.9854644952984292e-08
Position 1673: 1.890841999410011e-08
Position 1253: 1.8370141524711503e-08
Position 445: 1.682501989516686e-08
Position 1319: 1.499494834274903e-08
Position 1752: 1.2948984998720885e-08
Position 503: 3.9630205410253745e-09
Position 2872: 3.265011071038579e-09
Position 451: 2.6551091019255814e-09
Position 1895: 1.7289560663872583e-09
Position 684: 1.6868109816033169e-09
Position 675: 1.6549602667836329e-09
Position 266: 1.4172923276335908e-09
Position 2338: 1.1870872754894438e-09
Position 2694: 1.0070216174637388e-09
Position 358: 6.209826475162877e-10
Position 670: 4.0177620803106675e-10
Position 1176: 2.6809975238620954e-10
Position 2133: 2.1895844826196158e-10
Position 3328: 1.6597008544788872e-10
Position 2444: 1.6225919909401856e-10
Position 1585: 8.127603756172017e-11
Position 701: 5.202355151696957e-12
Position 1355: 4.13701685025635e-12
Position 200: 1.3465603235294591e-12
Position 1172: 1.1942544528450835e-12
Position 611: 9.034998549052807e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 10615: 0.8237416629846995
Position 10923: 0.6422142226433656
Position 11911: 0.4481608878669189
Position 9428: 0.15492080809678205
Position 14048: 0.10900208760179643
Position 12370: 0.0907145268829996
Position 12944: 0.07736987333917834
Position 11956: 0.0655896851027827
Position 13629: 0.06264041647574618
Position 11862: 0.06259974892567442
Position 10644: 0.05651739569157532
Position 10660: 0.05605943868682089
Position 3770: 0.049823891238763816
Position 3840: 0.043436858174684866
Position 12302: 0.03939322451138548
