Gene = TCEANC2
index = 1384
Annotated 5SS: [  158   924 15297 35190]
Annotated 3SS: [  779 15154 34995 42683]
SMsplice 5SS: [  158   924 15297 25683 35190 42768 44702 48927]
SMsplice 3SS: [  779 15154 25572 34995 42683 44542 48822 50555]
top_k =  1000
Partition function (log Z): -25.337611004823042

Sorted 5' Splice Sites (High to Low Probability):
Position 924: 0.9810902831836923
Position 15297: 0.779202093308891
Position 158: 0.7441581913743496
Position 13392: 0.4878238341895262
Position 14921: 0.3329923948449556
Position 14830: 0.20925966979448954
Position 11535: 0.13579300830520144
Position 395: 0.13472704467694518
Position 269: 0.0942318688324428
Position 10584: 0.08902002068177153
Position 13730: 0.08264222119271555
Position 18338: 0.08017566626338718
Position 2032: 0.07128055860825495
Position 18061: 0.06898474328852444
Position 13892: 0.06856684949050586
Position 18354: 0.044714774700636103
Position 8142: 0.041871812348090155
Position 15415: 0.040481231549752986
Position 15092: 0.03220604987250726
Position 18342: 0.031236574947579643
Position 8978: 0.02881029009718542
Position 8193: 0.02600675031550063
Position 19116: 0.022362563279767916
Position 2074: 0.014396033527433301
Position 2199: 0.01358783436336592
Position 16226: 0.013084925135042592
Position 7365: 0.011874515344942146
Position 6172: 0.010325329212726603
Position 8625: 0.009484678340201221
Position 400: 0.008673615081580424
Position 10070: 0.006877020677812235
Position 265: 0.005490456751308701
Position 2868: 0.004761735786982273
Position 319: 0.00468593465928152
Position 6168: 0.004140345765613853
Position 2638: 0.003938647423209676
Position 13114: 0.0038849171616617923
Position 891: 0.0035577948960733
Position 10187: 0.002601185083263371
Position 169: 0.002517837189989177
Position 10765: 0.002467528164648843
Position 8251: 0.002299055928885621
Position 6493: 0.0021283410433287826
Position 2224: 0.0018684845656091744
Position 345: 0.0016914953747465646
Position 6480: 0.0014857909430808665
Position 18077: 0.0014420622208444426
Position 11612: 0.0013595186953509028
Position 109: 0.0012739399674061775
Position 162: 0.0011440441135343548
Position 974: 0.0010004896654750037
Position 185: 0.0008617521608340721
Position 1703: 0.0006419777893559151
Position 432: 0.0005988367615750921
Position 1159: 0.0005873434046067879
Position 351: 0.0005227900332103479
Position 1782: 0.0004459121211304834
Position 274: 0.0003332952352332104
Position 293: 0.0003168933902464053
