Gene = RP11-540D14.8
index = 1175
Annotated 5SS: [  189 21657 22195 22458]
Annotated 3SS: [21342 22128 22379 22664]
SMsplice 5SS: [  189   813  2674  3269 12160 21657 22195 22458]
SMsplice 3SS: [  693  2551  2981 11903 21342 22128 22379 22664]
top_k =  1000
Partition function (log Z): -3.3225406911270676

Sorted 5' Splice Sites (High to Low Probability):
Position 12160: 0.952754369797542
Position 22458: 0.9257000197024399
Position 21657: 0.8463184203283913
Position 813: 0.8393687338424803
Position 2674: 0.7929718231973868
Position 3269: 0.7581921783245358
Position 189: 0.6382322955138632
Position 9839: 0.4404781214007423
Position 12427: 0.3800802574009425
Position 8254: 0.3435913929441858
Position 22195: 0.2981362375410141
Position 6890: 0.25787967495007313
Position 22287: 0.23603975894005677
Position 9601: 0.2179059032867305
Position 6894: 0.1876268832706998
Position 1181: 0.16891330873995608
Position 1452: 0.1580051106136801
Position 9589: 0.14885201773069276
Position 3693: 0.14517058075736775
Position 9764: 0.10674989989846685
Position 579: 0.09952345185308223
Position 3314: 0.08641668918859112
Position 21485: 0.07076020490993618
Position 6589: 0.03671307688744024
Position 9593: 0.034662569078111306
Position 22515: 0.0322458279948897
Position 11507: 0.031357916073793096
Position 6414: 0.02714771233196621
Position 6581: 0.02367803256971225
Position 4661: 0.023491912204017303
Position 6212: 0.02259425074457912
Position 1566: 0.020571653682759462
Position 9611: 0.020303838170244358
Position 21425: 0.01995550543648123
Position 5387: 0.019208281206282967
Position 179: 0.016914691982831475
Position 1299: 0.015272977241091805
Position 21469: 0.015160791321891968
Position 21371: 0.013505094928147094
Position 16037: 0.013462408380550009
Position 8135: 0.012281961633318537
Position 6104: 0.012195224919809008
Position 6520: 0.01114819706907991
Position 6608: 0.011000566420383764
Position 14964: 0.010858573670923995
Position 3160: 0.008588824133439865
Position 5537: 0.007077825000565605
Position 827: 0.006776818263894963
Position 1322: 0.00675471908021386
Position 1700: 0.00507530317665748
Position 1662: 0.004506971490922761
Position 160: 0.0043159872326856315
Position 2694: 0.004217878161212068
Position 603: 0.0038889201613685176
Position 10483: 0.003489673307086232
Position 6648: 0.0033209487193800835
Position 1203: 0.0033122269604923195
Position 22691: 0.003185383538370525
Position 3381: 0.0031516100910640647
Position 6886: 0.0030956914178270995
Position 2633: 0.0028057368935267973
Position 1508: 0.0026441893563935053
Position 817: 0.0022584276056275597
Position 2704: 0.0021146112586313483
Position 22567: 0.001627629421183585
Position 2828: 0.001529724942938097
Position 9605: 0.0013943025863741815
Position 223: 0.0013766767385091955
Position 2756: 0.0013692715912730332
Position 733: 0.00124734520869358
Position 8311: 0.0010030999421092581
Position 6342: 0.0009435883108059985
Position 5238: 0.0008766317420410797
Position 1697: 0.0007239527380950585
Position 583: 0.0006812806239780673
Position 2128: 0.0006196488150742273
Position 3093: 0.0005979842817245819
Position 3100: 0.0005552019527601596
Position 2709: 0.0005231244662515477
Position 9078: 0.0005081522564582621
Position 2652: 0.00038566480237583545
Position 6069: 0.00033222953009649027
Position 822: 0.0003276716414534251
Position 22481: 0.00030664602271845
Position 2268: 0.00030575629991619395
Position 22754: 0.00030467501764471264
Position 3505: 0.00030433035332154017
Position 2468: 0.00030000755591210674
Position 5947: 0.0002896079327771154
Position 2400: 0.00023213955272006874
Position 6282: 0.00021508322697007335
Position 5591: 0.000182375198345034
Position 3084: 0.00016452111023329636
Position 361: 0.0001605250981851297
Position 907: 0.00012202198734123403
Position 791: 0.00010114690143852633
Position 1594: 9.236149354361508e-05
Position 416: 7.824306191392673e-05
Position 428: 7.761885740557562e-05
Position 626: 7.011695600661261e-05
Position 939: 6.980930077377677e-05
Position 25: 6.569910550273946e-05
Position 9868: 6.428155542658217e-05
Position 1915: 6.344968445227651e-05
Position 849: 6.295632995824324e-05
Position 2911: 6.0960706605974496e-05
Position 2676: 5.505420533663814e-05
Position 163: 3.292296331322119e-05
Position 2876: 3.204406003863477e-05
Position 5: 2.9119072607517353e-05
Position 380: 2.712820803079325e-05
Position 3697: 2.2225973802072553e-05
Position 382: 2.1815058592562382e-05
Position 2304: 1.7253111978234305e-05
Position 103: 1.6738274725891844e-05
Position 310: 1.5577235608956217e-05
Position 527: 1.3394880978636312e-05
Position 803: 1.2449529814486744e-05
Position 2569: 1.0496006390409924e-05
Position 695: 9.831191481813432e-06
Position 919: 8.92405431969387e-06
Position 738: 7.816224780436929e-06
Position 1051: 7.717118640078041e-06
Position 674: 6.342241913084915e-06
Position 768: 3.4806178915571037e-06
Position 1286: 2.183084862211309e-06
Position 419: 2.0647421391044815e-06
Position 1001: 1.7246457411968257e-06
Position 831: 1.4292646063275959e-06
Position 1559: 3.7673771778292526e-07
Position 117: 3.339466084646765e-07
Position 1053: 2.922033598125379e-07
Position 1575: 1.5644574907169235e-07
Position 1055: 2.7310626740014936e-08
Position 682: 1.2998443880826106e-08
Position 693: 1.1020745492715242e-08
Position 1067: 7.805020354314055e-09
Position 1074: 1.5677878961104994e-13
Position 664: 7.855847678274353e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 21342: 0.9667213591233317
Position 22664: 0.9038797749888052
Position 11903: 0.8941952513788155
Position 22379: 0.8363600708729961
Position 2981: 0.804562783093611
Position 2551: 0.7532908032080269
Position 693: 0.6245695125571873
Position 9667: 0.5448466409986606
Position 22128: 0.5345648886065592
Position 6692: 0.3956708851255491
Position 12294: 0.33611902065871235
Position 9545: 0.29065693155246053
Position 1073: 0.16250605764574813
Position 22420: 0.15462751905317
Position 8075: 0.1408282393327036
Position 9516: 0.1349141132874445
Position 3623: 0.11193842617194538
Position 8041: 0.0947267278596728
Position 8078: 0.08546032866233233
Position 6438: 0.07234598962788515
Position 11933: 0.06293381548083696
Position 1321: 0.06184766387248705
Position 2591: 0.04440118045711959
Position 1255: 0.04362683795111424
Position 2957: 0.03941647264623708
Position 6468: 0.03607487749836087
Position 22966: 0.03593355159569468
Position 5997: 0.033547756207483515
Position 8013: 0.032271520926288995
Position 11274: 0.0313684224213424
Position 1134: 0.0313438011308834
Position 6791: 0.03037204299013403
Position 12387: 0.030082529090936394
Position 1389: 0.027862061783842696
Position 3638: 0.02742911461097166
Position 4535: 0.018820812627630912
Position 5270: 0.017552121052716498
Position 22667: 0.017358858842062407
Position 15906: 0.01346240838055
Position 3196: 0.012591987046940409
Position 14807: 0.010878111338576265
Position 1440: 0.01037225068911716
Position 713: 0.010351632750990295
Position 6345: 0.009461959028104793
Position 12245: 0.009236654638417753
Position 6317: 0.008606033017079013
Position 1298: 0.007805100741128072
Position 1647: 0.0063598286008772755
Position 6259: 0.006338674013094175
Position 5420: 0.006118267141270059
Position 22869: 0.0050891817307839446
Position 3523: 0.004583117878048484
Position 2602: 0.004479285392003636
Position 6175: 0.003831923962006449
Position 1496: 0.0036883576186992053
Position 4561: 0.003619358477887921
Position 22908: 0.0034028321173747624
Position 5104: 0.0029118918459725487
Position 2513: 0.002481594896263342
Position 7948: 0.002461334543964205
Position 10323: 0.002133983972734093
Position 22795: 0.0020754717093213054
Position 1080: 0.0019040759905496727
Position 1452: 0.0014744843091740588
Position 1096: 0.001432281163897684
Position 10352: 0.0013568861362233333
Position 22631: 0.001331562937383516
Position 939: 0.0012893158746015779
Position 6402: 0.0011732902731682979
Position 3505: 0.0011600951964901762
Position 8215: 0.0011283031946516617
Position 372: 0.0010412335647103598
Position 907: 0.0008028127997831305
Position 5399: 0.0007402149244560115
Position 2755: 0.0006885700484517252
Position 2823: 0.000684159357621098
Position 22690: 0.000664476691625296
Position 4414: 0.0006611130731600584
Position 699: 0.0005835964323488084
Position 2029: 0.0005562289570929663
Position 1150: 0.0005446877694270836
Position 517: 0.0005138838365704813
Position 9005: 0.0005081522564582623
Position 22641: 0.0004687749838457202
Position 6130: 0.00046851493485242687
Position 4531: 0.000382189716153636
Position 993: 0.0003395291042724896
Position 2510: 0.000339273865053037
Position 5819: 0.00028961537939748474
Position 11831: 0.0002831493428702122
Position 507: 0.0002821656230680881
Position 3055: 0.00027898018200844387
Position 1587: 0.0002775112208584264
Position 393: 0.0002605777556256702
Position 424: 0.00023150269064788336
Position 3135: 0.00022385726432026492
Position 22874: 0.0002065767460662739
Position 2468: 0.0002058952873697339
Position 2331: 0.00020577863153845583
Position 2005: 0.00018262924365331854
Position 17673: 0.0001742256319444627
Position 2171: 0.00016452797719801639
Position 2307: 0.00013574377384467824
Position 1456: 0.00012541855969752145
Position 3153: 0.00011492413305521305
Position 18141: 0.0001133812771605969
Position 3031: 0.0001010492415467639
Position 1609: 8.790174061531664e-05
Position 1806: 7.898874660031088e-05
Position 1507: 7.654542232568593e-05
Position 1651: 6.932695078974788e-05
Position 2384: 6.517537297914107e-05
Position 22699: 6.504742995428295e-05
Position 1476: 4.935069364407224e-05
Position 3237: 4.3395963261065605e-05
Position 3129: 4.290733542365022e-05
Position 3201: 4.1915418684078836e-05
Position 1619: 4.0800947697430076e-05
