Gene = MROH9
index = 859
Annotated 5SS: [   62 10056 12048 23015 24072 26451 29730 36358 48009 51185 54478 56804
 60006 61119]
Annotated 3SS: [ 9993 12000 22934 23935 26363 29624 36221 47895 51034 54328 56637 59862
 60980 62627]
SMsplice 5SS: [   62 26451 29730 36358 51185 54478 60006]
SMsplice 3SS: [26363 29624 36221 51034 54328 59906 62627]
top_k =  1000
Partition function (log Z): -35.010709348348946

Sorted 5' Splice Sites (High to Low Probability):
Position 62: 0.9199604635670896
Position 16147: 0.2502435179621497
Position 12048: 0.12931733831641185
Position 9336: 0.09838144503438426
Position 6272: 0.0882621442874615
Position 5064: 0.07445247491525166
Position 7215: 0.07348610684448913
Position 3025: 0.062271003217099406
Position 195: 0.061483290597866454
Position 11477: 0.04288824276597809
Position 7850: 0.03792283256554239
Position 3208: 0.01488291269416193
Position 9433: 0.009950212555269754
Position 596: 0.008810731698483194
Position 10961: 0.007057292791660119
Position 253: 0.006709472848335926
Position 2933: 0.006631875399325692
Position 9362: 0.004316518272144314
Position 8855: 0.003811197677528081
Position 2798: 0.0028570301317550444
Position 450: 0.0024112706085844707
Position 8818: 0.0023286685827226933
Position 11562: 0.0020020468583153853
Position 4781: 0.001764811692026297
Position 5153: 0.0017426357845336513
Position 10056: 0.0015220072361195592
Position 3082: 0.0015205539777523051
Position 12136: 0.0007580301067676317
Position 1071: 0.0006500197633286699
Position 11301: 0.0006186962465266486
Position 4864: 0.000582050519037508
Position 664: 0.0004802923412230449
Position 2974: 0.00047027952492497245
Position 2657: 0.0004009202269408389
Position 2649: 0.00034526308478915037
Position 5666: 0.0002681642420828465
Position 3287: 0.00023722007941337473
Position 66: 0.00023592925269756875
Position 4642: 0.00021276267231830367
Position 261: 0.0002065137918891289
Position 408: 0.00019678998110939542
Position 10090: 0.00015408933753799543
Position 4961: 0.00013216525897245284
Position 3013: 0.00012996269126530575
Position 853: 0.00012498612507017592
Position 2277: 9.614161447537464e-05
Position 3360: 7.865595353684555e-05
Position 2955: 7.473747897333667e-05
Position 4869: 7.401320371446917e-05
Position 614: 6.323046938729978e-05
Position 5776: 5.485881885837904e-05
Position 4885: 4.935642210536825e-05
Position 4538: 4.642944495834075e-05
Position 4231: 4.2379280526730916e-05
Position 325: 3.802934152069931e-05
Position 285: 3.761710058536106e-05
Position 4546: 2.9624144744447625e-05
Position 2409: 2.0883382888771222e-05
Position 5399: 1.5074133460382934e-05
Position 5141: 1.3870858318022652e-05
Position 4184: 1.34040967556082e-05
Position 1375: 1.3249977790031373e-05
Position 5529: 1.2962053893281265e-05
Position 5630: 1.2774373747044686e-05
Position 3224: 9.984217323718738e-06
Position 10995: 4.127772761469641e-06
Position 2357: 2.7904164539710795e-06
Position 1570: 1.523842177430179e-06
Position 1776: 4.789569224673889e-07
Position 4331: 1.821736019455057e-07
Position 396: 1.4950956842342443e-07
Position 3772: 1.2633620051598292e-07
Position 337: 1.0936480123729146e-07
Position 743: 8.397861963399206e-08
Position 538: 6.320238029674751e-08
Position 848: 5.4715631756216937e-08
Position 51: 4.401665943940927e-08
Position 37: 3.583441197354482e-08
Position 796: 3.5508659718901536e-08
Position 402: 3.5262578280175014e-08
Position 200: 2.0213784184567303e-08
Position 1337: 2.0050939779711916e-08
Position 772: 1.857771809441113e-08
Position 839: 1.662263717537422e-08
Position 146: 1.2200781623108173e-08
Position 213: 1.0622836654247991e-08
Position 237: 7.292768110810017e-09
Position 343: 5.621299694977806e-09
Position 1261: 5.181308584797943e-09
Position 11: 4.827348097415743e-09
Position 856: 3.1716341220723003e-09
Position 29: 2.5703035500180404e-09
Position 696: 1.3042849298723042e-09
Position 330: 9.680504264217526e-10
Position 1352: 1.7876786926965607e-10
Position 103: 1.0474917942015725e-10
Position 88: 7.987312692560252e-11
Position 1142: 2.819987126384049e-11
Position 141: 1.7868142396025697e-11
Position 327: 9.587643286082584e-12
Position 183: 6.990571336110464e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 25121: 0.3809875315832395
Position 15871: 0.3091351239948376
Position 9279: 0.12373883193330083
Position 11417: 0.09866789178372377
Position 5974: 0.0868133707413417
Position 12222: 0.08356692691395602
Position 21761: 0.07408759083479358
Position 12000: 0.07181579762304166
Position 11906: 0.05928790923842928
Position 7058: 0.05166996079378817
Position 15766: 0.04859295249199564
Position 15475: 0.04196275239558148
Position 11122: 0.03859957818650981
Position 2836: 0.03517653536202812
Position 17286: 0.03320305120565306
Position 4981: 0.03033936859201062
Position 12810: 0.02974028933816638
Position 6161: 0.02849157855201003
Position 2932: 0.0281267329401615
Position 12508: 0.02796765563286491
Position 4950: 0.023843923139028052
Position 15403: 0.02174252995343309
Position 7706: 0.018709611246412947
Position 7776: 0.014442354798554314
Position 4638: 0.013434515875722832
Position 7124: 0.013270872060058565
Position 2889: 0.01166283046351813
Position 4922: 0.01014134467507349
Position 4780: 0.00892166180637593
Position 10832: 0.007654478769314459
Position 17008: 0.007397936807968969
Position 12582: 0.006428212026364983
Position 5386: 0.006322808512927664
Position 8679: 0.004974651163718444
Position 7151: 0.004812322418551403
Position 7565: 0.00328018843285223
Position 6061: 0.0027917558322388017
Position 6437: 0.002408134861382539
Position 6599: 0.0023704314611862004
Position 6576: 0.002347821912793982
Position 7009: 0.0023297216089915628
Position 2617: 0.002278713809483589
Position 9993: 0.0020277246469343102
Position 8759: 0.0019068287002258983
Position 10200: 0.0018453859820303476
Position 4753: 0.0018025897118969124
Position 3082: 0.0017592120635005336
Position 3206: 0.0017310826794253728
Position 5324: 0.0016682189093740682
Position 4955: 0.001617875308960076
Position 3008: 0.001604246378200107
Position 6994: 0.0015850298173293144
Position 2923: 0.001570700216620789
Position 7588: 0.0015625237607624725
Position 12347: 0.001530302974843671
Position 2520: 0.0014212954737194943
Position 2016: 0.0013208488478548446
Position 905: 0.0012313845536997884
Position 3101: 0.0012061963612770492
Position 4822: 0.0011283661548234336
Position 14321: 0.0010814531330866938
Position 6698: 0.0009069989291081847
Position 6199: 0.0009045886585026475
Position 2857: 0.0009001006722973685
Position 3584: 0.0008312095586729721
