Gene = NPPA
index = 956
Annotated 5SS: [222 671]
Annotated 3SS: [ 343 1768]
SMsplice 5SS: [222 671]
SMsplice 3SS: [ 343 1768]
top_k =  1000
Partition function (log Z): -6.2278870332683525

Sorted 5' Splice Sites (High to Low Probability):
Position 222: 0.9315567173818561
Position 671: 0.7702080983791952
Position 458: 0.2916330980894367
Position 504: 0.058827444249549526
Position 411: 0.047688791089693094
Position 123: 0.02085865887283085
Position 160: 0.01319035732328899
Position 479: 0.007996857941513292
Position 1668: 0.006011023764646562
Position 240: 0.0020608255265621733
Position 1654: 0.0019087856550042267
Position 969: 0.0014491141586005622
Position 389: 0.0010608595471615812
Position 1665: 0.001032774121823601
Position 1322: 0.0007514102193255049
Position 1009: 0.0006520654973170065
Position 404: 0.0004752779253932006
Position 1644: 0.00045714786872535547
Position 300: 0.00034289226200815505
Position 182: 0.00027148569029978464
Position 1733: 0.00013757151634384825
Position 1680: 0.00013516016786400007
Position 1597: 0.00011769394648312622
Position 1672: 9.943021016568512e-05
Position 1092: 9.519105426424581e-05
Position 15: 8.941699393762296e-05
Position 304: 8.126466282327976e-05
Position 1127: 5.8501536699682195e-05
Position 1630: 4.7352099500772866e-05
Position 1231: 4.328672001913773e-05
Position 657: 4.043744378504726e-05
Position 1263: 3.697276113458083e-05
Position 309: 3.303044014705222e-05
Position 1845: 3.280274831647955e-05
Position 1963: 2.4959090771138923e-05
Position 1388: 2.2829710900984348e-05
Position 1881: 1.564477849091673e-05
Position 192: 7.073188411140727e-06
Position 937: 5.88422886166168e-06
Position 194: 4.186838823954089e-06
Position 245: 3.115148520921431e-06
Position 1768: 2.982974476592983e-06
Position 1884: 2.8241533572705043e-06
Position 273: 4.6896399859124804e-07
Position 325: 4.3455983096766295e-07
Position 392: 7.690412584314827e-08
Position 73: 5.097109004883994e-08
Position 802: 4.767715391777113e-08
Position 800: 2.081933843849142e-08
Position 768: 9.215825525059705e-09
Position 789: 2.2571790215561555e-09
Position 1578: 4.0593681827968683e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 343: 0.7569283995172315
Position 1768: 0.5441766989169016
Position 558: 0.3492032189672049
Position 1552: 0.11043687355370911
Position 2004: 0.08400707819418642
Position 562: 0.0513272064100375
Position 591: 0.048141237531510395
Position 1723: 0.044460503528525944
Position 903: 0.03992083192650082
Position 621: 0.03304236704967207
Position 300: 0.013783898997527404
Position 1728: 0.011688559593990571
Position 1664: 0.0069965137032931895
Position 829: 0.006445697173152106
Position 606: 0.0062267447441558925
Position 787: 0.005939410189285035
Position 365: 0.005521998973599059
Position 768: 0.004234216780991782
Position 2008: 0.003911344416465102
Position 1197: 0.0027503646362299454
Position 2029: 0.002395573099250051
Position 1503: 0.0023741497260278297
Position 1532: 0.0020655016852172145
Position 404: 0.0020515013878931302
Position 1946: 0.0018124370058932885
Position 1535: 0.0014912025019832313
Position 1901: 0.0014835104251625035
Position 1621: 0.0013104770317893086
Position 1710: 0.001240732636725031
Position 1036: 0.001210530404579763
Position 304: 0.0010713921209738176
Position 920: 0.0009454339317169932
Position 457: 0.0007690943890024903
Position 1881: 0.0007369408612661677
Position 1661: 0.0007313944131383112
Position 881: 0.0007158256699112548
Position 600: 0.0006319228608912058
Position 204: 0.0006190994014755205
Position 1907: 0.0005955178295915976
Position 806: 0.0005874489092725694
Position 1214: 0.0005334375942138347
Position 862: 0.0005136322889796205
Position 370: 0.0004983844519530941
Position 411: 0.0003687004939811693
Position 444: 0.0003233812833998686
Position 479: 0.0002456436840823799
Position 663: 0.00022679239297116518
Position 383: 0.0002158639998648385
Position 630: 0.00021414275006467542
Position 2066: 0.00019836540844867567
Position 2054: 0.00016202005372179115
Position 567: 0.0001307637059670294
Position 2069: 0.00011653962990358504
Position 924: 0.00010213813884131613
Position 1776: 0.00010155555512115308
Position 749: 8.854932181173326e-05
Position 1085: 8.016390422217104e-05
Position 643: 7.949894693347233e-05
Position 1732: 7.81653913951669e-05
Position 483: 7.809084438642397e-05
Position 1353: 6.671434601648196e-05
Position 2040: 6.381047329250136e-05
Position 1076: 6.3038807534774e-05
Position 1164: 6.272094047248335e-05
Position 1299: 5.84055206213436e-05
Position 1315: 5.414463812146569e-05
Position 503: 5.4144047474813965e-05
Position 1561: 5.294929286320449e-05
Position 833: 5.121945085754929e-05
Position 1952: 4.935900772743745e-05
Position 1079: 4.145195408160898e-05
Position 914: 3.980653889709258e-05
Position 1332: 3.9368302962179554e-05
Position 732: 3.8749223432092406e-05
Position 980: 3.620798206246183e-05
Position 1685: 3.176893692892318e-05
Position 1745: 3.0591691004153764e-05
Position 1417: 3.0256726707779642e-05
Position 1626: 2.7535364071194836e-05
Position 428: 2.7338893053359218e-05
Position 1478: 2.4607038121849227e-05
Position 789: 2.3928541501404164e-05
Position 1004: 2.3885692864798486e-05
Position 1812: 2.2996608758355026e-05
Position 152: 2.1331652902764716e-05
Position 1343: 2.0969764987876202e-05
Position 380: 2.023605311848743e-05
Position 1680: 1.964767972154381e-05
Position 97: 1.6327879178738252e-05
Position 1230: 1.6058884603361388e-05
Position 221: 1.4438015224014196e-05
Position 1375: 1.344434173170258e-05
Position 729: 1.1499104534189164e-05
Position 1208: 1.131863034856931e-05
Position 1783: 1.050882987272517e-05
Position 425: 6.070584691946378e-06
Position 488: 4.923852714286908e-06
Position 1244: 4.888958494745965e-06
Position 1326: 4.780730564260329e-06
