Gene = FKTN
index = 558
Annotated 5SS: [   36 15617 17008 38528 43219 46363 49822 57278 59963 61932]
Annotated 3SS: [15524 16814 38467 43014 46084 49688 57147 59828 61803 76920]
SMsplice 5SS: [   41 12768 16203 17008 38528 40054 43219 46363 49822 59963 61963]
SMsplice 3SS: [12620 16067 16814 38467 39955 43014 46084 49688 59828 61803 76920]
top_k =  1000
Partition function (log Z): -30.52029687710601

Sorted 5' Splice Sites (High to Low Probability):
Position 23076: 0.8998928831543682
Position 12768: 0.8894339305483353
Position 17008: 0.8581975861686171
Position 16203: 0.8262168668311332
Position 466: 0.2812772719581917
Position 19132: 0.26981306836305263
Position 41: 0.2541937588839133
Position 36: 0.24578454326619928
Position 38528: 0.24408098836599823
Position 16573: 0.2331232723286631
Position 980: 0.18736445078849612
Position 16886: 0.14616987714811858
Position 4132: 0.14469144488774524
Position 20687: 0.14016901767782688
Position 14587: 0.13983035996858678
Position 92: 0.11869617518230408
Position 16149: 0.11413022849707966
Position 12529: 0.07963769441101423
Position 22668: 0.06480007557736332
Position 15617: 0.06175241074999415
Position 13144: 0.05949851734443146
Position 19466: 0.05807183021116997
Position 12742: 0.04389799602795207
Position 5729: 0.04324836771153252
Position 16762: 0.04203954007708717
Position 12723: 0.04172605519532505
Position 11800: 0.04011530559815291
Position 3610: 0.0382850687724397
Position 13133: 0.03611597290348983
Position 19762: 0.03484055349715805
Position 6412: 0.03316783821694999
Position 3602: 0.031193180257898398
Position 6183: 0.030963357786660067
Position 282: 0.029127813549440124
Position 56: 0.029123450420127622
Position 22900: 0.026917892019578782
Position 9794: 0.025889117191736984
Position 160: 0.025290378528634392
Position 17485: 0.025271801706519617
Position 13809: 0.023428336520997215
Position 9591: 0.020655718635571984
Position 22171: 0.018511421181038976
Position 21969: 0.01642490226395227
Position 22436: 0.014835213794279468
Position 14878: 0.014484968456538507
Position 6256: 0.013490590426775646
Position 13021: 0.013024007285236042
Position 3313: 0.011759242818893002
Position 21226: 0.011543308871155466
Position 5090: 0.011312003505545927
Position 10944: 0.011221263118348318
Position 21350: 0.010822676555244711
Position 14892: 0.010482649065482103
Position 5110: 0.008582073303607999
Position 12593: 0.008216269678639462
Position 15813: 0.007791438410883965
Position 12625: 0.006861314827778003
Position 11978: 0.006510409407579613
Position 7354: 0.006166894106977023
Position 3561: 0.006158056365322949
Position 23719: 0.003769306240294535
Position 578: 0.00302264117316921
Position 19586: 0.0021337138765404407
Position 60: 0.0016223267834926665
Position 23276: 0.001482264129713411
Position 16512: 0.0014091924420142638
Position 312: 0.00133333103936029
Position 2074: 0.0008970739368568395
Position 3565: 0.0008511475614601272
Position 200: 0.0008066305769511116
Position 74: 0.0005750550197074734
Position 346: 0.0005093096515336232
Position 1191: 0.0004652128413257385
Position 4051: 0.0003764472390510692
Position 1596: 0.0002993978597482309
Position 2861: 0.00028489683626070134
Position 31: 0.00027997719724615294
Position 2194: 0.00023829017001441544
Position 18452: 0.00023629349903829603
Position 6043: 0.00017034852508785985
Position 3720: 0.00016893728735838725
Position 4614: 0.00015962085613587082
Position 948: 0.0001313230958439891
Position 1413: 0.00012298066352414802
Position 210: 0.0001053575088443902
Position 5748: 0.00010387935974540056
Position 3549: 9.464249061223078e-05
Position 19325: 9.284588163921549e-05
Position 1138: 7.33567934755799e-05
