Gene = LARS
index = 762
Annotated 5SS: [  173  5114  9974 10751 14533 18351 22287 23254 24933 25258 28768 28927
 29487 30799 33039 38037 38189 38394 39249 39789 42457 47060 49763 51642
 52643 53683 53989 56226 58679 60169 62290]
Annotated 3SS: [ 4994  9885 10669 14394 18188 22173 23189 24864 25031 28679 28849 29432
 30657 32960 37950 38122 38310 39109 39575 42398 46995 49578 51550 52501
 53541 53877 56114 58573 60072 62156 68348]
SMsplice 5SS: [  173  5114  9974 10751 14533 18351 22287 23409 28768 28927 30799 33109
 38037 38189 38394 47060 49654 51642 52643 53683 53989 56226 58679 60169
 62290 62914]
SMsplice 3SS: [ 4994  9885 10669 14455 18188 22173 23189 28679 28849 30657 32960 37950
 38122 38310 46995 49578 51550 52501 53541 53877 56114 58573 60072 62156
 62780 68348]
top_k =  1000
Partition function (log Z): 39.03843737601415

Sorted 5' Splice Sites (High to Low Probability):
Position 47060: 0.9911148514757423
Position 56226: 0.9855253961157022
Position 28927: 0.9749095861821825
Position 22287: 0.9735776320494767
Position 5114: 0.9706095520588236
Position 14533: 0.9627744874186439
Position 62290: 0.9533354098921886
Position 38189: 0.9520270181165671
Position 28768: 0.9493634231644488
Position 60169: 0.9353266058379841
Position 18351: 0.9224572228216921
Position 38037: 0.9102981584278234
Position 30799: 0.9072668408227895
Position 38394: 0.9026729514669988
Position 53683: 0.8998908397147445
Position 173: 0.8831945902893967
Position 52643: 0.7970236524718649
Position 9974: 0.7907419974237901
Position 58679: 0.7532172373165299
Position 62914: 0.6819785529750073
Position 33109: 0.6677813307512626
Position 25258: 0.66184362753244
Position 39789: 0.6385248847571443
Position 29487: 0.6129971029717053
Position 51642: 0.5760159973550497
Position 10751: 0.5751629178765728
Position 49654: 0.5698368612310979
Position 23409: 0.5642907882414552
Position 53989: 0.506134043695128
Position 21918: 0.4521267236474685
Position 31210: 0.4048179922320305
Position 49763: 0.39940651412426126
Position 21497: 0.3408687495890727
Position 39509: 0.3354186269359392
Position 66604: 0.32333521108879826
Position 58837: 0.31243422452235403
Position 33039: 0.29444285398462555
Position 39249: 0.29364929668025846
Position 49404: 0.2803202798542341
Position 63028: 0.2674687178861511
Position 64367: 0.2582838276321412
Position 57430: 0.257001806358537
Position 39253: 0.25205149387523257
Position 55682: 0.2505068514480342
Position 41117: 0.2262338219265102
Position 38506: 0.22587780540671545
Position 63966: 0.21636150068054114
Position 62658: 0.2132268094130967
Position 46065: 0.19342465054337882
Position 37860: 0.1858353369494684
Position 34534: 0.16995777552316288
Position 23952: 0.16853591297133566
