Gene = UTP11L
index = 1541
Annotated 5SS: [  124  3679  5029  5836  6411  6642 10068]
Annotated 3SS: [ 3616  4925  5721  6316  6510  9956 10802]
SMsplice 5SS: [  124  3679  5029  5836  6411 10068]
SMsplice 3SS: [ 3616  4925  5721  6316  9956 10802]
top_k =  1000
Partition function (log Z): 8.86005831120097

Sorted 5' Splice Sites (High to Low Probability):
Position 5836: 0.9973232492113372
Position 124: 0.9753018347479703
Position 10068: 0.9736049512982653
Position 5029: 0.9460259245572271
Position 3679: 0.8538847769953535
Position 6411: 0.8491246199303285
Position 6642: 0.47748899753657087
Position 10982: 0.32790509565008513
Position 434: 0.2307734217680451
Position 5274: 0.17622818389202285
Position 9529: 0.16683392037047662
Position 4103: 0.09583894590903011
Position 1580: 0.09003892159177113
Position 10256: 0.0791788989867422
Position 3697: 0.07495309259048206
Position 7503: 0.07452710564604123
Position 738: 0.06567915368149109
Position 10298: 0.05884658381179484
Position 3492: 0.05446047708583052
Position 391: 0.05387092682459075
Position 10720: 0.050079113049375304
Position 9745: 0.045491782152297294
Position 5607: 0.03535432875695648
Position 5260: 0.03373345514490581
Position 7161: 0.029391569540512266
Position 6668: 0.029235244266614262
Position 10941: 0.02186494690328796
Position 9841: 0.021430424480598207
Position 5609: 0.019438885325589888
Position 1555: 0.01936206060510097
Position 549: 0.018810925487555304
Position 4275: 0.01818312688578357
Position 742: 0.016443983137347372
Position 3193: 0.01469490844813269
Position 11003: 0.014492833825625209
Position 3423: 0.012675989364914838
Position 10839: 0.012124121425731946
Position 4107: 0.011553868390525284
Position 5017: 0.011027151535264623
Position 11552: 0.0104237373365745
Position 10824: 0.009865547562939192
Position 3113: 0.009259712425207433
Position 5048: 0.009170926396462421
Position 446: 0.008971129733476059
Position 6428: 0.008334107459613646
Position 4052: 0.007841762955471425
Position 10730: 0.0076150691826441805
Position 10986: 0.007367978832787998
Position 7355: 0.006233679933931629
Position 5156: 0.00587325083069273
Position 7022: 0.005621269651047521
Position 243: 0.005130838695193233
Position 10914: 0.0048526584842757915
Position 10508: 0.004501037238139027
Position 6130: 0.004470461883012075
Position 8323: 0.003891674915521493
Position 9789: 0.00378667485344173
Position 3461: 0.003387127436764704
Position 9431: 0.003092507492738657
Position 10308: 0.0028564754522805405
Position 4785: 0.002836080858645675
Position 1584: 0.002789243371229927
Position 1116: 0.002667821371906053
Position 7667: 0.002519968018433873
Position 10882: 0.002454375536436001
Position 3542: 0.0023083465945332535
Position 10025: 0.0022537146576809054
Position 5147: 0.002231518510871542
Position 3434: 0.0021622900497257295
Position 546: 0.002019595089914864
Position 383: 0.0019129579103387814
Position 10359: 0.001870610343710347
Position 11259: 0.0018538752891040147
Position 4279: 0.0018347380437101436
