Gene = KISS1
index = 747
Annotated 5SS: [ 111 3713]
Annotated 3SS: [3571 5688]
SMsplice 5SS: [111]
SMsplice 3SS: [5688]
top_k =  1000
Partition function (log Z): -6.619163312410662

Sorted 5' Splice Sites (High to Low Probability):
Position 111: 0.9802043730567035
Position 1852: 0.6661407050628841
Position 2118: 0.5858973572848389
Position 3713: 0.3931193921155181
Position 5069: 0.144098534354203
Position 4277: 0.08532756166426671
Position 4201: 0.07630589217842124
Position 2659: 0.06523407874577453
Position 652: 0.055679488537911284
Position 2669: 0.046471670848799815
Position 2383: 0.04594343420100542
Position 3001: 0.023988355374315543
Position 3682: 0.010251239299966516
Position 4544: 0.009282879733936373
Position 4051: 0.007385538253213041
Position 5063: 0.005517520559467606
Position 855: 0.005410604801433685
Position 2041: 0.004931767578589481
Position 5590: 0.00447126394190425
Position 6011: 0.0042801808938503294
Position 970: 0.0031657641336602436
Position 5544: 0.0026705553609321178
Position 5442: 0.001804523714383714
Position 5177: 0.0017240454481864552
Position 2251: 0.0015797807717438826
Position 1802: 0.0013297580972051574
Position 2197: 0.0013192130144073502
Position 52: 0.0012468942008654479
Position 1389: 0.0012241116517868258
Position 1527: 0.0007963927638380362
Position 3801: 0.0007700849593327782
Position 5447: 0.000542091551137714
Position 2469: 0.0005360539544629611
Position 2318: 0.0005035090806991831
Position 3750: 0.0005019966268863762
Position 918: 0.0004995359255492818
Position 869: 0.0004617261937123718
Position 1266: 0.000345482735258938
Position 1270: 0.000284915772728855
Position 3881: 0.0002786656983988337
Position 1028: 0.0002392478003432858
Position 4249: 0.00022247264081673193
Position 1211: 0.0002192488554913356
Position 1016: 0.00020566348760989964
Position 838: 0.0001970407008852707
Position 1000: 0.00018666800905467684
Position 981: 0.00016841332000927016
Position 146: 0.00015707597944551155
Position 909: 0.0001530041720055178
Position 1200: 0.00014386038572340953
Position 1792: 0.00011633804419361097
Position 861: 0.00011537835837646649
Position 787: 9.767774116304066e-05
Position 829: 9.076705746192748e-05
Position 1171: 8.762841299515687e-05
Position 924: 8.121114029829842e-05
Position 736: 8.095543425744917e-05
Position 953: 7.303481593679013e-05
Position 738: 7.235212518545804e-05
Position 740: 6.198137191277024e-05
Position 2181: 6.098273574126175e-05
Position 1189: 5.809631055272428e-05
Position 1289: 5.510930528667182e-05
Position 2664: 4.243982953931993e-05
Position 2265: 4.173214182242598e-05
Position 2397: 3.893128008139655e-05
Position 1047: 3.563381068437092e-05
Position 1154: 3.346169253687524e-05
Position 2617: 3.325216509541979e-05
Position 2159: 3.263181853861468e-05
Position 742: 3.088013340266445e-05
Position 1076: 2.9781527925613725e-05
Position 734: 2.827263666596863e-05
Position 894: 2.5409218806108855e-05
Position 938: 2.5212171026615615e-05
Position 1116: 2.4525139850421435e-05
Position 744: 2.4243138186110752e-05
Position 1230: 2.4064685134784903e-05
Position 1894: 2.155255551986504e-05
Position 2403: 1.6773174198204947e-05
Position 1087: 1.3570512151056784e-05
Position 1012: 1.3093825440497595e-05
Position 873: 1.2884121006710839e-05
Position 2516: 1.2008835802533584e-05
Position 746: 1.199713810837989e-05
Position 1260: 1.135058707761187e-05
Position 1223: 1.1298499122598601e-05
Position 620: 1.1136430894760087e-05
Position 2405: 7.3162598688943705e-06
Position 1807: 5.880129191559521e-06
Position 2137: 2.8429711063106753e-06
Position 1993: 1.0072534042137172e-06
Position 318: 8.829928202950209e-07
Position 55: 7.469089312361745e-07
Position 125: 2.0024952780833147e-07
Position 883: 1.393198005394328e-07
Position 1004: 1.272710796296568e-07
Position 848: 8.543082712443745e-08
Position 1020: 7.888865272094607e-08
Position 1070: 7.061935342091215e-08
Position 127: 7.020792671591418e-08
Position 1024: 5.662307795570798e-08
Position 985: 4.975207031806686e-08
Position 1137: 3.603135804430691e-08
Position 1215: 3.396102498134565e-08
Position 842: 2.8348259477388514e-08
Position 60: 2.4753874857636947e-08
Position 991: 2.3766656316949227e-08
Position 1022: 2.2536489058691434e-08
Position 304: 1.6388894321911194e-08
Position 748: 1.5771988150543186e-08
Position 844: 1.344663336127626e-08
Position 810: 1.2746200023292499e-08
Position 1039: 1.0169739077465721e-08
Position 391: 9.327578274170017e-09
Position 1236: 8.886626145791212e-09
Position 1244: 7.460107761116383e-09
Position 254: 5.405696913904128e-09
Position 1217: 3.958118804997732e-09
Position 1274: 3.6790000538137946e-09
Position 1219: 3.2335280195622043e-09
Position 1282: 3.1220865777717214e-09
Position 1308: 2.533219808794274e-09
Position 360: 5.511090555336886e-10
Position 750: 4.704333579957361e-10
Position 1319: 4.181396593445917e-10
Position 987: 3.431099433231714e-10
Position 752: 1.4705073627348701e-10
Position 779: 1.4070962588232012e-10
Position 754: 1.368807413727584e-10
Position 756: 1.0726842555943936e-10
Position 791: 1.0025408346178268e-10
Position 190: 3.8256005964967023e-13
Position 641: 1.4170933692287197e-13
Position 592: 2.72790797026406e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 5688: 0.5367681394928846
Position 1964: 0.5327048686044166
Position 3571: 0.3155489057537037
Position 1695: 0.2976501671953292
Position 5857: 0.26378195129425797
Position 1738: 0.22318888633388634
Position 3995: 0.15589716763927264
Position 4948: 0.08318258674856613
Position 4792: 0.06979761808994865
Position 2497: 0.06905030620475659
Position 1801: 0.06500779976131982
Position 495: 0.04429756532356795
Position 1945: 0.03862269501896465
Position 1646: 0.03374372741064998
Position 3633: 0.03095144171029117
Position 2571: 0.029515944419191698
Position 5438: 0.02737027005305911
Position 3516: 0.025075463364966417
Position 3791: 0.024190590348649222
Position 2237: 0.023772969339371765
Position 1677: 0.022940579884496916
Position 4156: 0.021747807185038156
Position 5255: 0.020592620773385195
Position 2338: 0.02017515501434671
Position 4926: 0.01898825652627825
Position 3334: 0.01704769034434821
Position 2867: 0.0167488771400166
