Gene = PPP6C
index = 1065
Annotated 5SS: [  175 18734 28978 31578 35913 36286]
Annotated 3SS: [18637 28911 31435 35832 36075 39896]
SMsplice 5SS: [  175 17910 18544 18734 28978 31578 35913 36286]
SMsplice 3SS: [17816 18423 18637 28874 31435 35832 36075 39931]
top_k =  1000
Partition function (log Z): -4.761889833900098

Sorted 5' Splice Sites (High to Low Probability):
Position 18734: 0.9979032268759999
Position 175: 0.9432476671280908
Position 36286: 0.8926298803883543
Position 35913: 0.8766103159781329
Position 31578: 0.8268200760265237
Position 28978: 0.6432703044347368
Position 37569: 0.5501494201583764
Position 9643: 0.40572994266004075
Position 928: 0.1975368875332732
Position 35939: 0.12208501995034786
Position 11569: 0.08779198435269045
Position 900: 0.06814682191254688
Position 2120: 0.06711442297065705
Position 2384: 0.05919158394441882
Position 36254: 0.05413902248863986
Position 41357: 0.05368089719066565
Position 41330: 0.05199541789286637
Position 768: 0.043918773410862644
Position 661: 0.04230123597097963
Position 639: 0.042157679316052125
Position 123: 0.04136938360326097
Position 15716: 0.03176584009428216
Position 950: 0.03007904782399073
Position 11590: 0.026546730118838565
Position 38944: 0.026004639277611714
Position 4962: 0.0250916402240239
Position 39778: 0.024789249725639007
Position 8251: 0.02361273090659303
Position 29449: 0.021855570468205764
Position 9619: 0.01840487427058325
Position 37592: 0.01823401841210508
Position 629: 0.017008801458218377
Position 40535: 0.015268906488548272
Position 40056: 0.014983691476621486
Position 10016: 0.013053793854214237
Position 5387: 0.01264944771021668
Position 679: 0.012312064625366076
Position 39990: 0.011799169982710652
Position 785: 0.007484357026352167
Position 36274: 0.006446090266519243
Position 24545: 0.006025672971059434
Position 37588: 0.004113220455168476
Position 36671: 0.0036478307544457384
Position 37412: 0.003555559234752546
Position 37508: 0.0032335054137444335
Position 940: 0.003102733653847886
Position 38358: 0.0030794152570909447
Position 41891: 0.0029336723848933537
Position 24547: 0.0025593885351183213
Position 331: 0.002422298904036544
Position 18844: 0.002096773013100324
Position 257: 0.0020593395315359544
Position 563: 0.0018896200588457478
Position 36204: 0.0018620033949046503
Position 38914: 0.0018300384340998244
Position 364: 0.0017946080573117062
Position 373: 0.001443057376047225
Position 1779: 0.0012304163123978964
Position 40625: 0.0011126731360923047
Position 36199: 0.0009000197184803487
Position 1695: 0.0008800021141394637
Position 36497: 0.0008154737882074557
Position 1317: 0.0007943770335882084
Position 36309: 0.0007630891081822437
Position 36432: 0.0007350804151758139
Position 39984: 0.0007247882828213567
Position 36512: 0.0006450279976058247
Position 967: 0.0005542982809080703
Position 39995: 0.0005275884285067226
Position 702: 0.0005003422857489904
Position 391: 0.000445962712246503
Position 38434: 0.0003640019224462284
Position 411: 0.00022792277847720667
Position 816: 0.000180464258411372
Position 37415: 0.00017480764719690655
Position 23871: 0.00016951167851789374
Position 345: 0.0001614447241032264
Position 633: 0.00013877467754050968
Position 674: 0.0001316339315362454
Position 150: 9.835523896275714e-05
Position 747: 9.529378993242656e-05
