Gene = IMMP2L
index = 700
Annotated 5SS: [   441  40979  75054 598792 675699]
Annotated 3SS: [ 40841  74949 598725 675595 898569]
SMsplice 5SS: [   441  18490  40979  69941  74626  75054 115610 145033 163819 168011
 221494 259990 287364 295121 305463 325464 395393 482147 504367 513476
 598792 651126 675699 702273 720005 726937 770961 779902 861656 890147
 890364]
SMsplice 3SS: [ 18403  40841  69776  74499  74949 115529 144948 163674 167906 221403
 259880 287137 295039 305310 325360 395304 482075 504229 513354 598725
 651034 675595 702105 719717 726781 770860 779678 861503 890064 890284
 898621]
top_k =  1000
Partition function (log Z): -434.19202535440127

Sorted 5' Splice Sites (High to Low Probability):
Position 441: 0.9544995988438306
Position 18490: 0.28744824601013347
Position 11552: 0.2332551512657387
Position 244: 0.19397003061103832
Position 296: 0.18089434778441987
Position 17704: 0.0997057673627018
Position 32: 0.05959118961260672
Position 9588: 0.027110879743189077
Position 2862: 0.026902922467439305
Position 4695: 0.018668780718355333
Position 1602: 0.012518341858921367
Position 7162: 0.012486542279399729
Position 299: 0.011528688101067943
Position 3119: 0.008548592813608933
Position 445: 0.008479449513353126
Position 3995: 0.006550366321394425
Position 1562: 0.0060055554353134494
Position 6590: 0.005656617825536819
Position 4636: 0.0048036613576537225
Position 4350: 0.0036803937257273976
Position 59: 0.0035797669490389
Position 5497: 0.0035786238759522426
Position 2794: 0.0031519626523645624
Position 287: 0.002729823522016772
Position 6620: 0.00229781727943303
Position 9087: 0.002198095004613234
Position 8488: 0.0018923317352290132
Position 223: 0.0017588614972927478
Position 36: 0.0013661815676546194
Position 30: 0.0013250924467929158
Position 257: 0.0012407820704782365
Position 3816: 0.0011085532549867866
Position 9350: 0.0010764299587486216
Position 11792: 0.0008933848237215699
Position 4077: 0.0006912708696330325
Position 10573: 0.0005748707368527224
Position 10422: 0.000566395109930103
Position 93: 0.000246771047404666
Position 837: 0.00022576684348739513
Position 111: 0.00021553858764951825
Position 285: 0.00018492979219872875
Position 3820: 0.00018339754670695268
Position 817: 0.00017828515793456734
Position 1220: 0.00017388029460810493
Position 1432: 0.00017053665697714027
Position 455: 0.0001354576989951354
Position 1029: 0.00010026027203062401
Position 871: 9.719514295348135e-05
Position 910: 5.389628741093987e-05
Position 4009: 5.296112928593166e-05
Position 204: 4.288598895645008e-05
Position 1554: 3.568140256326214e-05
Position 1824: 2.9801829800160427e-05
Position 2556: 2.6092809239060433e-05
Position 81: 2.2918251696797244e-05
Position 3524: 1.5606761330020273e-05
Position 3616: 1.3769750904628557e-05
Position 6754: 1.144764349078991e-05
Position 1191: 1.1164636992117497e-05
Position 309: 1.0756931004468175e-05
Position 9: 9.585806207942964e-06
Position 1425: 8.954096167700437e-06
Position 342: 8.25985980323312e-06
Position 1186: 7.122313364336635e-06
Position 16: 6.725677173537174e-06
Position 1103: 6.352392414956231e-06
Position 3675: 5.6608559863544025e-06
Position 2097: 5.177407063644581e-06
Position 340: 4.417455133566863e-06
Position 641: 3.6397819664965175e-06
Position 1693: 3.593084934053776e-06
Position 2831: 2.9228491810165648e-06
Position 4012: 1.9653688471295817e-06
Position 44: 1.5378946280823095e-06
Position 1461: 1.350733952715575e-06
Position 733: 1.2915463743825316e-06
Position 1904: 1.263540631947171e-06
Position 42: 1.0684530467941475e-06
Position 1940: 1.0645134435009614e-06
Position 1916: 8.593600845951755e-07
Position 1749: 5.568585585186108e-07
Position 346: 5.081989830317031e-07
Position 659: 1.517752586448695e-08
Position 531: 1.2749984681481243e-08
Position 350: 9.482157661545749e-09
Position 746: 6.896527642046207e-09
Position 1118: 4.311308933652512e-09
Position 517: 2.9922526466166203e-09
Position 462: 2.6559975631717916e-09
Position 591: 2.6396202941944557e-09
Position 369: 1.115731149615527e-09
Position 750: 8.435432604680098e-10
Position 632: 2.107582374839973e-10
Position 743: 1.4085019286553697e-10
Position 615: 5.0584145961873136e-11
Position 353: 3.4704688798316474e-11
Position 822: 1.9612649036744692e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 19383: 0.4444638586548953
Position 367: 0.427077894938504
Position 18403: 0.4082954970499167
Position 11338: 0.3799403071908764
Position 17462: 0.11657775608748003
Position 2697: 0.04493486691440545
Position 16351: 0.03276072826366138
Position 6958: 0.029888341357549583
Position 9490: 0.027741692681958467
Position 15428: 0.02116421998465746
Position 13104: 0.016085116026651924
Position 11096: 0.013890198914469345
Position 11352: 0.013726300057816524
Position 4460: 0.013286290645161975
Position 1502: 0.012275553475116543
Position 11756: 0.009630833512508147
Position 6444: 0.009151794576185833
Position 4294: 0.009006752439103434
Position 6345: 0.008915796480241977
Position 11249: 0.008082429395826747
Position 13802: 0.007902503904637788
Position 3892: 0.007668674702656693
Position 3943: 0.007573975432333757
Position 15762: 0.0073145835073007565
Position 13404: 0.007014088822061805
Position 2724: 0.0067094214110689
Position 4132: 0.006158857599534573
Position 14148: 0.00562386532900842
Position 3013: 0.005474400444360639
Position 14187: 0.0052436327440155105
Position 5370: 0.004978085369804045
Position 1338: 0.0044818538198893405
Position 8988: 0.003808041537516165
Position 2940: 0.003559504995309658
Position 11397: 0.0032626696632262015
Position 4522: 0.0032024577331922666
Position 8820: 0.00315966583380092
Position 10360: 0.0027244728557924637
Position 11378: 0.0027178845937377697
Position 10451: 0.0023301942672293175
Position 11667: 0.0021158513553517612
Position 4633: 0.002062195028111605
Position 893: 0.002028622708830381
Position 8324: 0.0019914081168326495
Position 9239: 0.0019817930469345777
Position 2664: 0.0018262219228387159
Position 9512: 0.0017685869316255943
Position 4362: 0.0017225649202166102
Position 10504: 0.0017121210985633667
Position 11313: 0.001516719919014896
Position 10948: 0.0015006078699552293
Position 5275: 0.001481314114263366
Position 12377: 0.0012898538457237485
Position 7059: 0.0012709631434462247
Position 1457: 0.0012622343299372694
Position 8452: 0.0010906881702471873
Position 2766: 0.0010572540006405955
Position 423: 0.0009183219017588704
Position 10168: 0.0008903984963266713
Position 4602: 0.0007931328506860935
Position 10214: 0.0007900250590208514
Position 7242: 0.000713164772269567
Position 3718: 0.0006685761638370263
Position 8913: 0.0006591616632819461
Position 6841: 0.0006448797802990113
Position 10563: 0.0006442799644604759
Position 5710: 0.0006226106938984347
Position 1740: 0.0005837344808611271
Position 1365: 0.000468956680242394
Position 1425: 0.0004356271850385589
Position 3726: 0.00041449258109641743
Position 8788: 0.00039899553511244803
Position 1540: 0.00039556062968214447
Position 4217: 0.0003911836864922158
Position 8073: 0.0003620830154897951
Position 2443: 0.0003418309892430591
Position 8799: 0.0003309305672220904
Position 5876: 0.0002919997237477742
Position 7298: 0.00028744137308824567
Position 2906: 0.00028192221632391173
Position 10645: 0.00027786752586397693
Position 4483: 0.00026398010640211816
Position 2503: 0.0002534139825594533
Position 3571: 0.00025255743330385497
Position 3898: 0.0002503233490936827
Position 772: 0.0002444519593113689
Position 1557: 0.00021739373560120462
Position 10077: 0.00020622813990957427
Position 3276: 0.00019850769700765293
Position 743: 0.00019828569133797182
Position 6910: 0.00019376080618572307
Position 1638: 0.00018914711978860292
Position 689: 0.00017496384192230795
Position 549: 0.00017431121050667664
Position 622: 0.0001623393386904075
Position 1275: 0.00015624281487925206
Position 6447: 0.00015529679023007
Position 3187: 0.0001534739849438698
Position 7075: 0.0001449585451723229
Position 4108: 0.00014012229637584876
Position 673: 0.00013262977606798312
Position 2123: 0.00012903712242520586
Position 3523: 0.00012071252294627758
Position 3605: 0.00011898011467438311
Position 956: 0.00011790209001811145
Position 869: 0.00011677145052654581
Position 6714: 0.00011200126846511749
Position 1692: 0.00011160088063133655
Position 6585: 9.314072719026294e-05
Position 336: 9.163667119793565e-05
Position 1811: 9.055925578400545e-05
Position 3200: 7.773388035274004e-05
Position 5817: 7.662293652006802e-05
Position 1979: 7.656346519473433e-05
Position 3305: 7.476385810667125e-05
Position 7990: 7.451211908062701e-05
Position 3287: 7.076297790599741e-05
Position 3358: 6.86532243889492e-05
Position 3459: 6.554512517771704e-05
Position 5744: 6.199163794872084e-05
Position 4391: 5.61923558041003e-05
Position 2381: 5.504073296340021e-05
Position 3093: 4.965229070977138e-05
Position 1065: 4.839419109037642e-05
Position 2888: 4.6050992228152595e-05
Position 4694: 4.3514643768993846e-05
Position 427: 4.090669778721651e-05
Position 2994: 3.913540909522735e-05
Position 4322: 3.843328652641719e-05
Position 3220: 3.721543095338434e-05
Position 3674: 3.532113160700604e-05
Position 2862: 3.420182791729054e-05
Position 3413: 3.106117380880096e-05
Position 4343: 3.093425779942181e-05
Position 1113: 2.938811514953672e-05
Position 1718: 2.857007756908793e-05
Position 1219: 2.66655973522348e-05
Position 3642: 2.6401061759784454e-05
Position 1861: 2.241603851987553e-05
Position 3165: 2.2308495698967473e-05
Position 2778: 1.9922720549585913e-05
Position 2033: 1.790705346754944e-05
Position 1822: 1.7552259987370178e-05
Position 3678: 1.570135213072682e-05
Position 903: 1.5456245297688143e-05
Position 2638: 1.3368095863325803e-05
Position 1286: 1.2772021057175401e-05
Position 597: 1.2167551660345996e-05
Position 776: 1.1426178103717948e-05
Position 576: 9.818287453399959e-06
Position 3030: 9.061640502642457e-06
Position 1842: 8.979465122091175e-06
Position 110: 7.894989922105775e-06
Position 3620: 6.843639916364669e-06
Position 1043: 6.159364448750086e-06
