Gene = NCMAP
index = 919
Annotated 5SS: [   59 39402 44914]
Annotated 3SS: [39312 44828 49494]
SMsplice 5SS: [  123 11745 16222 28252 28850 31303 39402 44914]
SMsplice 3SS: [11639 16126 28037 28741 31240 39312 44828 50591]
top_k =  1000
Partition function (log Z): -7.1281219088687715

Sorted 5' Splice Sites (High to Low Probability):
Position 44914: 0.995392799211503
Position 28850: 0.9399132619457227
Position 16222: 0.9214972732568738
Position 123: 0.7546113096005125
Position 28252: 0.6960254585785676
Position 11745: 0.6866446808695078
Position 31303: 0.6124523796259465
Position 39402: 0.545632032955553
Position 34957: 0.40889804001882807
Position 28133: 0.3039270110652253
Position 10550: 0.26143518021853546
Position 59: 0.23612182700388265
Position 51027: 0.22201917435026586
Position 45420: 0.20390911982882173
Position 2811: 0.20069649611405704
Position 9319: 0.1929631830724579
Position 11729: 0.17763654161601466
Position 12592: 0.14200143047586064
Position 14665: 0.11890755524187178
Position 49367: 0.1018754813058536
Position 6744: 0.0886085595308821
Position 7649: 0.08576233800277955
Position 39843: 0.08309652140259426
Position 49622: 0.07398346850881347
Position 3329: 0.058707394451051456
Position 47469: 0.057420937726227035
Position 6998: 0.05629642234793137
Position 6356: 0.05365083105199964
Position 28866: 0.05324513273897607
Position 6281: 0.04255525233262478
Position 11733: 0.03898891623582999
Position 1172: 0.03837931389866919
Position 14676: 0.03371432218103764
Position 51798: 0.024183427951773657
Position 1902: 0.02416579482942767
Position 11722: 0.023420249706673578
Position 10732: 0.023410460205559157
Position 31393: 0.02294257345813537
Position 47510: 0.020823013865852977
Position 11230: 0.020291183316349787
Position 29779: 0.018510863667839664
Position 12047: 0.018048703585362837
Position 33514: 0.017369459681653796
Position 3012: 0.017290366394415994
Position 29965: 0.016108468936119856
Position 47441: 0.015978803903914852
Position 9839: 0.01586474925806996
Position 3077: 0.015532091920561208
Position 9959: 0.0142149841238308
Position 1176: 0.011112980243950034
Position 1730: 0.010087609028261316
Position 30437: 0.009520695323369348
Position 6322: 0.009253000736525328
Position 14115: 0.009024020121183036
Position 39407: 0.008462818437451922
Position 2705: 0.008173001915784133
Position 29734: 0.007993339250174581
Position 15026: 0.007203519550390383
Position 50707: 0.007132392642425036
Position 1074: 0.007110369979454107
Position 9273: 0.007097030966417062
Position 11209: 0.006943101195576664
Position 48451: 0.006908072985543543
Position 6018: 0.00640451446103941
Position 45506: 0.006073566227227532
Position 947: 0.006055089636317457
Position 10353: 0.005844570384135118
Position 639: 0.005609379571661572
Position 9340: 0.004794970719107969
Position 28870: 0.004748691659257451
Position 50306: 0.0045832660766700175
Position 49883: 0.004100711621421119
Position 44980: 0.004084228153048357
Position 45292: 0.004056927062824901
Position 178: 0.0036828641372472874
Position 49741: 0.0033174717375519546
Position 11135: 0.002235068572166449
Position 9630: 0.002093712771205627
Position 112: 0.0019939903258978232
Position 45168: 0.001124720702051083
Position 33018: 0.001060641757775145
Position 5009: 0.0006631140610505923
Position 46277: 0.0006305935785896168
Position 2570: 0.0006206820256462877
Position 49736: 0.0005262069727414923
Position 1274: 0.0004819377168008778
Position 28858: 0.0004404897726350308
Position 6594: 0.0004044369924191639
Position 9159: 0.00037271812891538213
Position 47716: 0.00027708593649249135
Position 28854: 0.00027211683135057056
Position 6318: 0.0002575447988775814
Position 11811: 0.0002402480380808636
Position 1040: 0.00021360662644301538
