Gene = DISC1
index = 447
Annotated 5SS: [   120  67991  75210 123262 140455 144256 168482 173396 191703]
Annotated 3SS: [ 67010  75139 123110 140324 144019 168426 173292 191513 227923]
SMsplice 5SS: [   120  34488  44646  50888  61103  75210  94258  94609 103029 105092
 112689 123262 125217 130241 140197 140455 144256 148003 155040 173396
 179772 198714 198879 214344]
SMsplice 3SS: [ 34326  44556  50795  61006  75139  94131  94475 102892 105011 112617
 123110 125161 130120 140033 140324 144019 147823 154946 173292 179615
 198579 198808 214201 224798]
top_k =  1000
Partition function (log Z): -108.74547969123549

Sorted 5' Splice Sites (High to Low Probability):
Position 120: 0.8849802625858928
Position 4115: 0.7279425494135545
Position 2759: 0.6335332628375998
Position 4358: 0.5378170410093753
Position 14713: 0.5210488231167251
Position 5677: 0.4628739289273451
Position 13606: 0.4281555569783129
Position 6980: 0.39809327314440607
Position 9646: 0.3327814155722306
Position 14556: 0.29865180765520116
Position 4745: 0.2950228958222978
Position 4702: 0.22159364911534357
Position 5781: 0.1799115726886813
Position 5735: 0.14849857827201254
Position 3670: 0.1267425108793973
Position 9936: 0.11753506260584415
Position 2625: 0.0628741658293545
Position 6957: 0.05858573618957483
Position 5297: 0.058328678109060936
Position 509: 0.04742440137130178
Position 2796: 0.0463929403654399
Position 3466: 0.04429971721293445
Position 423: 0.04353175940216588
Position 13493: 0.026227664127774667
Position 10988: 0.024540725132801918
Position 240: 0.020456200245765655
Position 10998: 0.019973345501572988
Position 6025: 0.019863532098776317
Position 843: 0.018673371457654797
Position 201: 0.015757977783676776
Position 104: 0.010974921299789204
Position 862: 0.009111534489422122
Position 5337: 0.008692106009349972
Position 387: 0.007735017838992422
Position 761: 0.007200360116889962
Position 2251: 0.00690852054409132
Position 905: 0.006734202576333802
Position 6916: 0.0066521314447058775
Position 2862: 0.0056832639767428385
Position 6949: 0.005479297881284343
Position 334: 0.005334317051504615
Position 4710: 0.0051176541358593005
Position 848: 0.004589909004659833
Position 1003: 0.004193307343116572
Position 4478: 0.004191268739652091
Position 3859: 0.00395417508175054
Position 5790: 0.0035533471600704596
Position 5368: 0.003369945624357675
Position 4761: 0.0032331442693880738
Position 921: 0.002296064627346341
Position 706: 0.001998917641047744
Position 2432: 0.0019613680868736856
Position 3790: 0.0018862132710483939
Position 1632: 0.001829826748080102
Position 1926: 0.0017151361158052926
Position 9290: 0.0016705002736015977
Position 796: 0.001644193584745782
Position 205: 0.0014580013991940342
Position 1288: 0.0012931690324326337
Position 7532: 0.0011970236871051807
Position 436: 0.0010778246970747103
Position 2642: 0.0010444342984117332
Position 6043: 0.0010078045590824183
Position 640: 0.0008454244938100253
Position 4050: 0.000839897467709006
Position 4972: 0.0006606546364946357
Position 4763: 0.000635563481371725
Position 10165: 0.0006318411748667876
Position 1505: 0.0006185444608601345
Position 1090: 0.0005650508624940396
Position 4759: 0.0003355951322739539
Position 3887: 0.0002654281095511896
Position 1191: 0.00023584150709731684
Position 585: 0.00020789840997823678
Position 739: 0.00020159400574923928
Position 2663: 0.00018870494707157726
Position 3478: 0.00018317159518726762
Position 2826: 0.00017848157307810556
Position 5504: 0.00015659044678051337
Position 2401: 0.00015623297889322626
Position 276: 0.00013087655988895406
Position 1645: 0.00013080914842852597
Position 1144: 0.0001054573848080055
Position 1369: 9.748511972927306e-05
Position 1179: 9.497989339715916e-05
Position 780: 9.427587124814102e-05
Position 5165: 9.394920353513499e-05
Position 1760: 8.948760335964194e-05
Position 456: 6.555464529340071e-05
Position 1583: 4.035449194519893e-05
Position 874: 3.4896481849607475e-05
Position 5663: 3.2902942951925667e-05
Position 1160: 3.074302257295935e-05
Position 160: 8.631260375454723e-06
Position 4134: 4.953857148684151e-06
Position 1171: 2.796873709345991e-06
Position 1283: 2.7061108919023095e-06
