Gene = HACD4
index = 637
Annotated 5SS: [   84  2342  5041 15739 20048 23616]
Annotated 3SS: [ 2237  4912 15625 19940 23489 24516]
SMsplice 5SS: [   84  1814  2342  5041 13688 13828 15739 20048 23616]
SMsplice 3SS: [ 1726  2150  4912 13633 13756 15625 19940 23489 24516]
top_k =  1000
Partition function (log Z): 1.5761639371146572

Sorted 5' Splice Sites (High to Low Probability):
Position 20048: 0.9828459485911906
Position 2342: 0.9636313818536074
Position 15739: 0.947185033491038
Position 23616: 0.9026869473554847
Position 13688: 0.8671701178931764
Position 84: 0.7933662247886082
Position 5041: 0.7625760473189651
Position 1814: 0.6112471464800394
Position 13828: 0.5326783200712772
Position 508: 0.40170833089051944
Position 237: 0.31703292560643337
Position 24885: 0.31452994954537994
Position 20912: 0.3074590283784863
Position 21402: 0.2509656530794479
Position 22311: 0.24794402202695076
Position 13859: 0.22977044406931924
Position 873: 0.20183058757836342
Position 19588: 0.17682525387053655
Position 20293: 0.1602279561115493
Position 5328: 0.15712590934893206
Position 547: 0.15548717376953067
Position 2974: 0.1433087433718978
Position 1902: 0.11895739979479532
Position 1868: 0.1178997941583154
Position 23900: 0.1134309289367616
Position 2061: 0.1122230543191761
Position 25271: 0.08712314967177265
Position 16818: 0.08240208205115226
Position 24652: 0.07466705702653131
Position 2753: 0.07102601875840135
Position 16436: 0.062115694139072586
Position 1878: 0.060127306189384104
Position 9671: 0.05651508398019903
Position 20410: 0.052672416190663464
Position 21725: 0.046842053398150604
Position 24202: 0.046231390142818816
Position 26011: 0.04339997625255018
Position 999: 0.03760153491938342
Position 2056: 0.033632604809454146
Position 20632: 0.03311320074188948
Position 2736: 0.027777169926644744
Position 13294: 0.0273059721804772
Position 1825: 0.026584012459755012
Position 24670: 0.02594009156818808
Position 20304: 0.025638899455112617
Position 16691: 0.025078637285616157
Position 3276: 0.022579067590048404
Position 24321: 0.021664862666377654
Position 24270: 0.02024490666552224
Position 21759: 0.01982215782550169
Position 21067: 0.01922660946798858
Position 11930: 0.01817784098855309
Position 16299: 0.018112450111677527
Position 23301: 0.016845428827640726
Position 2151: 0.016321603251046833
Position 1538: 0.01577357776967863
Position 22595: 0.01353604623350411
Position 1550: 0.012480298516171311
Position 21473: 0.012279729442325166
Position 17721: 0.010971575229482056
Position 15824: 0.010285688171000512
Position 24054: 0.00895561682316139
Position 23264: 0.008457215748845228
Position 415: 0.008374659284586203
Position 4406: 0.008060419585347813
Position 4580: 0.008000678688947948
Position 28226: 0.007626326765712409
Position 344: 0.006837697642598133
Position 20778: 0.005595570541886376
Position 3929: 0.00512653187819049
Position 2065: 0.004633862641364723
Position 4533: 0.00451556048768669
Position 4599: 0.004259136157409008
Position 23769: 0.0038435167338527853
Position 2238: 0.003816534954617431
Position 20651: 0.0034212574600051447
Position 1367: 0.003312570099155458
Position 1742: 0.002819796789194221
Position 17212: 0.0027247067186593785
Position 456: 0.002518361667626624
Position 21970: 0.0024944870250782755
Position 5031: 0.0021182553298909742
Position 2102: 0.0019948510879851805
Position 901: 0.001782993053991757
Position 16400: 0.0017066950463586327
Position 428: 0.0016701723433876553
Position 2218: 0.0015047893778778651
Position 13924: 0.001415587587689128
